Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,Name-additional
Bryce Harper,31,13,Free Agency,11.159,Boras Corporation,13 yrs/$330M (19-31),$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$23.54M,$23.54M,$23.54M,FA,,harpebr03
Trea Turner,31,10,Free Agency,7.135,CAA Sports,11 yrs/$300M (23-33),$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,$27.27M,turnetr01
Zack Wheeler,34,10,Free Agency,10.098,Wasserman,5 yrs/$118M (20-24)3 yrs/$126M (25-27),$23.5M,$42M,$42M,$42M,FA,,,,,,wheelza01
Aaron Nola,31,10,Free Agency,8.076,Paragon Sports In...,7 yrs/$172M (24-30),$24.57M,$24.57M,$24.57M,$24.57M,$24.57M,$24.57M,$24.57M,FA,,,nolaaa01
J.T. Realmuto,33,11,Free Agency,9.038,CAA Sports,5 yrs/$115.5M (21-25),$23.88M,$23.88M,FA,,,,,,,,realmjt01
Nick Castellanos,32,12,Free Agency,10.029,Boras Corporation,5 yrs/$100M (22-26),$20M,$20M,$20M,FA,,,,,,,casteni01
Kyle Schwarber,31,10,Free Agency,8.086,Excel Sports Mana...,4 yrs/$79M (22-25),$20M,$20M,FA,,,,,,,,schwaky01
Taijuan Walker,31,12,Free Agency,9.142,Excel Sports Mana...,4 yrs/$72M (23-26),$18M,$18M,$18M,FA,,,,,,,walketa01
Cristopher Sánchez,27,4,Traded,1.083,,1 yr/$754k (24)4 yrs/$22.5M (25-28) & 29-30 team option,$753.5k,$2M,$3.5M,$6.5M,$9.5M,$1M [FA-*],$0 [FA-*],FA,,,sanchcr01
Matt Strahm,32,9,Free Agency,7.064,ACES,2 yrs/$15M (23-24)1 yr/$7.5M (25) & 26 team option,$7.5M,$7.5M,$0 [FA-*],FA,,,,,,,strahma01
José Alvarado,29,8,Traded,6.088,OL Baseball,3 yrs/$22M (23-25) & 26 team option,$9.02M,$9.02M,$500k [FA-*],FA,,,,,,,alvarjo03
Carlos Estévez,31,8,Traded,7.022,,2 yrs/$13.5M (23-24),$6.75M,FA,,,,,,,,,estevca01
Austin Hays,28,7,Traded,4.057,The MAS+ Agency,1 yr/$6.3M (24),$6.3M,Arb,FA,,,,,,,,haysau01
Ranger Suárez,28,7,Amateur Free Agent,4.112,,1 yr/$5.05M (24),$5.05M,Arb,FA,,,,,,,,suarera01
Alec Bohm,27,5,Amateur Draft,3.106,Boras Corporation,1 yr/$4M (24),$4M,Arb,Arb,FA,,,,,,,bohmal01
Jeff Hoffman,31,9,Free Agency,5.084,CAA Sports,1 yr/$2.2M (24),$2.2M,FA,,,,,,,,,hoffmje02
Spencer Turnbull,31,6,Free Agency,5.020,Kent Matthes,1 yr/$2M (24),$2M,FA,,,,,,,,,turnbsp01
Edmundo Sosa,28,6,Traded,3.140,Octagon,1 yr/$1.7M (24),$1.7M,Arb,Arb,FA,,,,,,,sosaed01
Yunior Marte,29,3,Traded,1.040,,1 yr/$752k (24),$751.5k,Pre-Arb,Arb,Arb,Arb,FA,,,,,marteyu01
Rafael Marchán,25,3,Amateur Free Agent,1.075,,1 yr/$750k (24),$750k,Pre-Arb,Arb,Arb,Arb,FA,,,,,marchra01
Freddy Tarnok,25,2,,1.002,,1 yr/$745k (24),$745k,Pre-Arb,Arb,Arb,Arb,FA,,,,,tarnofr01
José Rodriguez,23,1st,,0.008,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,rodrijo09
Kolby Allard,26,7,Free Agency,3.162,Excel Sports Mana...,1 yr/$1M (24),$1M,Arb,Arb,FA,,,,,,,allarko01
Dylan Covey,32,5,Waivers,3.138,CAA Sports,1 yr/$850k (24),$850k,Arb,Arb,FA,,,,,,,coveydy01
Garrett Stubbs,31,6,Traded,3.120,Boras Corporation,1 yr/$850k (24),$850k,Arb,Arb,FA,,,,,,,stubbga01
Ryan McKenna,27,4,,2.123,,1 yr/$800k (24),$800k,Arb,Arb,Arb,FA,,,,,,mckenry01
Bryson Stott,26,3,Amateur Draft,2.000,,1 yr/$768k (24),$768k,Arb,Arb,Arb,FA,,,,,,stottbr01
Brandon Marsh,26,4,Traded,2.078,ACES,1 yr/$767k (24),$766.5k,Arb,Arb,Arb,FA,,,,,,marshbr02
Tanner Banks,32,3,Traded,1.092,Gaeta Sports Mana...,1 yr/$755k (24),$755.05k,Pre-Arb,Arb,Arb,Arb,FA,,,,,banksta01
Johan Rojas,23,2,Free Agency,0.080,,1 yr/$745k (24),$745k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,rojasjo03
