Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Kolby Allard,26,7,4,0,27,5,2,3,0,0,1,,,1,7,0,1.67,0.71,,,0,0,,,1,P,allarko01
José Alvarado,29,66,0,0,61.2,4,2,2,0,0,1,,,-3,-10,0,0.58,0.06,,,7,1,0.13,0.20,0,P,alvarjo03
Tanner Banks,32,22,1,0,24.1,2,0,2,0,0,1,,,-1,-8,0,0.74,0.09,,,9,0,0.00,0.20,1,P,banksta01
Alec Bohm,27,138,137,128,1203.1,458,180,263,15,20,0.967,0,0,-2,-2,-3,3.31,3.03,,,,,,,,3B-1B-DH,bohmal01
Connor Brogdon,29,3,0,0,2,0,0,0,0,0,,,,0,0,,0,0,,,2,0,0.00,0.21,0,P,brogdco01
Nick Castellanos,32,157,157,143,1363.2,269,263,3,3,0,0.989,-2,-2,-11,-10,-2,1.76,1.64,,,,,,,,RF-DH,casteni01
Kody Clemens,28,40,24,20,239,145,105,37,3,10,0.979,2,8,2,10,1,5.35,3.3,,,0,0,,,0,1B-3B-2B-LF-P-DH,clemeko01
David Dahl,30,15,13,5,102,19,18,1,0,0,1,3,32,3,35,0,1.68,1.06,,,,,,,,LF-RF-DH,dahlda01
Seranthony Domínguez,29,38,0,0,36,5,3,2,0,0,1,,,-2,-11,0,1.25,0.13,,,10,0,0.00,0.20,0,P,dominse01
Carlos Estévez,31,20,0,0,21,4,1,2,1,0,0.75,,,0,0,0,1.29,0.15,,,2,1,0.33,0.20,0,P,estevca01
Aramis Garcia,31,3,2,2,18,17,15,2,0,0,1,1,37,1,67,0,8.5,5.67,0,0,1,1,0.50,0.21,0,C,garciar01
Tyler Gilbert,30,6,0,0,8.1,1,1,0,0,0,1,,,0,0,0,1.08,0.17,,,3,0,0.00,0.20,0,P,gilbety01
Bryce Harper,31,142,142,131,1233.1,1150,1050,95,5,99,0.996,7,7,5,5,-3,8.36,7.95,,,,,,,,1B-DH,harpebr03
Austin Hays,28,21,21,17,181.2,35,35,0,0,0,1,-3,-17,-4,-26,-1,1.73,1.67,,,,,,,,LF,haysau01
Jeff Hoffman,31,68,0,0,66.1,10,9,1,0,0,1,,,-2,-6,0,1.36,0.15,,,3,0,0.00,0.20,0,P,hoffmje02
Seth Johnson,25,1,1,0,2.1,1,1,0,0,0,1,,,0,0,0,3.86,1,,,1,0,0.00,0.20,0,P,johnsse01
Buddy Kennedy,25,5,2,2,25,10,4,6,0,1,1,0,4,0,0,0,3.6,1.67,,,,,,,,3B-2B-DH,kennebu01
Orion Kerkering,23,64,2,0,63,4,3,1,0,0,1,,,-1,-3,0,0.57,0.06,,,6,2,0.25,0.20,0,P,kerkeor01
Max Lazar,25,11,0,0,13.2,3,0,3,0,1,1,,,0,0,0,1.98,0.27,,,0,0,,,0,P,lazarma01
Rafael Marchán,25,17,14,14,129,134,126,6,2,3,0.985,2,15,1,9,1,9.21,7.76,0,4,8,4,0.33,0.20,0,C,marchra01
Brandon Marsh,26,133,115,84,1038.2,239,228,6,5,1,0.979,-4,-4,7,8,3,2.03,1.48,,,,,,,,LF-CF-RF,marshbr02
Yunior Marte,29,23,0,0,26,6,4,2,0,0,1,,,-2,-15,0,2.08,0.26,,,5,0,0.00,0.20,0,P,marteyu01
Michael Mercado,25,5,2,0,13,0,0,0,0,0,,,,0,0,,0,0,,,1,1,0.50,0.21,0,P,mercami01
Whit Merrifield,35,47,40,34,373.1,109,67,39,3,10,0.972,0,-2,0,0,0,2.56,1.93,,,,,,,,LF-2B-3B-DH,merriwh01
Nick Nelson,28,4,0,0,5.1,1,1,0,0,0,1,,,0,0,0,1.69,0.25,,,0,1,1.00,0.20,0,P,nelsoni01
Aaron Nola,31,33,33,1,199.1,28,12,16,0,2,1,,,1,1,0,1.26,0.85,,,12,6,0.33,0.20,1,P,nolaaa01
Luis Ortiz,28,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,ortizlu02
Cristian Pache,25,45,30,18,282.2,73,69,2,2,0,0.973,3,13,4,17,0,2.26,1.42,,,,,,,,CF-LF-RF-DH,pachecr01
Tyler Phillips,26,8,7,1,36.2,7,3,4,0,0,1,,,1,5,0,1.72,0.88,,,4,0,0.00,0.20,0,P,phillty01
Ricardo Pinto,30,6,0,0,10.2,6,5,1,0,0,1,,,0,0,0,5.06,1,,,0,0,,,0,P,pintori01
J.T. Realmuto,33,99,99,93,871.1,938,899,34,5,5,0.995,2,2,0,0,2,9.64,9.42,4,30,66,16,0.20,0.20,0,C,realmjt01
Johan Rojas,23,116,102,82,903.1,227,219,6,2,1,0.991,-12,-16,4,5,1,2.24,1.92,,,,,,,,CF-DH,rojasjo03
José Ruiz,29,52,0,0,51,3,1,2,0,0,1,,,-1,-4,-1,0.53,0.06,,,1,0,0.00,0.20,0,P,ruizjo01
Cristopher Sánchez,27,31,31,2,181.2,39,6,28,5,0,0.872,,,3,3,0,1.68,1.1,,,14,6,0.30,0.20,1,P,sanchcr01
Kyle Schwarber,31,5,5,3,41,10,10,0,0,0,1,0,5,0,0,0,2.2,0.07,,,,,,,,LF-DH,schwaky01
Edmundo Sosa,28,86,68,50,628.2,291,101,184,6,36,0.979,3,7,6,11,-1,4.08,3.13,,,,,,,,SS-2B-3B,sosaed01
Gregory Soto,29,43,0,0,35.1,5,2,3,0,0,1,,,-1,-6,0,1.27,0.12,,,0,0,,,0,P,sotogr01
