Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 29,,ATL,L3-9,35,32,3,5,0,0,1,3,3,0,15,0,0,0,0,0,2,0,.156,.229,.250,.479,5,9,R,S.Strider(59)
2,2,Mar 30,,ATL,L4-12,37,32,4,8,1,0,1,4,5,0,4,0,0,0,0,2,2,0,.203,.292,.313,.604,6,10,L,M.Fried(34)
3,3,Mar 31,,ATL,W5-4,35,31,5,9,0,0,1,4,3,0,9,1,0,0,0,1,1,0,.232,.318,.337,.655,6,11,L,C.Sale(55)
4,4,Apr 1,,CIN,L3-6,39,35,3,7,1,0,0,3,4,0,10,0,0,0,0,0,2,2,.223,.308,.308,.616,7,10,L,A.Abbott(56)
5,5,Apr 2,,CIN,W9-4,38,35,9,9,0,0,4,8,3,0,6,0,0,0,1,0,0,0,.230,.310,.370,.679,5,9,R,G.Ashcraft(58)
6,6,Apr 3,,CIN,L1-4,36,32,1,6,0,0,1,1,4,0,10,0,0,0,0,0,0,1,.223,.305,.355,.660,8,10,R,F.Montas(57)
7,7,Apr 5,@,WSN,W4-0,43,33,4,9,3,0,0,4,9,0,9,0,0,1,1,2,1,1,.230,.323,.357,.680,12,9,L,P.Corbin(41)
8,8,Apr 6,@,WSN,W5-2,37,34,5,9,1,1,1,5,3,1,8,0,0,0,0,0,2,1,.235,.323,.367,.691,5,9,R,J.Irvin(50)
9,9,Apr 7,@,WSN,L2-3,32,29,2,5,0,0,1,2,3,0,10,0,0,0,0,1,1,1,.229,.316,.358,.675,3,11,L,M.Gore(55)
10,10,Apr 8,@,STL,W5-3,42,38,5,10,2,0,1,5,3,1,5,0,0,1,1,2,1,0,.233,.316,.363,.678,8,10,R,M.Mikolas(55)
11,11,Apr 9,@,STL,L0-3,35,31,0,8,0,0,0,0,3,0,13,0,1,0,0,3,1,0,.235,.316,.354,.670,8,11,R,S.Gray(62)
12,12,Apr 10,@,STL,W4-3,41,36,4,8,0,0,0,3,5,0,13,0,0,0,1,0,0,0,.234,.316,.342,.658,10,9,R,L.Lynn(63)
13,13,Apr 11,,PIT,W5-1,31,31,5,7,0,0,3,5,0,0,10,0,0,0,1,1,0,0,.233,.310,.354,.665,2,9,R,J.Jones(57)
14,14,Apr 12,,PIT,L2-5,36,33,2,7,2,0,0,2,3,0,7,0,0,0,0,1,0,0,.232,.308,.348,.657,7,9,L,B.Falter(58)
15,15,Apr 13,,PIT,W4-3,41,34,4,9,1,0,1,4,7,1,9,0,0,0,0,0,0,0,.234,.314,.351,.665,12,12,L,M.Gonzales(54)
16,16,Apr 14,,PIT,L2-9,33,33,2,8,0,1,1,2,0,0,6,0,0,0,1,3,1,0,.234,.310,.353,.664,4,9,R,M.Keller(57)
