Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 29,,ATL,L3-9,9.0,13,9,9,0,5,10,0,0,9.00,45,175,109,4,3,1,1,40,6,0,0,0,0,1,0,6,Mark Wegner,Z.Wheeler (99-67) M.Strahm (99-BSv) J.Hoffman (99) J.Alvarado (99-L) C.Brogdon (99) Y.Marte (99)
2,2,Mar 30,,ATL,L4-12,9.0,18,12,11,1,3,5,4,0,10.00,45,168,109,3,2,1,0,42,4,0,0,0,0,1,3,6,Bruce Dreckman,A.Nola (99-17-L) L.Ortiz (99) S.Domínguez (99) Y.Marte (0) G.Soto (99) C.Brogdon (0)
3,3,Mar 31,,ATL,W5-4,9.0,7,4,4,0,1,14,1,0,8.00,34,149,100,2,0,0,0,33,2,0,0,0,0,0,0,6,Jeremie Rehak,R.Suárez (99-55) J.Hoffman (1) M.Strahm (1-W) S.Domínguez (0-H) G.Soto (0-H) J.Alvarado (1-Sv)
4,4,Apr 1,,CIN,L3-6,10.0,8,6,5,1,5,17,1,0,7.05,42,181,112,3,2,5,0,37,1,1,0,0,0,0,0,7,Bill Miller,C.Sánchez (99-56) J.Hoffman (0-BSv) M.Strahm (0) Y.Marte (1) J.Alvarado (0) C.Brogdon (1-L) N.Nelson (99)
5,5,Apr 2,,CIN,W9-4,9.0,8,4,2,2,0,11,0,0,6.07,37,156,102,0,0,0,0,36,4,0,0,0,1,2,0,2,Doug Eddings,S.Turnbull (99-66-W) R.Pinto (99-Sv)
6,6,Apr 3,,CIN,L1-4,9.0,7,4,2,2,1,15,0,1,5.40,36,134,92,0,0,0,1,34,4,1,0,0,0,1,0,4,Chad Whitson,Z.Wheeler (4-65-L) Y.Marte (1) G.Soto (2) N.Nelson (1)
7,7,Apr 5,@,WSN,W4-0,9.0,2,0,0,0,5,7,0,0,4.64,33,141,86,1,0,0,0,28,1,0,0,0,0,0,0,4,Jonathan Parra,A.Nola (5-65-W) M.Strahm (3-H) S.Domínguez (4) J.Alvarado (3)
8,8,Apr 6,@,WSN,W5-2,9.0,4,2,2,0,2,6,1,1,4.32,34,136,89,2,0,1,1,31,0,0,0,0,0,1,0,4,Roberto Ortiz,R.Suárez (5-60-W) J.Hoffman (4-H) G.Soto (2-H) J.Alvarado (0-Sv)
9,9,Apr 7,@,WSN,L2-3,8.0,8,3,3,0,4,3,0,0,4.22,36,135,85,2,1,5,0,31,1,0,0,0,1,0,0,4,Alfonso Márquez,C.Sánchez (5-37-L) Y.Marte (3) M.Strahm (1) S.Domínguez (1)
10,10,Apr 8,@,STL,W5-3,10.0,6,3,3,0,3,11,1,1,4.05,40,164,101,0,0,1,0,35,2,0,0,0,1,0,0,5,Vic Carapazza,S.Turnbull (5-73) S.Domínguez (0-H) J.Alvarado (1-H) J.Hoffman (1-BW) G.Soto (1-Sv)
11,11,Apr 9,@,STL,L0-3,8.0,7,3,3,0,2,6,1,0,4.00,33,129,86,0,0,0,0,30,1,0,0,0,1,0,0,2,Alex MacKay,Z.Wheeler (5-57-L) R.Pinto (6)
12,12,Apr 10,@,STL,W4-3,9.0,7,3,3,0,4,4,2,0,3.92,35,147,92,2,1,0,0,31,0,0,0,0,0,0,2,5,Edwin Moscoso,A.Nola (4-58-W) M.Strahm (2-H) G.Soto (1-H) S.Domínguez (1-H) J.Hoffman (1-Sv)
13,13,Apr 11,,PIT,W5-1,9.0,7,1,1,0,2,14,0,0,3.69,36,153,99,0,0,0,0,34,0,0,0,0,0,0,0,3,Hunter Wendelstedt,R.Suárez (4-74-W) Y.Marte (3-H) N.Nelson (7)
14,14,Apr 12,,PIT,L2-5,9.0,9,5,4,1,5,8,0,0,3.71,42,154,97,0,0,2,0,37,1,0,0,0,0,2,1,3,John Tumpane,C.Sánchez (4-61-L) Y.Marte (0) R.Pinto (2)
15,15,Apr 13,,PIT,W4-3,9.0,5,3,3,0,5,10,1,0,3.67,36,170,101,1,0,1,0,31,1,0,0,0,0,0,1,5,Nick Mahrley,S.Turnbull (4-41) M.Strahm (2) G.Soto (2) J.Alvarado (4) J.Hoffman (2-W)
16,16,Apr 14,,PIT,L2-9,9.0,10,9,7,2,6,15,3,0,3.88,44,182,108,0,0,2,0,38,1,0,0,0,0,1,0,4,Marvin Hudson,Z.Wheeler (4-46-L) S.Domínguez (3) O.Kerkering (99) R.Pinto (1)
17,17,Apr 15,,COL,W2-1,10.0,5,1,1,0,2,10,1,0,3.68,35,128,88,1,0,0,0,33,1,0,1,0,0,0,1,4,D.J. Reyburn,A.Nola (4-74) J.Alvarado (1) J.Hoffman (1) S.Domínguez (0-W)
18,18,Apr 16,,COL,W5-0,9.0,7,0,0,0,1,8,0,0,3.48,32,112,79,,,0,0,31,0,0,0,0,0,0,1,1,Brennan Miller,R.Suárez (4-80-W)
19,19,Apr 17,,COL,W7-6,9.0,12,6,6,0,4,12,0,0,3.61,42,171,116,3,3,2,0,37,0,0,0,0,1,0,1,5,Brian O'Nora,C.Sánchez (4-65-W) Y.Marte (4) G.Soto (3) J.Hoffman (1-H) J.Alvarado (1-Sv)
20,20,Apr 19,,CHW,W7-0,9.0,2,0,0,0,3,8,0,0,3.43,32,127,82,0,0,0,0,29,0,0,0,0,0,0,0,3,Carlos Torres,S.Turnbull (5-79-W) M.Strahm (5) O.Kerkering (4)
21,21,Apr 20,,CHW,W9-5,9.0,7,5,5,0,5,9,0,2,3.51,41,151,98,4,0,0,0,34,2,0,0,0,0,0,0,4,Charlie Ramos,Z.Wheeler (5-82-W) S.Domínguez (4) R.Pinto (5) J.Alvarado (2-Sv)
22,22,Apr 21,,CHW,W8-2,9.0,4,2,2,0,2,8,1,0,3.44,33,109,75,0,0,1,0,31,1,0,0,0,0,0,0,2,Chad Fairchild,A.Nola (5-72-W) Y.Marte (3)
23,23,Apr 22,@,CIN,W7-0,9.0,2,0,0,0,1,9,0,0,3.29,29,111,70,0,0,1,0,27,0,0,0,1,0,0,0,3,Dan Bellino,R.Suárez (5-77-W) G.Soto (4) J.Hoffman (4)
24,24,Apr 23,@,CIN,L1-8,8.0,9,8,4,4,3,6,2,1,3.33,39,142,94,0,0,1,0,35,1,0,0,0,0,2,0,5,Phil Cuzzi,C.Sánchez (5-39-L) Y.Marte (1) O.Kerkering (3) M.Strahm (3) R.Pinto (2)
25,25,Apr 24,@,CIN,L4-7,8.0,10,7,7,0,7,13,1,0,3.50,41,178,98,2,2,5,0,32,2,0,0,0,2,0,0,5,Tony Randazzo,S.Turnbull (4-62) S.Domínguez (3-BL) M.Strahm (0) G.Soto (1) J.Alvarado (3)
26,26,Apr 25,@,CIN,W5-0,9.0,3,0,0,0,5,13,0,0,3.36,34,162,101,2,0,0,0,29,0,0,0,0,0,0,1,3,Alex Tosi,Z.Wheeler (4-74-W) O.Kerkering (1) J.Hoffman (2)
27,27,Apr 26,@,SDP,W9-3,9.0,7,3,3,0,1,11,1,0,3.35,35,117,83,0,0,0,0,34,1,0,0,0,0,0,0,2,Roberto Ortiz,A.Nola (4-65-W) S.Domínguez (1)
28,28,Apr 27,@,SDP,W5-1,9.0,3,1,1,0,0,11,1,0,3.26,29,111,76,0,0,0,0,29,0,0,0,0,0,0,0,2,Alfonso Márquez,R.Suárez (4-80-W) J.Hoffman (1)
29,29,Apr 28,@,SDP,W8-6,9.0,9,6,6,0,2,6,2,0,3.36,37,121,82,0,0,0,0,35,3,0,0,0,0,1,1,4,Lance Barrett,T.Walker (99-35-W) J.Hoffman (0-H) Y.Marte (4-H) J.Alvarado (3-Sv)
30,30,Apr 29,@,LAA,L5-6,8.0,11,6,6,0,3,3,1,0,3.46,35,123,73,2,2,3,1,31,2,0,0,1,0,0,1,4,Malachi Moore,C.Sánchez (5-36) O.Kerkering (3-BSv) S.Domínguez (2-L) G.Soto (4)
31,31,Apr 30,@,LAA,W7-5,9.0,9,5,3,2,0,9,2,1,3.44,37,153,96,1,1,2,1,36,2,0,0,0,0,0,0,5,Doug Eddings,S.Turnbull (5-58) Y.Marte (1-BSv) M.Strahm (5) J.Alvarado (1-W) J.Hoffman (1-Sv)
32,32,May 1,@,LAA,W2-1,9.0,10,1,1,0,2,11,1,0,3.37,39,180,114,0,0,0,1,37,2,0,0,0,0,0,0,5,Chad Whitson,Z.Wheeler (5-58-W) M.Strahm (0-H) O.Kerkering (1-H) J.Alvarado (0-H) G.Soto (1-Sv)
33,33,May 3,,SFG,W4-3,9.0,8,3,3,0,4,11,0,0,3.36,38,169,113,0,0,0,0,34,1,0,0,0,0,1,2,6,Brian Walsh,A.Nola (6-46) M.Strahm (1-W) S.Domínguez (3-H) O.Kerkering (1-H) J.Hoffman (2-H) J.Alvarado (1-Sv)
34,34,May 4,,SFG,W14-3,9.0,10,3,3,0,3,8,1,2,3.35,40,138,93,0,0,0,0,35,1,0,0,0,0,1,3,3,Adam Hamari,R.Suárez (6-51-W) J.Ruiz (99) S.Domínguez (0)
35,35,May 5,,SFG,W5-4,9.0,7,4,4,0,2,11,2,2,3.36,37,142,91,0,0,0,0,33,1,1,0,0,0,0,1,4,Edwin Moscoso,T.Walker (6-57-W) G.Soto (3-H) J.Hoffman (1-H) J.Alvarado (1-Sv)
36,36,May 6,,SFG,W6-1,9.0,5,1,0,1,1,13,0,0,3.27,33,133,86,0,0,0,0,31,1,0,0,0,1,1,1,3,D.J. Reyburn,Z.Wheeler (4-77-W) M.Strahm (2) O.Kerkering (2)
37,37,May 7,,TOR,W10-1,9.0,6,1,1,0,3,5,0,0,3.21,33,122,80,0,0,0,0,30,2,0,0,0,0,0,3,2,Andy Fletcher,C.Sánchez (7-64-W) S.Turnbull (6)
38,38,May 8,,TOR,L3-5,9.0,12,5,5,0,2,9,0,0,3.26,41,168,114,2,1,1,0,39,2,0,0,0,0,0,0,5,Mike Muchlinski,A.Nola (4-42-L) M.Strahm (1) S.Domínguez (3) O.Kerkering (1) J.Ruiz (3)
39,39,May 10,@,MIA,W8-2,9.0,5,2,2,0,3,11,0,0,3.22,34,134,85,0,0,0,0,31,4,0,0,0,0,0,1,3,Cory Blaser,R.Suárez (5-78-W) G.Soto (4) J.Alvarado (4)
40,40,May 11,@,MIA,W8-3,9.0,11,3,3,0,1,8,2,1,3.22,37,127,88,0,0,0,2,35,1,0,0,0,0,0,0,4,Manny Gonzalez,T.Walker (5-55-W) M.Strahm (2-H) J.Hoffman (5) J.Ruiz (2)
41,41,May 12,@,MIA,L6-7,9.0,8,7,6,1,5,9,1,2,3.29,41,151,98,0,0,0,0,33,2,1,1,1,0,0,1,7,Jeremy Riggs,Z.Wheeler (5-25) O.Kerkering (3) S.Turnbull (4) J.Alvarado (1) M.Strahm (0) J.Hoffman (0) G.Soto (1-L)
42,42,May 13,@,NYM,W5-4,10.0,9,4,4,0,5,8,0,0,3.29,44,174,116,3,1,0,1,38,4,0,0,1,0,1,0,6,Gabe Morales,C.Sánchez (5-45) S.Domínguez (4) G.Soto (0) J.Ruiz (1) O.Kerkering (0-W) J.Alvarado (0-Sv)
43,43,May 14,@,NYM,W4-0,9.0,4,0,0,0,0,8,0,0,3.22,30,109,73,,,0,0,30,1,0,0,0,0,0,1,1,Ryan Additon,A.Nola (5-87-W)
44,44,May 15,,NYM,W10-5,9.0,9,5,3,2,3,3,1,1,3.21,40,141,86,0,0,2,0,36,3,0,0,0,0,1,1,3,Brian Knight,R.Suárez (4-56-W) S.Turnbull (2-H) S.Domínguez (1)
45,45,May 16,,NYM,L5-6,11.0,8,6,3,3,3,13,1,0,3.19,44,189,127,2,0,2,0,41,2,0,0,0,0,1,1,7,Chris Guccione,T.Walker (4-43) M.Strahm (3) O.Kerkering (2) G.Soto (2) J.Hoffman (3-BSv) J.Ruiz (2) J.Alvarado (2-L)
46,46,May 17,,WSN,W4-2,9.0,4,2,2,0,3,6,0,0,3.17,33,124,82,0,0,0,0,30,4,0,0,0,0,0,0,3,John Tumpane,Z.Wheeler (4-67-W) J.Alvarado (0-H) J.Hoffman (0-Sv)
47,47,May 18,,WSN,W4-3,10.0,11,3,3,0,0,12,0,1,3.16,39,145,106,0,0,1,0,38,2,0,0,0,0,0,2,4,Marvin Hudson,C.Sánchez (4-61) M.Strahm (1) O.Kerkering (1) G.Soto (1-W)
48,48,May 19,,WSN,W11-5,9.0,7,5,4,1,4,7,2,0,3.17,38,144,91,0,0,0,0,34,1,0,0,0,0,1,0,3,Nick Mahrley,A.Nola (4-65-W) S.Domínguez (3) S.Turnbull (3)
49,49,May 21,,TEX,W5-2,9.0,9,2,2,0,2,13,1,0,3.15,38,143,95,2,0,1,0,36,2,0,0,0,0,1,1,4,Ryan Blakney,R.Suárez (5-71-W) J.Hoffman (3-H) M.Strahm (2-H) J.Alvarado (3-Sv)
50,50,May 22,,TEX,W11-4,9.0,7,4,4,0,5,8,2,1,3.17,38,139,87,2,0,0,0,32,0,0,0,0,0,0,1,5,Quinn Wolcott,T.Walker (5-41) M.Strahm (0-W) G.Soto (3) O.Kerkering (3) J.Ruiz (5)
51,51,May 23,,TEX,W5-2,9.0,6,2,2,0,3,7,1,0,3.14,35,131,87,0,0,1,0,32,0,0,0,0,0,0,1,3,Sean Barber,Z.Wheeler (5-62-W) J.Alvarado (1-H) J.Hoffman (1-Sv)
52,52,May 24,@,COL,L2-3,10.1,11,3,2,1,4,6,1,0,3.11,46,147,100,2,0,0,0,42,3,0,2,0,0,0,0,6,Brian Walsh,C.Sánchez (5-51) O.Kerkering (1-H) J.Hoffman (0-H) J.Alvarado (0-BSv) J.Ruiz (1) G.Soto (1-L)
53,53,May 25,@,COL,W8-4,9.0,9,4,3,1,3,11,0,0,3.11,38,165,107,0,0,3,1,35,1,0,0,0,0,0,0,4,Edwin Moscoso,A.Nola (5-55) S.Domínguez (5) J.Ruiz (0-W) S.Turnbull (5)
54,54,May 26,@,COL,L2-5,8.0,6,5,4,1,4,10,1,0,3.13,34,131,82,0,0,1,0,30,1,0,0,0,0,0,0,3,Vic Carapazza,R.Suárez (4-53-L) O.Kerkering (1) S.Domínguez (0)
55,55,May 27,@,SFG,L4-8,8.0,12,8,5,3,2,7,0,0,3.17,40,154,104,0,0,0,0,37,4,0,0,0,1,3,1,3,James Hoye,T.Walker (4-34-L) J.Ruiz (1) M.Strahm (4)
56,56,May 28,@,SFG,L0-1,9.2,4,1,0,1,5,13,0,0,3.11,37,161,107,0,0,0,0,31,0,0,2,0,1,0,1,5,Rob Drake,Z.Wheeler (4-75) O.Kerkering (1) J.Alvarado (3) J.Hoffman (3) M.Strahm (0-L)
57,57,May 29,@,SFG,W6-1,9.0,6,1,1,0,2,8,0,0,3.08,35,141,93,0,0,0,0,33,1,0,0,0,0,1,1,4,D.J. Reyburn,C.Sánchez (4-70-W) G.Soto (4) S.Domínguez (2) S.Turnbull (3)
58,58,May 31,,STL,W4-2,9.0,3,2,2,0,2,9,2,0,3.06,32,130,87,0,0,0,0,30,0,0,0,0,0,0,0,4,Doug Eddings,A.Nola (5-63-W) M.Strahm (2-H) J.Alvarado (2-H) J.Hoffman (2-Sv)
59,59,Jun 1,,STL,W6-1,9.0,5,1,1,0,0,13,0,0,3.02,33,135,96,0,0,0,0,32,3,0,0,0,1,1,0,6,Junior Valentine,R.Suárez (5-58) J.Ruiz (4) S.Turnbull (2-W) O.Kerkering (3-H) S.Domínguez (2) G.Soto (2)
60,60,Jun 2,,STL,L4-5,10.0,9,5,4,1,3,9,2,0,3.03,42,163,108,0,0,0,0,39,1,0,0,0,0,0,0,6,Jeremy Riggs,T.Walker (5-43) M.Strahm (1) O.Kerkering (0) J.Hoffman (1) J.Alvarado (1) G.Soto (0-L)
61,61,Jun 3,,MIL,W3-1,9.0,5,1,1,0,3,8,1,0,3.00,32,132,81,0,0,1,0,29,0,0,0,0,0,0,2,3,Sean Barber,Z.Wheeler (5-66-W) J.Hoffman (0-H) J.Alvarado (0-Sv)
62,62,Jun 4,,MIL,W2-1,10.0,7,1,1,0,1,8,0,1,2.96,37,152,101,0,0,2,0,35,1,0,0,0,0,0,2,5,Alan Porter,C.Sánchez (5-62) J.Ruiz (2) O.Kerkering (1) M.Strahm (1) S.Domínguez (2-W)
63,63,Jun 5,,MIL,W2-0,9.0,3,0,0,0,1,9,0,0,2.92,31,127,91,0,0,1,0,30,1,0,0,0,0,0,0,3,Ryan Blakney,A.Nola (4-78-W) J.Hoffman (1-H) J.Alvarado (1-Sv)
64,64,Jun 8,@,NYM,W7-2,9.0,10,2,2,0,3,9,0,1,2.90,40,148,96,2,0,0,0,36,4,0,0,0,0,0,1,4,Mike Muchlinski,R.Suárez (6-50-W) O.Kerkering (3-H) S.Domínguez (3) J.Ruiz (3)
65,65,Jun 9,,NYM,L5-6,9.0,7,6,5,1,5,10,0,1,2.93,40,169,104,8,2,0,0,34,1,0,0,0,0,0,0,6,Stu Scheurwater,T.Walker (6-62) G.Soto (6-BSv) M.Strahm (4) J.Hoffman (3) J.Alvarado (3-BL) J.Ruiz (0)
66,66,Jun 11,@,BOS,W4-1,9.0,4,1,1,0,1,8,0,0,2.90,31,120,81,0,0,0,1,29,1,0,0,0,1,0,0,3,Brennan Miller,Z.Wheeler (7-70-W) M.Strahm (1-H) J.Alvarado (1-Sv)
67,67,Jun 12,@,BOS,L6-8,8.0,13,8,8,0,6,6,1,1,2.99,40,151,86,4,1,0,0,31,2,1,0,0,2,0,0,5,Derek Thomas,C.Sánchez (7-32) J.Ruiz (2-L) S.Turnbull (10) S.Domínguez (3) G.Soto (2)
68,68,Jun 13,@,BOS,L3-9,8.0,14,9,9,0,3,12,1,2,3.08,41,166,103,2,0,1,0,36,7,0,0,0,0,0,1,5,Alex MacKay,A.Nola (7-7-L) G.Soto (0) O.Kerkering (4) J.Hoffman (3) J.Ruiz (0)
