Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Zack Wheeler,34,16,7,.696,2.57,32,32,0,0,0,0,200.0,139,62,57,20,52,0,224,8,0,8,787,158,3.13,0.955,6.3,0.9,2.3,10.1,4.31,wheelza01
2,SP,Aaron Nola,31,14,8,.636,3.57,33,33,0,1,1,0,199.1,189,84,79,30,50,0,197,3,0,2,820,114,3.94,1.199,8.5,1.4,2.3,8.9,3.94,nolaaa01
3,SP,Cristopher Sánchez*,27,11,9,.550,3.32,31,31,0,2,1,0,181.2,182,76,67,11,44,0,153,0,1,7,754,122,3.00,1.244,9.0,0.5,2.2,7.6,3.48,sanchcr01
4,SP,Ranger Suárez*,28,12,8,.600,3.46,27,27,0,1,1,0,150.2,140,63,58,14,41,1,145,5,2,1,626,117,3.37,1.201,8.4,0.8,2.4,8.7,3.54,suarera01
5,SP,Taijuan Walker,31,3,7,.300,7.10,19,15,1,0,0,0,83.2,107,68,66,24,37,0,58,3,0,0,381,57,6.94,1.721,11.5,2.6,4.0,6.2,1.57,walketa01
6,CL,José Alvarado*,29,2,5,.286,4.09,66,0,21,0,0,13,61.2,49,30,28,6,28,1,63,1,0,4,258,100,3.80,1.249,7.2,0.9,4.1,9.2,2.25,alvarjo03
7,RP,Jeff Hoffman,31,3,3,.500,2.17,68,0,21,0,0,10,66.1,48,20,16,6,16,1,89,3,0,5,265,188,2.52,0.965,6.5,0.8,2.2,12.1,5.56,hoffmje02
8,RP,Orion Kerkering,23,5,3,.625,2.29,64,2,6,0,0,0,63.0,51,20,16,2,17,0,74,8,0,1,257,178,2.42,1.079,7.3,0.3,2.4,10.6,4.35,kerkeor01
9,RP,Matt Strahm*,32,6,2,.750,1.87,66,0,10,0,0,3,62.2,36,14,13,4,11,1,79,6,0,2,237,219,2.29,0.750,5.2,0.6,1.6,11.3,7.18,strahma01
10,RP,José Ruiz,29,5,1,.833,3.71,52,0,16,0,0,1,51.0,51,23,21,8,17,1,52,1,0,0,217,110,4.23,1.333,9.0,1.4,3.0,9.2,3.06,ruizjo01
11,,Spencer Turnbull,31,3,0,1.000,2.65,17,7,4,0,0,0,54.1,37,17,16,6,20,0,58,5,0,2,222,154,3.85,1.049,6.1,1.0,3.3,9.6,2.90,turnbsp01
12,,Tyler Phillips,26,4,1,.800,6.87,8,7,1,1,1,0,36.2,45,28,28,9,7,0,28,2,0,0,160,60,5.57,1.418,11.0,2.2,1.7,6.9,4.00,phillty01
13,,Seranthony Domínguez,29,3,2,.600,4.75,38,0,10,0,0,1,36.0,32,22,19,6,12,0,40,2,1,5,157,86,4.28,1.222,8.0,1.5,3.0,10.0,3.33,dominse01
14,,Gregory Soto*,29,2,4,.333,4.08,43,0,13,0,0,2,35.1,36,19,16,2,20,2,44,6,0,3,165,101,3.62,1.585,9.2,0.5,5.1,11.2,2.20,sotogr01
15,,Kolby Allard*,26,2,0,1.000,5.00,7,4,0,0,0,0,27.0,34,15,15,5,8,0,23,0,0,0,117,82,4.76,1.556,11.3,1.7,2.7,7.7,2.88,allarko01
16,,Yunior Marte,29,0,0,,6.92,23,0,5,0,0,0,26.0,34,22,20,5,15,0,23,0,0,3,127,59,5.63,1.885,11.8,1.7,5.2,8.0,1.53,marteyu01
17,,Tanner Banks*,32,0,1,.000,3.70,22,1,8,0,0,0,24.1,22,11,10,1,10,0,23,1,0,0,106,111,3.17,1.315,8.1,0.4,3.7,8.5,2.30,banksta01
18,,Carlos Estévez,31,3,2,.600,2.57,20,0,18,0,0,6,21.0,18,8,6,2,7,2,18,1,0,2,88,161,3.83,1.190,7.7,0.9,3.0,7.7,2.57,estevca01
19,,Max Lazar,25,0,0,,4.61,11,0,5,0,0,0,13.2,13,7,7,2,2,0,9,0,0,0,54,90,4.19,1.098,8.6,1.3,1.3,5.9,4.50,lazarma01
20,,Michael Mercado,25,1,2,.333,11.08,5,2,0,0,0,0,13.0,16,16,16,9,9,0,10,1,0,1,64,38,12.94,1.923,11.1,6.2,6.2,6.9,1.11,mercami01
21,,Ricardo Pinto,30,0,0,,10.97,6,0,5,0,0,1,10.2,19,14,13,2,5,0,8,2,0,0,59,38,6.07,2.250,16.0,1.7,4.2,6.8,1.60,pintori01
22,,Tyler Gilbert*,30,0,0,,3.24,6,0,2,0,0,0,8.1,10,3,3,1,2,0,4,1,0,1,38,131,4.85,1.440,10.8,1.1,2.2,4.3,2.00,gilbety01
23,,Nick Nelson,28,0,0,,5.06,4,0,4,0,0,0,5.1,8,3,3,0,2,0,8,1,0,0,26,86,1.85,1.875,13.5,0.0,3.4,13.5,4.00,nelsoni01
24,,Garrett Stubbs,31,0,0,,15.75,4,0,4,0,0,0,4.0,6,7,7,2,2,0,0,0,0,0,19,28,11.17,2.000,13.5,4.5,4.5,0.0,0.00,stubbga01
25,,Seth Johnson,25,0,1,.000,34.71,1,1,0,0,0,0,2.1,8,9,9,1,3,0,0,0,0,0,18,14,12.60,4.714,30.9,3.9,11.6,0.0,0.00,johnsse01
26,,Connor Brogdon,29,0,1,.000,27.00,3,0,1,0,0,0,2.0,3,7,6,2,6,0,3,0,0,1,14,18,22.17,4.500,13.5,9.0,27.0,13.5,0.50,brogdco01
27,,Weston Wilson,29,0,0,,0.00,1,0,1,0,0,0,1.0,1,0,0,0,0,0,0,0,0,0,4,,3.17,1.000,9.0,0.0,0.0,0.0,,wilsowe01
28,,Kody Clemens,28,0,0,,9.00,1,0,1,0,0,0,1.0,2,1,1,1,1,0,0,0,0,0,6,62,19.17,3.000,18.0,9.0,9.0,0.0,0.00,clemeko01
29,,Luis Ortiz,28,0,0,,27.00,1,0,0,0,0,0,0.2,3,2,2,0,0,0,0,0,0,0,4,24,3.17,4.500,40.5,0.0,0.0,0.0,,ortizlu02
,,Team Totals,29.6,95,67,.586,3.85,162,162,157,5,4,37,1442.2,1339,671,617,181,444,9,1433,60,4,48,6050,106,3.86,1.236,8.4,1.1,2.8,8.9,3.23,-9999
,,Rank in 15 NL teams,,2,14,,4,,,,1,3,11,6,8,5,4,8,1,,5,,,,,,,,,,,,,-9999
