Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Alec Bohm,27,143,606,12,-1,-2,-2,3,10,1.0,21,31,3.0,.507,.506,3.2,0.1,32,$4000000,Amateur Draft,*53/DH,bohmal01
Nick Castellanos,32,162,659,6,-2,0,-11,-5,-13,-1.3,23,10,0.8,.492,.492,2.0,-1.7,21,$20000000,Free Agency,*9/D,casteni01
Kody Clemens*,28,43,120,-2,0,0,2,-1,-1,-0.1,4,4,0.3,.499,.500,0.1,0.1,2,$740000,Traded,H35/47D1,clemeko01
David Dahl*,30,19,62,-2,0,0,3,-1,1,0.1,2,3,0.3,.506,.501,0.0,0.2,0,,Free Agency,7/DH9,dahlda01
Aramis Garcia,31,3,7,-2,0,0,1,0,-1,-0.1,0,-1,-0.1,.473,.499,-0.2,0.1,-1,,Free Agency,/2,garciar01
Bryce Harper*,31,145,631,34,-3,-2,5,-7,28,2.8,21,48,4.8,.520,.518,4.3,-0.2,43,$27538461,Free Agency,*3/D,harpebr03
Austin Hays,28,22,80,-2,0,1,-4,-1,-6,-0.6,3,-3,-0.3,.474,.496,0.1,-0.5,1,,Traded,7/H,haysau01
Buddy Kennedy,25,8,13,0,0,0,0,0,-1,-0.1,0,0,0.0,.491,.500,0.0,0.0,0,$740000,Purchased,/H54D,kennebu01
Rafael Marchán#,25,17,56,3,0,0,2,1,6,0.6,2,7,0.7,.533,.503,0.5,0.3,5,$750000,Amateur Free Agent,2,marchra01
Brandon Marsh*,26,135,476,6,3,1,7,-2,15,1.6,16,32,3.1,.512,.510,2.4,0.5,25,$766500,Traded,*78H/9,marshbr02
Whit Merrifield,35,53,174,-5,1,0,0,-1,-5,-0.5,6,1,0.1,.491,.497,0.1,-0.1,1,$7000000,Free Agency,745H/D,merriwh01
Cristian Pache,25,50,118,-6,-1,0,4,0,-3,-0.3,4,1,0.1,.494,.498,-0.3,0.4,-3,$760500,Traded,87H/D9,pachecr01
J.T. Realmuto,33,99,413,5,-2,1,5,7,16,1.7,14,30,3.0,.517,.510,2.5,1.3,25,$23875000,Free Agency,2,realmjt01
Johan Rojas,23,120,363,-15,3,0,4,3,-5,-0.5,12,8,0.7,.496,.497,0.3,0.7,4,$745000,Free Agency,*8/HD,rojasjo03
Kyle Schwarber*,31,150,692,29,-3,0,0,-12,14,1.5,22,36,3.5,.510,.509,3.5,-1.3,36,$20000000,Free Agency,*D/7H,schwaky01
Edmundo Sosa,28,90,274,2,1,0,6,4,14,1.4,9,23,2.3,.516,.509,1.7,1.0,17,$1700000,Traded,654H,sosaed01
Cal Stevenson*,27,18,27,0,-1,0,-1,0,-2,-0.2,1,-1,-0.1,.489,.499,0.0,-0.1,0,,Waivers,8/H97,steveca01
Bryson Stott*,26,148,571,-8,2,2,6,5,6,0.6,20,26,2.5,.504,.504,1.9,1.2,20,$768000,Amateur Draft,*46H/D,stottbr01
Garrett Stubbs*,31,54,187,-8,1,1,0,4,-2,-0.2,6,4,0.4,.496,.499,0.4,0.4,4,$850000,Traded,2/1H,stubbga01
Trea Turner,31,121,539,17,3,0,-14,7,13,1.4,17,31,3.0,.511,.508,4.5,-0.7,45,$27272727,Free Agency,*6/D,turnetr01
Weston Wilson,29,40,98,4,1,0,0,-1,4,0.4,3,7,0.7,.510,.502,0.7,-0.1,7,$740000,Free Agency,7H/549381,wilsowe01
Team Total,29.2,1640,6166,69,3,2,13,3,91,9.3,207,298,28.8,.506,.505,27.5,1.6,284,$138246188,,,-9999
