Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Kolby Allard*,26,27.0,7,4,15,5.00,4.95,0.02,0.10,0.00,97.4,4.91,0,0.0,.52,0.0,0.2,2,.495,.500,$1000000,Free Agency,allarko01
José Alvarado*,29,61.2,66,0,30,4.38,4.48,0.02,-0.30,0.18,98.9,4.30,-1,-0.1,1.33,-0.2,0.3,5,.499,.500,$9016666,Traded,alvarjo03
Tanner Banks*,32,24.1,22,1,11,4.07,4.67,0.02,-0.28,0.00,96.8,4.23,0,0.0,.35,-0.1,0.2,3,.502,.500,,Traded,banksta01
Connor Brogdon,29,2.0,3,0,7,31.50,4.16,0.02,-0.28,2.80,96.0,6.40,-6,-0.5,1.82,-0.2,-0.7,-5,.335,.497,,Amateur Draft,brogdco01
Kody Clemens,28,1.0,1,0,1,9.00,5.44,0.04,-0.36,0.00,96.0,4.84,0,0.0,.00,0.0,0.0,0,.453,.500,$740000,Traded,clemeko01
Seranthony Domínguez,29,36.0,38,0,22,5.50,4.52,0.02,-0.30,0.46,98.4,4.59,-4,-0.4,.87,-0.1,-0.1,0,.490,.498,$4250000,Amateur Free Agent,dominse01
Carlos Estévez,31,21.0,20,0,8,3.43,4.53,0.02,-0.30,0.79,95.8,4.80,3,0.3,1.47,0.0,0.6,5,.517,.502,,Traded,estevca01
Tyler Gilbert*,30,8.1,6,0,3,3.24,4.77,0.02,-0.32,0.00,98.8,4.38,1,0.1,.08,-0.1,0.1,2,.518,.501,,Purchased,gilbety01
Jeff Hoffman,31,66.1,68,0,20,2.71,4.51,0.02,-0.30,0.17,97.8,4.27,11,1.2,1.59,0.2,2.0,18,.517,.507,$2200000,Free Agency,hoffmje02
Seth Johnson,25,2.1,1,1,9,34.71,3.43,0.04,0.16,0.00,118.0,4.18,-8,-0.4,,0.0,-0.4,-8,.093,.497,,Traded,johnsse01
Orion Kerkering,23,63.0,64,2,20,2.86,4.50,0.02,-0.30,0.18,99.2,4.32,10,1.1,1.10,-0.1,1.6,16,.517,.507,$742500,Amateur Draft,kerkeor01
Max Lazar,25,13.2,11,0,7,4.61,4.55,0.02,-0.30,0.00,104.9,4.44,0,0.0,.17,0.0,0.1,1,.497,.500,,Free Agency,lazarma01
Yunior Marte,29,26.0,23,0,22,7.62,4.34,0.02,-0.29,0.00,97.7,3.94,-11,-1.1,.63,0.1,-0.7,-8,.453,.493,$751500,Traded,marteyu01
Michael Mercado,25,13.0,5,2,16,11.08,4.49,0.02,0.12,0.00,95.9,4.40,-10,-0.9,.37,0.0,-0.7,-8,.330,.495,,Traded,mercami01
Nick Nelson,28,5.1,4,0,3,5.06,3.77,0.02,-0.25,0.00,105.3,3.69,-1,-0.1,.25,0.0,0.0,0,.479,.499,,Traded,nelsoni01
Aaron Nola,31,199.1,33,33,84,3.79,4.50,0.02,0.21,0.00,98.8,4.63,18,1.9,,-0.2,3.6,37,.559,.512,$24571429,Free Agency,nolaaa01
Luis Ortiz,28,0.2,1,0,2,27.00,4.31,0.04,-0.28,0.00,96.0,3.82,-2,-0.2,.64,0.0,-0.1,-2,.346,.499,$744000,Waivers,ortizlu02
Tyler Phillips,26,36.2,8,7,28,6.87,4.37,0.02,0.15,0.00,94.9,4.27,-11,-1.0,.13,0.0,-0.6,-7,.375,.494,,Waivers,phillty01
Ricardo Pinto,30,10.2,6,0,14,11.81,3.91,0.03,-0.26,0.00,97.9,3.55,-10,-0.9,.37,0.3,-0.5,-9,.352,.495,,Free Agency,pintori01
José Ruiz,29,51.0,52,0,23,4.06,4.62,0.02,-0.31,0.22,97.8,4.41,2,0.2,.59,-0.2,0.5,7,.504,.501,,Free Agency,ruizjo01
Cristopher Sánchez*,27,181.2,31,31,76,3.77,4.57,0.02,0.21,0.00,97.4,4.64,17,1.9,,-0.1,3.4,35,.560,.511,$753500,Traded,sanchcr01
Gregory Soto*,29,35.1,43,0,19,4.84,4.48,0.02,-0.30,0.80,100.7,5.00,1,0.1,1.31,-0.1,0.3,4,.501,.500,$5000000,Traded,sotogr01
Matt Strahm*,32,62.2,66,0,14,2.01,4.54,0.01,-0.30,0.18,97.6,4.29,16,1.7,1.46,0.2,2.5,22,.525,.510,$7500000,Free Agency,strahma01
Garrett Stubbs,31,4.0,4,0,7,15.75,4.24,0.03,-0.28,0.00,97.3,3.82,-5,-0.5,.00,0.2,-0.2,-5,.376,.497,$850000,Traded,stubbga01
Ranger Suárez*,28,150.2,27,27,63,3.76,4.36,0.02,0.20,0.00,99.6,4.53,12,1.3,,-0.1,2.6,27,.549,.508,$5050000,Amateur Free Agent,suarera01
Spencer Turnbull,31,54.1,17,7,17,2.82,4.14,0.02,0.03,0.00,100.6,4.17,8,0.9,.48,-0.2,1.2,13,.551,.505,$2000000,Free Agency,turnbsp01
Taijuan Walker,31,83.2,19,15,68,7.31,4.76,0.02,0.16,0.00,97.3,4.76,-24,-2.2,1.02,-0.1,-1.6,-16,.382,.486,$18000000,Free Agency,walketa01
Zack Wheeler,34,200.0,32,32,62,2.79,4.48,0.02,0.21,0.00,98.0,4.57,39,4.4,,-0.2,6.1,58,.638,.527,$23500000,Free Agency,wheelza01
Weston Wilson,29,1.0,1,0,0,0.00,4.73,0.03,-0.32,0.00,96.0,4.21,0,0.1,.00,0.0,0.0,1,.550,.500,$740000,Free Agency,wilsowe01
Team Total,29.6,1442.2,679,162,671,4.19,4.50,0.02,0.02,0.09,98.4,4.51,46,6.8,1.07,-0.8,19.7,186,.510,.504,$107409595,,-9999
