Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Kolby Allard,26,us US,L,L,6' 1",195,Aug 13 1997,7,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1000000,,allarko01
José Alvarado,29,ve VE,L,L,6' 2",245,May 21 1995,8,66,0,0,66,66,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$9016666,,alvarjo03
Tanner Banks,32,us US,R,L,6' 1",205,Oct 24 1991,3,22,1,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,banksta01
Alec Bohm,27,us US,R,R,6' 5",218,Aug 3 1996,5,143,140,143,138,0,0,15,0,129,0,0,0,0,0,3,3,0,3.0,$4000000,All-Star,bohmal01
Connor Brogdon,29,us US,R,R,6' 6",205,Jan 29 1995,5,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,brogdco01
Nick Castellanos,32,us US,R,R,6' 4",203,Mar 4 1992,12,162,162,162,157,0,0,0,0,0,0,0,0,157,157,5,0,0,0.8,$20000000,,casteni01
Kody Clemens,28,us US,L,R,6' 1",200,May 15 1996,3,44,24,43,40,1,0,15,8,11,0,7,0,0,7,1,17,0,0.3,$740000,,clemeko01
David Dahl,30,us US,L,R,6' 1",197,Apr 1 1994,7,19,16,19,15,0,0,0,0,0,0,13,0,2,15,3,2,0,0.3,,,dahlda01
Seranthony Domínguez,29,do DO,R,R,6' 1",225,Nov 25 1994,6,38,0,0,38,38,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$4250000,,dominse01
Carlos Estévez,31,do DO,R,R,6' 6",277,Dec 28 1992,8,20,0,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,estevca01
Aramis Garcia,31,us US,R,R,6' 2",228,Jan 12 1993,5,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,garciar01
Tyler Gilbert,30,us US,L,L,6' 3",223,Dec 22 1993,4,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,gilbety01
Bryce Harper,31,us US,L,R,6' 3",210,Oct 16 1992,13,145,145,145,142,0,0,142,0,0,0,0,0,0,0,3,0,0,4.8,$27538461,All-Star,harpebr03
Austin Hays,28,us US,R,R,5' 11",200,Jul 5 1995,7,22,21,22,21,0,0,0,0,0,0,21,0,0,21,0,1,0,-0.3,,,haysau01
Jeff Hoffman,31,us US,R,R,6' 5",235,Jan 8 1993,9,68,0,0,68,68,0,0,0,0,0,0,0,0,0,0,0,0,2.0,$2200000,All-Star,hoffmje02
Seth Johnson,25,us US,R,R,6' 1",205,Sep 19 1998,1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,johnsse01
Buddy Kennedy,25,us US,R,R,5' 10",190,Oct 5 1998,3,8,2,8,5,0,0,0,2,3,0,0,0,0,0,1,4,0,0.0,$740000,,kennebu01
Orion Kerkering,23,us US,R,R,6' 2",204,Apr 4 2001,2,64,2,0,64,64,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$742500,,kerkeor01
Max Lazar,25,us US,R,R,6' 1",200,Jun 3 1999,1st,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,lazarma01
Rafael Marchán,25,ve VE,B,R,5' 9",170,Feb 25 1999,3,17,14,17,17,0,17,0,0,0,0,0,0,0,0,0,0,0,0.7,$750000,,marchra01
Brandon Marsh,26,us US,L,R,6' 4",215,Dec 18 1997,4,135,115,135,133,0,0,0,0,0,0,97,53,8,133,0,15,0,3.1,$766500,,marshbr02
Yunior Marte,29,do DO,R,R,6' 2",180,Feb 2 1995,3,23,0,0,23,23,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,$751500,,marteyu01
Michael Mercado,25,us US,R,R,6' 4",205,Apr 15 1999,1st,5,2,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,,,mercami01
Whit Merrifield,35,us US,R,R,6' 1",195,Jan 24 1989,9,53,40,53,47,0,0,0,14,12,0,26,0,0,26,4,7,4,0.1,$7000000,,merriwh01
Nick Nelson,28,us US,R,R,6' 1",205,Dec 5 1995,5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,nelsoni01
Aaron Nola,31,us US,R,R,6' 2",200,Jun 4 1993,10,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,3.6,$24571429,,nolaaa01
Luis Ortiz,28,us US,R,R,6' 3",230,Sep 22 1995,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$744000,,ortizlu02
Cristian Pache,25,do DO,R,R,6' 2",215,Nov 19 1998,5,50,30,50,45,0,0,0,0,0,0,18,30,1,45,2,7,3,0.1,$760500,,pachecr01
Tyler Phillips,26,us US,R,R,6' 5",225,Oct 27 1997,1st,8,7,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,phillty01
Ricardo Pinto,30,ve VE,R,R,6' 0",195,Jan 20 1994,3,6,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,pintori01
