Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Gabriel Moreno,24,97,351,305,39,81,18,1,5,45,3,1,41,52,.266,.353,.380,.734,105,116,10,2,0,3,1,morenga01
2,1B,Christian Walker,33,130,552,479,72,120,26,0,26,84,2,2,55,133,.251,.335,.468,.803,121,224,12,10,0,8,4,walkech02
3,2B,Ketel Marte#,30,136,583,504,93,147,23,2,36,95,7,1,65,106,.292,.372,.560,.932,155,282,9,5,0,9,7,marteke01
4,SS,Geraldo Perdomo#,24,98,388,337,61,92,21,2,3,37,9,1,36,58,.273,.344,.374,.718,101,126,5,3,7,5,0,perdoge01
5,3B,Eugenio Suárez,32,158,640,571,90,146,28,2,30,101,2,1,49,176,.256,.319,.469,.788,116,268,10,9,0,11,0,suareeu01
6,LF,Lourdes Gurriel Jr.,30,133,553,513,72,143,22,2,18,75,7,1,29,101,.279,.322,.435,.757,109,223,16,6,0,5,1,gurrilo01
7,CF,Corbin Carroll*,23,158,684,589,121,136,22,14,22,74,35,8,73,130,.231,.322,.428,.749,107,252,3,10,3,9,0,carroco02
8,RF,Jake McCarthy*,26,142,495,442,66,126,13,7,8,56,25,6,31,78,.285,.349,.400,.749,109,177,4,14,5,3,1,mccarja02
9,DH,Joc Pederson*,32,132,449,367,62,101,17,1,23,64,7,4,55,105,.275,.393,.515,.908,151,189,5,18,1,3,2,pederjo01
10,MI,Kevin Newman,30,111,311,288,41,80,17,1,3,28,8,1,15,48,.278,.311,.375,.686,91,108,7,0,6,2,1,newmake01
11,DH,Randal Grichuk,32,106,279,254,40,74,20,2,12,46,0,0,20,46,.291,.348,.528,.875,140,134,5,3,0,2,0,grichra01
12,MI,Blaze Alexander,25,61,185,166,19,41,7,0,3,21,3,1,15,49,.247,.321,.343,.664,86,57,1,3,1,0,0,alexabl01
13,1B,Josh Bell#,31,41,162,140,24,39,5,1,5,22,0,1,17,32,.279,.361,.436,.796,121,61,9,1,0,0,0,belljo02
14,UT,Pavin Smith*,28,60,158,137,26,37,11,0,9,36,1,0,18,31,.270,.348,.547,.896,145,75,4,0,0,3,0,smithpa04
15,C,José Herrera#,27,42,114,97,11,22,4,1,1,13,0,0,9,27,.227,.290,.320,.609,70,31,1,0,7,1,0,herrejo04
16,CF,Alek Thomas*,24,39,103,95,13,18,5,1,3,17,4,1,7,17,.189,.245,.358,.603,66,34,7,0,1,0,0,thomaal01
17,C,Tucker Barnhart*,33,31,96,81,13,14,3,0,0,6,1,0,13,31,.173,.287,.210,.497,42,17,0,0,2,0,0,barnhtu01
18,C,Adrian Del Castillo*,24,25,87,80,12,25,5,0,4,19,1,1,7,28,.313,.368,.525,.893,146,42,1,0,0,0,0,delcaad01
19,2B,Luis Guillorme*,29,18,49,37,6,6,2,0,0,4,3,0,11,8,.162,.347,.216,.563,63,8,2,0,0,1,0,guilllu01
20,IF,Jace Peterson*,34,14,26,22,2,1,0,0,0,1,0,0,3,6,.045,.154,.045,.199,-40,1,1,0,0,1,0,peterja01
21,OF,Jorge Barrosa#,23,8,18,17,3,3,2,0,0,1,1,0,0,2,.176,.176,.294,.471,28,5,0,0,1,0,0,barrojo01
22,P,Scott McGough,34,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,mcgousc01
23,P,Logan Allen,27,0,0,,,,,,,,,,,,,,,,,,,,,,,allenlo01
24,P,Brandon Pfaadt,25,0,0,,,,,,,,,,,,,,,,,,,,,,,pfaadbr01
25,P,Jordan Montgomery*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,montgjo01
26,P,Kyle Nelson*,27,0,0,,,,,,,,,,,,,,,,,,,,,,,nelsoky01
27,P,Paul Sewald,34,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,sewalpa01
28,P,Luis Frías,26,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,friaslu01
29,P,Zac Gallen,28,0,0,,,,,,,,,,,,,,,,,,,,,,,galleza01
30,P,Slade Cecconi,25,0,0,,,,,,,,,,,,,,,,,,,,,,,ceccosl01
31,P,Ryan Thompson,32,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,thompry02
32,P,Blake Walston*,23,0,0,,,,,,,,,,,,,,,,,,,,,,,walstbl01
33,P,Cristian Mena,21,0,0,,,,,,,,,,,,,,,,,,,,,,,menacr01
34,P,Tommy Henry*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,henryto01
35,P,Humberto Castellanos,26,0,0,,,,,,,,,,,,,,,,,,,,,,,castehu01
36,P,Joe Mantiply,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,mantijo01
37,P,Eduardo Rodríguez*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,rodried05
38,P,Brandon Hughes#,28,0,0,,,,,,,,,,,,,,,,,,,,,,,hughebr01
39,P,A.J. Puk*,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,pukaj01
40,P,Yilber Diaz,23,0,0,,,,,,,,,,,,,,,,,,,,,,,diazyi01
41,P,Matt Bowman,33,0,0,,,,,,,,,,,,,,,,,,,,,,,bowmama01
42,P,Kevin Ginkel*,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,ginkeke01
43,P,Thyago Vieira,31,0,0,,,,,,,,,,,,,,,,,,,,,,,vieirth01
44,P,Joe Jacques*,29,0,0,,,,,,,,,,,,,,,,,,,,,,,jacqujo01
45,P,Bryce Jarvis*,26,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,jarvibr01
