Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Corbin Carroll,23,3,Amateur Draft,1.038,,8 yrs/$111M (23-30) & 31 team option,$3.62M,$5.62M,$10.62M,$12.62M,$14.62M,$28.62M,$28.62M,$5M [FA-*],carroco02
Eduardo Rodríguez,31,9,Free Agency,8.070,Mato Sports Manag...,4 yrs/$80M (24-27) & 28 mutual option,$14M,$20M,$21M,$19M,$6M [FA-*],FA,,,rodried05
Ketel Marte,30,10,Traded,7.162,QC Sports,5 yrs/$76M (23-27) & 28 team option,$13.6M,$16.6M,$16.6M,$14.6M,$3M [FA-*],FA,,,marteke01
Eugenio Suárez,32,11,Traded,9.061,Octagon,7 yrs/$66M (18-24) & 25 team option,$11.29M,$2M [FA-*],FA,,,,,,suareeu01
Lourdes Gurriel Jr.,30,7,Free Agency,5.094,Magnus Sports,3 yrs/$42M (24-26) & 27 team option,$10M,$14M,$13M,$5M [FA-*],FA,,,,gurrilo01
Josh Bell,31,9,Traded,7.053,Boras Corporation,2 yrs/$33M (23-24),$16.5M,FA,,,,,,,belljo02
Jordan Montgomery,31,8,Free Agency,6.153,Wasserman,1 yr/$25M (24) & 25 player option,$25M,$0 [FA-*],FA,,,,,,montgjo01
Merrill Kelly,35,6,Free Agency,5.000,Apex Baseball,2 yrs/$18M (23-24) & 25 team option,$8.5M,$1M [FA-*],FA,,,,,,kellyme01
Joc Pederson,32,11,Free Agency,9.028,Excel Sports Mana...,1 yr/$12.5M (24) & 25 mutual option,$9.5M,$3M [FA-*],FA,,,,,,pederjo01
Christian Walker,33,10,Waivers,5.124,Martini Sports Ma...,1 yr/$10.9M (24),$10.9M,FA,,,,,,,walkech02
Zac Gallen,28,6,Traded,4.100,Boras Corporation,1 yr/$10.01M (24),$10.01M,Arb,FA,,,,,,galleza01
Paul Sewald,34,8,Traded,5.072,ISE Baseball,1 yr/$7.35M (24),$7.35M,FA,,,,,,,sewalpa01
Scott McGough,34,3,Free Agency,1.046,Wasserman,2 yrs/$6.25M (23-24) & 25 mutual option,$3M,$750k [*],Arb,Arb,Arb,FA,,,mcgousc01
Randal Grichuk,32,11,Free Agency,9.033,Excel Sports Mana...,1 yr/$2M (24) & 25 mutual option,$1.5M,$500k [FA-*],FA,,,,,,grichra01
Andrew Knizner,29,6,,4.021,CAA Sports,1 yr/$1.83M (24),$1.82M,Arb,FA,,,,,,kniznan01
A.J. Puk,29,5,Traded,3.124,ISE Baseball,1 yr/$1.8M (24),$1.8M,Arb,Arb,FA,,,,,pukaj01
Tommy Henry,26,3,Amateur Draft,1.053,,1 yr/$761k (24),$760.5k,Pre-Arb,Arb,Arb,Arb,FA,,,henryto01
Slade Cecconi,25,2,Amateur Draft,0.043,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,ceccosl01
Andrew Saalfrank,26,2,Hd,0.028,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,saalfan01
Jordan Lawlar,21,1st,Amateur Draft,0.025,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,lawlajo01
Ryan Thompson,32,5,Free Agency,3.095,Northwest Sports ...,1 yr/$1.35M (24),$1.35M,Arb,Arb,FA,,,,,thompry02
Kevin Ginkel,30,6,Amateur Draft,3.033,Ballengee Group,1 yr/$1.23M (24),$1.23M,Arb,Arb,FA,,,,,ginkeke01
Kevin Newman,30,7,Free Agency,5.046,Jonathan Weiss,1 yr/$946k (24),$946.24k,FA,,,,,,,newmake01
Joe Mantiply,33,7,Free Agency,3.029,ISE Baseball,1 yr/$925k (24),$925k,Arb,Arb,FA,,,,,mantijo01
Geraldo Perdomo,24,4,Amateur Free Agent,2.015,Madden Sports Gro...,1 yr/$786k (24),$786k,Arb,Arb,Arb,FA,,,,perdoge01
