Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,,COL,W16-1,44,40,16,18,3,0,1,16,3,0,9,0,0,1,0,1,0,0,.450,.477,.600,1.077,4,12,L,K.Freeland(-2)
2,2,Mar 29,,COL,W7-3,40,36,7,14,2,0,3,7,4,0,2,0,0,0,0,1,1,1,.421,.464,.645,1.109,9,9,R,C.Quantrill(29)
3,3,Mar 30,,COL,L4-9,40,31,4,8,1,0,2,4,9,0,5,0,0,0,0,4,1,0,.374,.452,.598,1.050,9,10,L,A.Gomber(36)
4,4,Mar 31,,COL,W5-1,31,28,5,5,1,0,1,4,2,0,6,1,0,0,1,2,3,1,.333,.413,.541,.954,2,10,R,R.Feltner(43)
5,5,Apr 1,,NYY,L2-5,37,30,2,4,1,1,0,2,4,0,7,1,0,2,1,0,0,0,.297,.380,.485,.865,8,10,R,L.Gil(61)
6,6,Apr 2,,NYY,W7-0,39,35,7,11,1,0,1,6,4,0,7,0,0,0,1,0,1,1,.300,.381,.475,.856,8,11,L,N.Cortés(39)
7,7,Apr 3,,NYY,L5-6,45,41,5,9,3,0,2,5,3,1,11,1,0,0,1,0,0,1,.286,.366,.469,.835,9,14,L,C.Rodón(47)
8,8,Apr 5,@,ATL,L5-6,45,39,5,9,2,0,1,5,6,0,8,0,0,0,0,0,0,0,.279,.361,.454,.815,11,10,R,S.Strider(29)
9,9,Apr 6,@,ATL,L8-9,43,39,8,12,2,0,1,7,2,1,6,1,1,0,0,0,0,0,.282,.361,.451,.812,8,11,L,M.Fried(17)
10,10,Apr 7,@,ATL,L2-5,33,31,2,5,0,0,0,1,1,0,8,0,1,0,0,0,0,0,.271,.347,.426,.773,4,11,L,C.Sale(58)
11,11,Apr 8,@,COL,L5-7,41,33,5,7,0,0,0,3,7,0,6,0,0,1,1,0,1,0,.266,.346,.407,.754,9,12,L,K.Freeland(43)
12,12,Apr 9,@,COL,W3-2,39,35,3,9,2,0,2,3,4,0,8,0,0,0,0,1,0,0,.266,.345,.414,.759,9,10,R,C.Quantrill(50)
13,13,Apr 10,@,COL,W5-3,42,37,5,10,3,0,1,5,5,0,5,0,0,0,0,0,1,0,.266,.346,.415,.762,10,15,L,A.Gomber(54)
14,14,Apr 12,,STL,L6-9,37,36,6,9,1,0,1,6,1,0,9,0,0,0,2,1,1,0,.265,.341,.411,.753,4,12,L,S.Matz(40)
15,15,Apr 13,,STL,W4-2,32,27,4,6,2,0,1,4,4,0,5,0,0,1,0,1,0,0,.263,.340,.411,.751,4,10,R,K.Gibson(43)
16,16,Apr 14,,STL,W5-0,33,29,5,7,2,0,0,4,3,0,5,0,0,1,0,1,2,0,.261,.338,.406,.743,4,9,R,M.Mikolas(37)
17,17,Apr 15,,CHC,L2-3,40,35,2,3,1,0,0,2,5,1,8,0,0,0,0,0,0,1,.251,.329,.388,.718,7,11,R,B.Brown(68)
18,18,Apr 16,,CHC,W12-11,50,37,12,12,2,0,3,10,10,0,5,1,0,2,1,1,3,0,.255,.339,.402,.741,12,12,R,K.Hendricks(25)
19,19,Apr 17,,CHC,L3-5,36,34,3,7,3,0,2,3,1,0,7,1,0,0,0,1,1,0,.253,.334,.406,.740,6,12,L,J.Wicks(49)
20,20,Apr 18,@,SFG,L0-5,30,29,0,3,0,0,0,0,1,0,8,0,0,0,0,0,0,1,.246,.326,.393,.719,3,9,R,L.Webb(77)
21,21,Apr 19,@,SFG,W17-1,53,48,17,22,6,0,1,16,5,0,5,0,0,0,0,1,0,0,.260,.338,.410,.748,9,13,L,B.Snell(28)
22,22,Apr 20,@,SFG,L3-7,35,33,3,7,2,0,0,3,1,0,13,1,0,0,0,1,0,0,.258,.335,.404,.739,5,11,L,K.Harrison(42)
23,23,Apr 21,@,SFG,W5-3,39,31,5,7,2,0,0,5,4,0,2,2,0,2,0,1,0,1,.257,.335,.399,.734,7,11,R,J.Hicks(57)
24,24,Apr 22,@,STL,L3-5,40,34,3,9,3,0,0,3,4,0,11,1,0,1,0,1,0,0,.257,.335,.397,.733,10,9,R,L.Lynn(45)
25,25,Apr 23,@,STL,W14-1,46,41,14,15,4,0,3,14,4,0,10,1,0,0,0,1,0,0,.262,.340,.411,.751,5,9,L,S.Matz(24)
26,26,Apr 24,@,STL,L1-5,35,30,1,7,0,0,0,1,3,0,7,1,0,1,0,3,0,0,.261,.339,.405,.744,7,12,R,K.Gibson(62)
27,27,Apr 26,@,SEA,L1-6,32,27,1,3,0,0,1,1,4,0,7,1,0,0,0,3,0,0,.257,.336,.400,.736,4,9,R,E.Hancock(66)
28,28,Apr 27,@,SEA,L1-3,32,30,1,3,1,1,0,1,2,0,14,0,0,0,0,0,0,0,.252,.331,.393,.724,4,9,R,G.Kirby(84)
29,29,Apr 28,@,SEA,W3-2,35,32,3,6,4,0,1,3,2,0,12,0,1,0,0,0,0,0,.250,.328,.394,.722,5,11,R,L.Gilbert(65)
30,30,Apr 29,,LAD,L4-8,39,31,4,7,2,0,0,3,6,0,6,0,0,2,0,1,0,0,.249,.328,.391,.719,8,10,L,J.Paxton(38)
31,31,Apr 30,,LAD,W4-3,40,36,4,10,3,0,2,4,2,0,5,1,1,0,0,0,1,0,.250,.329,.395,.724,10,11,R,L.Knack(56)
32,32,May 1,,LAD,L0-8,37,32,0,7,1,0,0,0,5,0,7,0,0,0,0,2,0,0,.249,.328,.391,.719,10,11,R,Y.Yamamoto(65)
33,33,May 3,,SDP,L1-7,29,29,1,3,2,0,0,1,0,0,10,0,0,0,0,1,0,0,.246,.323,.385,.709,1,9,R,D.Cease(72)
34,34,May 4,,SDP,L1-13,35,33,1,8,0,0,0,1,2,0,7,0,0,0,0,0,0,0,.245,.322,.381,.704,7,12,R,M.King(63)
35,35,May 5,,SDP,W11-4,38,35,11,13,3,0,2,11,3,0,4,0,0,0,0,2,0,0,.249,.325,.389,.714,3,11,R,M.Waldron(12)
36,36,May 7,@,CIN,W6-2,38,36,6,8,1,0,2,6,2,0,12,0,0,0,1,0,0,0,.248,.323,.389,.713,5,10,R,F.Montas(64)
37,37,May 8,@,CIN,W4-3,37,33,4,8,1,0,1,4,3,0,7,1,0,0,1,3,1,0,.248,.323,.389,.712,6,11,R,G.Ashcraft(42)
38,38,May 9,@,CIN,W5-4,42,33,5,9,3,1,1,5,8,0,10,0,0,1,0,0,1,0,.249,.326,.392,.718,10,11,R,H.Greene(48)
39,39,May 10,@,BAL,L2-4,37,34,2,7,1,0,1,2,2,0,8,1,0,0,0,0,0,0,.248,.324,.390,.715,8,12,L,C.Irvin(56)
40,40,May 11,@,BAL,L4-5,42,38,4,7,2,1,1,4,1,0,6,2,0,1,0,1,0,0,.246,.322,.390,.712,7,11,L,J.Means(39)
41,41,May 12,@,BAL,W9-2,41,34,9,8,4,0,1,8,5,0,14,0,0,2,0,0,0,0,.246,.322,.391,.713,5,10,R,D.Kremer(49)
42,42,May 13,,CIN,W6-5,45,34,6,11,2,0,2,6,8,0,10,2,0,1,0,0,1,1,.248,.326,.395,.721,14,11,R,G.Ashcraft(36)
43,43,May 14,,CIN,L2-6,34,32,2,6,3,0,0,2,1,0,7,0,1,0,0,0,0,0,.246,.324,.392,.716,5,9,R,H.Greene(63)
44,44,May 15,,CIN,W2-1,31,29,2,6,2,0,1,2,2,0,6,0,0,0,0,1,0,0,.245,.322,.392,.715,5,11,L,A.Abbott(67)
45,45,May 17,,DET,L0-13,31,31,0,3,1,0,0,0,0,0,9,0,0,0,1,0,0,0,.242,.318,.387,.705,4,11,L,T.Skubal(76)
46,46,May 18,,DET,L3-8,36,33,3,8,0,2,0,3,3,0,11,0,0,0,0,1,0,0,.242,.318,.386,.704,6,11,R,J.Flaherty(61)
47,47,May 19,,DET,W6-4,39,33,6,12,1,1,0,6,4,0,5,0,0,2,0,0,1,1,.245,.320,.388,.708,9,12,R,M.Manning(29)
48,48,May 20,@,LAD,L4-6,38,37,4,10,2,0,2,4,1,0,10,0,0,0,0,0,0,0,.246,.319,.390,.709,7,10,R,Y.Yamamoto(58)
49,49,May 21,@,LAD,W7-3,40,38,7,12,1,0,2,7,2,0,7,0,0,0,0,1,1,0,.247,.320,.392,.713,6,9,R,G.Stone(44)
50,50,May 22,@,LAD,W6-0,39,37,6,9,1,1,2,4,2,0,8,0,0,0,1,0,0,0,.247,.319,.394,.714,6,11,R,T.Glasnow(52)
51,51,May 24,,MIA,L0-3,31,31,0,4,0,0,0,0,0,0,6,0,0,0,1,1,0,0,.245,.316,.390,.706,4,9,L,B.Garrett(85)
52,52,May 25,,MIA,W3-2,31,26,3,5,2,0,0,3,2,0,7,1,1,1,0,1,2,0,.244,.316,.388,.703,4,9,R,S.Sánchez(45)
53,53,May 26,,MIA,L1-3,34,33,1,6,0,1,0,1,1,0,11,0,0,0,0,0,0,0,.243,.314,.385,.699,6,9,L,R.Weathers(70)
54,54,May 28,@,TEX,L2-4,36,33,2,8,2,0,0,2,2,0,9,0,0,1,0,0,1,0,.243,.313,.384,.697,7,12,R,N.Eovaldi(43)
55,55,May 29,@,TEX,L1-6,40,35,1,9,1,0,0,1,5,0,10,0,0,0,0,1,1,0,.243,.314,.382,.696,12,13,R,D.Dunning(63)
56,56,May 30,@,NYM,L2-3,34,30,2,4,2,0,0,2,3,0,8,0,0,0,1,1,1,1,.242,.312,.379,.691,5,12,R,C.Scott(54)
57,57,May 31,@,NYM,L9-10,41,36,9,9,0,0,3,9,3,0,9,1,0,0,0,0,1,0,.242,.312,.381,.694,5,9,R,L.Severino(41)
58,58,Jun 1,@,NYM,W10-5,43,37,10,11,1,0,1,9,5,0,13,0,0,1,0,0,4,0,.243,.314,.382,.695,6,9,L,S.Manaea(43)
59,59,Jun 2,@,NYM,W5-4,41,36,5,9,4,0,3,5,3,0,13,2,0,0,0,0,0,0,.243,.314,.386,.700,9,12,L,J.Quintana(43)
60,60,Jun 3,,SFG,W4-2,34,33,4,9,2,1,2,4,0,0,8,1,0,0,0,1,0,0,.243,.314,.389,.703,5,10,L,E.Miller(49)
61,61,Jun 4,,SFG,W8-5,38,34,8,13,3,0,0,8,2,0,8,0,1,1,1,2,0,0,.246,.315,.390,.706,6,10,L,K.Harrison(47)
62,62,Jun 5,,SFG,L3-9,42,35,3,9,0,0,1,3,5,0,13,2,0,0,0,1,1,0,.246,.316,.389,.706,12,12,R,J.Hicks(44)
63,63,Jun 6,@,SDP,W4-3,40,36,4,9,3,0,2,4,3,1,5,1,0,0,0,0,2,0,.246,.317,.391,.708,9,11,R,R.Vásquez(53)
64,64,Jun 7,@,SDP,L3-10,39,36,3,9,1,0,2,3,2,0,12,1,0,0,0,0,1,0,.246,.316,.392,.709,9,11,R,M.King(61)
65,65,Jun 8,@,SDP,L1-13,35,32,1,5,1,0,0,1,3,0,7,0,0,0,0,0,0,0,.245,.315,.389,.704,7,10,R,M.Waldron(64)
66,66,Jun 9,@,SDP,W9-3,44,40,9,15,1,0,1,9,4,0,6,0,0,0,0,0,2,1,.247,.317,.391,.708,8,9,R,A.Mazur(10)
67,67,Jun 11,,LAA,W9-4,45,37,9,15,4,2,1,8,6,0,6,2,0,0,0,2,1,0,.250,.321,.396,.717,12,11,L,J.Suarez(32)
68,68,Jun 12,,LAA,L3-8,31,29,3,6,0,0,2,3,2,0,6,0,0,0,0,4,0,0,.249,.320,.396,.716,1,11,R,J.Soriano(67)
69,69,Jun 13,,LAA,W11-1,40,33,11,9,3,0,3,11,6,0,5,1,0,0,0,0,2,0,.249,.321,.399,.721,5,9,R,G.Canning(50)
70,70,Jun 14,,CHW,W7-1,36,33,7,10,1,0,2,7,3,0,6,0,0,0,0,0,1,0,.250,.322,.401,.723,5,9,R,C.Flexen(22)
71,71,Jun 15,,CHW,L2-9,37,36,2,10,3,0,0,2,0,0,9,0,0,1,0,0,0,0,.251,.321,.400,.721,8,9,R,E.Fedde(54)
72,72,Jun 16,,CHW,W12-5,40,29,12,9,2,1,1,10,8,0,6,0,0,2,0,1,1,0,.251,.323,.402,.725,4,11,R,D.Thorpe(13)
73,73,Jun 18,@,WSN,W5-0,40,32,5,14,1,1,1,5,4,0,4,1,1,2,0,3,1,2,.254,.325,.405,.730,8,9,R,J.Irvin(33)
74,74,Jun 19,@,WSN,L1-3,34,31,1,4,1,0,0,1,3,0,10,0,0,0,0,0,0,0,.252,.323,.402,.726,6,10,L,P.Corbin(61)
75,75,Jun 20,@,WSN,W5-2,41,38,5,12,2,0,1,5,2,0,12,0,1,0,1,0,2,1,.253,.324,.403,.727,9,10,L,M.Gore(42)
76,76,Jun 21,@,PHI,W5-4,41,34,5,9,1,0,3,5,4,0,6,3,0,0,0,0,2,0,.253,.325,.405,.730,9,11,R,T.Walker(36)
77,77,Jun 22,@,PHI,L1-12,30,29,1,2,0,0,0,1,0,0,9,1,0,0,0,0,0,0,.251,.322,.401,.724,2,12,R,Z.Wheeler(77)
78,78,Jun 23,@,PHI,L1-4,31,31,1,6,1,0,0,1,0,0,7,0,0,0,0,2,0,0,.250,.321,.399,.720,3,12,L,C.Sánchez(75)
79,79,Jun 25,,MIN,W5-4,33,32,5,8,0,1,1,5,1,0,6,0,0,0,0,0,0,0,.250,.321,.399,.720,4,9,R,J.Ryan(49)
80,80,Jun 26,,MIN,L3-8,33,29,3,4,1,1,0,2,2,0,8,1,0,1,0,0,0,1,.249,.319,.397,.717,3,9,R,S.Woods Richardson(50)
81,81,Jun 27,,MIN,L6-13,40,36,6,9,1,0,1,6,2,0,7,1,0,1,1,0,0,0,.249,.319,.397,.716,7,12,R,D.Festa(34)
82,82,Jun 28,,OAK,L4-9,37,33,4,7,3,0,1,4,2,0,9,1,1,0,0,0,0,0,.249,.319,.397,.716,6,12,L,J.Sears(55)
83,83,Jun 29,,OAK,W3-0,39,34,3,12,3,0,0,3,4,1,5,1,0,0,0,2,0,0,.250,.320,.397,.718,12,10,L,H.Harris(30)
84,84,Jun 30,,OAK,W5-1,38,29,5,8,4,0,0,5,6,2,5,2,1,0,0,1,0,0,.250,.321,.398,.719,9,12,R,L.Medina(62)
85,85,Jul 2,@,LAD,L5-6,41,36,5,10,0,0,2,4,4,0,9,0,1,0,0,0,0,0,.251,.322,.398,.720,9,11,R,B.Miller(52)
86,86,Jul 3,@,LAD,W12-4,50,41,12,16,5,0,4,12,7,1,8,0,1,1,0,0,2,0,.253,.324,.404,.728,11,11,R,G.Stone(29)
87,87,Jul 4,@,LAD,W9-3,44,39,9,12,1,0,3,9,5,2,9,0,0,0,0,0,4,0,.253,.325,.406,.731,8,11,R,L.Knack(44)
88,88,Jul 5,@,SDP,L8-10,40,38,8,12,3,0,3,8,2,0,9,0,0,0,0,1,0,0,.254,.325,.409,.734,5,14,R,R.Vásquez(58)
