Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,,COL,W16-1,9.0,4,1,1,0,3,6,0,1,1.00,34,137,83,0,0,0,0,30,2,0,0,0,0,0,1,5,Dan Bellino,Z.Gallen (99-58-W) S.McGough (99) M.Castro (99) K.Nelson (99) L.Frías (99)
2,2,Mar 29,,COL,W7-3,9.0,7,3,3,0,0,11,1,0,2.00,33,122,88,1,1,0,0,33,1,1,0,0,0,0,0,4,Phil Cuzzi,M.Kelly (99-72-W) J.Mantiply (99) R.Thompson (99) K.Ginkel (99)
3,3,Mar 30,,COL,L4-9,9.0,10,9,9,0,6,9,2,0,4.33,41,165,110,1,1,1,0,34,1,1,0,0,1,0,2,4,Tony Randazzo,T.Henry (99-32-L) L.Frías (1) B.Jarvis (99) K.Nelson (1)
4,4,Mar 31,,COL,W5-1,9.0,8,1,1,0,0,9,0,2,3.50,34,136,92,0,0,0,0,32,0,0,0,0,0,0,2,4,Alex Tosi,B.Pfaadt (99-59-W) S.McGough (2) R.Thompson (1) K.Ginkel (1)
5,5,Apr 1,,NYY,L2-5,9.0,8,5,4,1,5,4,0,0,3.60,39,161,99,0,0,0,0,33,3,0,0,0,1,0,1,5,Larry Vanover,R.Nelson (99-28-L) K.Nelson (1) M.Castro (3) J.Mantiply (2) L.Frías (1)
6,6,Apr 2,,NYY,W7-0,9.0,3,0,0,0,3,8,0,0,3.00,31,131,77,0,0,0,0,28,0,0,0,0,0,0,2,4,Scott Barry,Z.Gallen (4-69-W) S.McGough (1-H) R.Thompson (1) B.Jarvis (2)
7,7,Apr 3,,NYY,L5-6,11.0,8,6,4,2,1,7,2,0,3.05,41,151,108,0,0,0,0,39,1,0,0,0,0,0,2,5,Brian Walsh,M.Kelly (4-62) J.Mantiply (1) R.Thompson (0) K.Ginkel (2) S.McGough (0-L)
8,8,Apr 5,@,ATL,L5-6,9.0,12,6,4,2,3,8,1,1,3.16,45,169,116,1,0,0,0,41,5,0,0,0,0,1,0,6,Alex MacKay,T.Henry (5-50) R.Thompson (1-H) J.Mantiply (1-H) M.Castro (3-H) K.Ginkel (1-BSv) S.McGough (1-L)
9,9,Apr 6,@,ATL,L8-9,8.0,15,9,8,1,2,10,1,0,3.73,42,144,103,2,0,0,0,40,4,1,0,0,0,1,0,4,Mark Ripperger,B.Pfaadt (5-39) B.Jarvis (3-H) L.Frías (4-BL) K.Nelson (4)
10,10,Apr 7,@,ATL,L2-5,8.0,7,5,5,0,0,10,3,0,3.90,32,139,92,0,0,0,0,31,1,0,0,0,1,1,0,3,Adam Hamari,R.Nelson (5-52-L) K.Nelson (0) M.Castro (1)
11,11,Apr 8,@,COL,L5-7,8.0,13,7,7,0,3,14,1,0,4.22,39,177,111,3,2,0,0,35,1,1,0,0,1,0,1,4,Nic Lentz,Z.Gallen (5-49) S.McGough (2-BL) J.Mantiply (2) L.Frías (1)
12,12,Apr 9,@,COL,W3-2,9.0,8,2,2,0,3,6,0,0,4.04,35,142,91,0,0,0,2,32,1,0,0,0,0,0,1,4,Emil Jimenez,M.Kelly (5-53-W) R.Thompson (3-H) K.Nelson (1-H) K.Ginkel (3-Sv)
13,13,Apr 10,@,COL,W5-3,9.0,6,3,2,1,6,11,1,0,3.88,41,171,109,1,0,0,0,35,2,0,0,0,0,2,0,4,Lance Barksdale,T.Henry (4-52) B.Jarvis (3) J.Mantiply (1-W) K.Ginkel (0-Sv)
14,14,Apr 12,,STL,L6-9,9.0,14,9,9,0,3,8,2,0,4.25,43,169,115,1,0,0,0,38,2,2,0,0,2,0,1,5,Quinn Wolcott,B.Pfaadt (5-36) J.Mantiply (1-L) M.Castro (4) S.McGough (3) L.Frías (3)
15,15,Apr 13,,STL,W4-2,9.0,11,2,2,0,1,5,0,0,4.10,38,116,82,1,0,1,0,37,1,1,1,0,0,0,0,4,Adrian Johnson,R.Nelson (5-57-W) K.Nelson (3-H) R.Thompson (3-H) K.Ginkel (2-Sv)
16,16,Apr 14,,STL,W5-0,9.0,4,0,0,0,3,8,0,0,3.84,33,129,75,0,0,0,0,30,2,0,0,0,0,0,1,3,Junior Valentine,Z.Gallen (5-69-W) J.Mantiply (1) B.Jarvis (3)
17,17,Apr 15,,CHC,L2-3,11.0,9,3,2,1,5,11,1,0,3.68,46,196,123,2,0,0,0,41,0,0,1,0,0,0,1,7,Sean Barber,M.Kelly (5-60) K.Nelson (1) M.Castro (2) J.Mantiply (0) R.Thompson (1) K.Ginkel (1-BSv) B.Jarvis (0-L)
18,18,Apr 16,,CHC,W12-11,10.0,14,11,11,0,3,8,1,0,4.06,45,165,106,4,3,0,1,41,4,3,0,0,1,0,0,6,Alan Porter,T.Henry (5-27) S.McGough (3) L.Frías (3) K.Nelson (0-BSv) M.Castro (0) K.Ginkel (0-W)
19,19,Apr 17,,CHC,L3-5,9.0,9,5,4,1,2,7,1,0,4.06,38,132,86,2,0,1,0,36,1,0,1,0,0,1,1,3,Nate Tomlinson,B.Pfaadt (4-61-L) J.Mantiply (1) J.Martinez (99)
20,20,Apr 18,@,SFG,L0-5,8.0,8,5,2,3,3,4,0,0,3.98,35,116,79,3,3,0,0,31,3,0,1,0,1,1,1,4,Mark Carlson,R.Nelson (4-52) L.Allen (99-L) B.Jarvis (2) K.Nelson (1)
21,21,Apr 19,@,SFG,W17-1,9.0,4,1,1,0,3,5,1,0,3.84,34,128,82,0,0,0,0,31,1,0,0,0,0,0,0,3,Dan Merzel,J.Montgomery (99-63-W) S.McGough (2) J.Martinez (1)
