Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Blaze Alexander,25,61,185,-3,0,1,-4,0,-5,-0.6,6,1,0.0,.491,.497,0.5,-0.4,5,$740000,Amateur Draft,64D/H5,alexabl01
Tucker Barnhart*,33,31,96,-5,1,1,1,2,0,0.0,3,3,0.3,.499,.500,0.2,0.3,2,,Free Agency,2/1H,barnhtu01
Jorge Barrosa#,23,8,18,-2,0,0,1,0,0,0.0,1,0,0.0,.495,.500,-0.1,0.1,-1,$740000,Free Agency,/8H7,barrojo01
Josh Bell#,31,41,162,4,-1,-1,-2,-2,-2,-0.2,6,3,0.3,.494,.499,0.5,-0.4,5,,Traded,3/DH,belljo02
Corbin Carroll*,23,158,684,4,7,3,-3,0,12,1.2,23,35,3.4,.508,.508,3.7,-0.3,38,$3625000,Amateur Draft,*89/H,carroco02
Adrian Del Castillo*,24,25,87,5,-1,0,-3,2,2,0.2,3,5,0.5,.507,.501,0.8,-0.2,8,,Amateur Draft,2/H,delcaad01
Luis Frías,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$748300,Amateur Free Agent,/1,friaslu01
Kevin Ginkel*,30,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1225000,Amateur Draft,1,ginkeke01
Randal Grichuk,32,106,279,13,1,1,3,-6,13,1.3,10,22,2.2,.512,.508,1.9,-0.3,19,$1500000,Free Agency,9DH7,grichra01
Luis Guillorme*,29,18,49,-2,1,0,2,0,1,0.2,2,3,0.3,.508,.501,0.1,0.2,1,,Free Agency,4/H5D,guilllu01
Lourdes Gurriel Jr.,30,133,553,4,1,-2,3,-4,2,0.2,19,21,2.0,.502,.501,1.7,-0.1,18,$10000000,Free Agency,*7H/D3,gurrilo01
José Herrera#,27,42,114,-4,0,0,-3,2,-6,-0.6,4,-2,-0.2,.486,.496,0.1,-0.1,1,$740000,Free Agency,2/H5D,herrejo04
Bryce Jarvis*,26,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$743600,Amateur Draft,1,jarvibr01
Joe Mantiply,33,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$925000,Free Agency,1,mantijo01
Ketel Marte#,30,136,583,36,0,0,10,2,48,4.9,20,68,6.8,.536,.531,5.8,1.3,58,$13600000,Traded,*4D/H6,marteke01
Justin Martinez,22,2,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$740000,Free Agency,1,martiju01
Jake McCarthy*,26,142,495,4,-1,2,-3,-2,1,0.1,17,18,1.7,.501,.501,2.0,-0.5,21,$766000,Amateur Draft,*987H/D,mccarja02
Scott McGough,34,2,1,0,0,0,0,0,0,0.0,0,0,0.0,.494,.500,0.0,0.0,0,$3000000,Free Agency,1,mcgousc01
Gabriel Moreno,24,97,351,2,-1,-1,7,6,14,1.5,12,26,2.6,.515,.509,1.8,1.4,19,$760100,Traded,2H/5,morenga01
Kevin Newman,30,111,311,-3,1,0,10,4,12,1.2,11,22,2.2,.511,.508,1.2,1.5,12,$946237,Free Agency,643/H5D7,newmake01
Joc Pederson*,32,132,449,26,-2,0,0,-10,14,1.4,15,29,2.9,.511,.509,2.9,-1.1,29,$9500000,Free Agency,*DH,pederjo01
Geraldo Perdomo#,24,98,388,2,3,1,10,6,21,2.2,13,35,3.5,.523,.514,2.4,1.7,25,$786000,Amateur Free Agent,6/H,perdoge01
Jace Peterson*,34,14,26,-4,1,0,-3,0,-7,-0.7,1,-6,-0.6,.450,.496,-0.3,-0.3,-3,$5000000,Traded,/H64D5,peterja01
A.J. Puk*,29,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,,Traded,1,pukaj01
Paul Sewald,34,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$7350000,Traded,1,sewalpa01
Pavin Smith*,28,60,158,8,-1,0,-4,-2,1,0.1,5,7,0.6,.502,.501,1.0,-0.7,11,$740000,Amateur Draft,397H/D1,smithpa04
Eugenio Suárez,32,158,640,11,0,-1,-4,4,10,1.0,22,32,3.1,.507,.506,3.5,0.0,36,$11285715,Traded,*5/D,suareeu01
Alek Thomas*,24,39,103,-3,1,-1,-1,1,-3,-0.4,4,0,0.0,.491,.498,0.1,0.0,1,$769500,Amateur Draft,8/HD,thomaal01
Ryan Thompson,32,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$1350000,Free Agency,1,thompry02
Christian Walker,33,130,552,10,-2,-1,7,-6,8,0.8,19,26,2.6,.506,.505,1.9,0.1,19,$10900000,Waivers,*3/H,walkech02
Team Total,28.5,1753,6284,103,8,1,24,-3,134,13.8,214,347,34.0,.508,.507,31.5,2.1,323,$88480452,,,-9999
