Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Logan Allen*,27,28.0,12,0,17,5.46,4.88,0.17,-0.23,0.00,97.9,4.38,-3,-0.4,.56,0.0,-0.1,-1,.471,.498,,Free Agency,allenlo01
Tucker Barnhart,33,1.0,1,0,2,18.00,5.04,0.34,-0.33,0.00,96.0,4.19,-2,-0.1,.00,0.1,-0.1,-1,.360,.499,,Free Agency,barnhtu01
Matt Bowman,33,6.2,4,0,6,8.10,4.64,0.19,-0.31,0.00,97.9,4.06,-3,-0.3,.19,0.1,-0.1,-2,.426,.498,$925000,Purchased,bowmama01
Humberto Castellanos,26,10.1,7,0,6,5.23,4.60,0.17,-0.31,0.00,102.1,4.22,-1,-0.1,1.90,-0.1,-0.1,0,.483,.499,$740000,Waivers,castehu01
Miguel Castro,29,13.2,11,0,9,5.93,4.54,0.19,-0.30,0.00,101.0,4.09,-3,-0.3,.48,0.0,-0.1,-2,.474,.498,$5000000,Free Agency,castrmi01
Slade Cecconi,25,77.0,20,13,57,6.66,4.69,0.16,0.14,0.00,97.3,4.54,-18,-1.8,.60,0.0,-1.1,-11,.411,.489,$740000,Amateur Draft,ceccosl01
Yilber Diaz,23,28.1,7,4,13,4.13,4.33,0.15,0.06,0.00,103.3,4.37,1,0.1,.23,0.0,0.3,3,.510,.500,,Free Agency,diazyi01
Dylan Floro,33,16.1,15,0,17,9.37,4.54,0.19,-0.30,0.00,101.5,4.11,-10,-0.9,.89,0.0,-0.8,-8,.437,.494,,Traded,florody01
Luis Frías,26,6.1,7,0,8,11.37,4.17,0.16,-0.28,0.00,106.3,3.96,-5,-0.5,.77,0.0,-0.4,-5,.427,.497,$748300,Amateur Free Agent,friaslu01
Zac Gallen,28,148.0,28,28,62,3.77,4.52,0.14,0.21,0.00,100.0,4.59,13,1.4,,-0.1,2.7,27,.550,.509,$10011000,Traded,galleza01
Kevin Ginkel,30,70.0,72,0,31,3.99,4.54,0.14,-0.30,0.24,100.8,4.37,3,0.3,1.46,-0.1,0.8,10,.504,.502,$1225000,Amateur Draft,ginkeke01
Tommy Henry*,26,38.1,9,7,31,7.28,4.35,0.17,0.12,0.00,103.5,4.45,-12,-1.1,.54,0.0,-0.8,-8,.374,.493,$760500,Amateur Draft,henryto01
Brandon Hughes*,28,17.2,15,2,16,8.15,5.02,0.16,-0.30,0.00,98.3,4.48,-7,-0.7,.32,0.2,-0.4,-6,.452,.496,$740000,Free Agency,hughebr01
Joe Jacques*,29,1.1,1,0,2,13.50,4.74,0.23,-0.32,0.00,98.0,4.11,-1,-0.1,.35,0.0,-0.1,-1,.371,.499,$740000,Waivers,jacqujo01
Bryce Jarvis,26,59.1,44,0,25,3.79,4.62,0.15,-0.31,0.37,99.0,4.49,4,0.5,.71,-0.2,0.8,10,.511,.503,$743600,Amateur Draft,jarvibr01
Merrill Kelly,35,73.2,13,13,35,4.28,4.48,0.15,0.21,0.00,104.1,4.72,3,0.4,,-0.1,1.0,11,.528,.502,$8500000,Free Agency,kellyme01
Joe Mantiply*,33,59.2,75,2,27,4.07,4.60,0.14,-0.31,0.09,100.8,4.28,1,0.1,1.15,-0.2,0.6,7,.502,.501,$925000,Free Agency,mantijo01
Justin Martinez,22,72.2,64,0,26,3.22,4.70,0.12,-0.31,0.54,98.5,4.73,12,1.3,1.35,0.0,2.0,19,.520,.508,$740000,Free Agency,martiju01
Scott McGough,34,32.2,26,2,30,8.27,4.50,0.16,-0.25,0.52,101.7,4.68,-13,-1.3,1.02,-0.1,-1.1,-10,.450,.492,$3000000,Free Agency,mcgousc01
Cristian Mena,21,3.0,1,1,4,12.00,5.99,0.17,0.28,0.00,86.0,5.24,-2,-0.2,,0.0,-0.2,-2,.307,.499,,Traded,menacr01
Jordan Montgomery*,31,117.0,25,21,83,6.38,4.32,0.17,0.14,0.00,102.8,4.41,-26,-2.5,.38,0.0,-1.4,-15,.401,.485,$25000000,Free Agency,montgjo01
Kyle Nelson*,27,10.2,11,0,5,4.22,4.48,0.14,-0.30,0.00,101.1,4.09,0,0.0,1.35,0.0,0.1,1,.498,.500,$757300,Waivers,nelsoky01
Ryne Nelson,26,150.2,28,25,73,4.36,4.66,0.15,0.20,0.00,98.6,4.64,4,0.4,.72,-0.1,1.7,19,.515,.503,$764300,Amateur Draft,nelsory01
Brandon Pfaadt,25,181.2,32,32,103,5.10,4.58,0.14,0.21,0.00,99.3,4.61,-11,-1.1,,-0.1,0.5,7,.467,.493,$754400,Amateur Draft,pfaadbr01
A.J. Puk*,29,27.1,30,0,4,1.32,4.47,0.10,-0.30,0.00,102.9,4.20,9,0.9,1.42,0.1,1.3,11,.531,.506,,Traded,pukaj01
Eduardo Rodríguez*,31,50.0,10,10,29,5.22,4.55,0.16,0.21,0.00,105.3,4.84,-2,-0.2,,0.0,0.2,3,.477,.499,$14000000,Free Agency,rodried05
Andrew Saalfrank*,26,1.0,2,0,4,36.00,4.79,0.20,-0.32,0.00,102.0,4.37,-4,-0.3,.79,0.0,-0.3,-3,.343,.498,,Hd,saalfan01
Paul Sewald,34,39.2,42,0,19,4.31,4.59,0.14,-0.31,0.00,100.6,4.17,-1,-0.1,1.36,-0.1,0.2,3,.498,.500,$7350000,Traded,sewalpa01
Pavin Smith*,28,1.0,1,0,0,0.00,4.74,0.15,-0.32,0.00,98.0,4.19,0,0.1,.00,0.0,0.0,1,.550,.500,$740000,Amateur Draft,smithpa04
Ryan Thompson,32,66.1,67,0,26,3.53,4.50,0.15,-0.30,0.00,100.9,4.09,4,0.4,1.54,-0.1,1.0,10,.506,.503,$1350000,Free Agency,thompry02
Thyago Vieira,31,15.2,11,0,6,3.45,4.25,0.14,-0.28,0.36,99.2,4.16,1,0.1,.32,-0.1,0.2,3,.511,.501,$777500,Waivers,vieirth01
Blake Walston*,23,18.1,7,2,12,5.89,4.69,0.14,-0.05,0.00,104.7,4.71,-2,-0.3,.26,0.0,-0.1,-1,.464,.498,$740000,Amateur Draft,walstbl01
Team Total,28.2,1443.1,698,162,788,4.91,4.56,0.15,-0.01,0.07,100.5,4.50,-72,-6.5,1.15,-1.0,6.3,68,.491,.500,$87771900,,-9999
