Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Blaze Alexander,25,us US,R,R,5' 11",160,Jun 11 1999,1st,61,48,61,44,0,0,0,17,8,20,0,0,0,0,16,4,5,0.0,$740000,,alexabl01
Logan Allen,27,us US,R,L,6' 3",200,May 23 1997,5,12,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,allenlo01
Tucker Barnhart,33,us US,L,R,5' 11",192,Jan 7 1991,11,31,29,31,31,1,31,0,0,0,0,0,0,0,0,0,1,0,0.2,,,barnhtu01
Jorge Barrosa,23,ve VE,B,L,5' 6",165,Feb 17 2001,1st,8,3,8,6,0,0,0,0,0,0,1,5,0,6,0,2,0,0.0,$740000,,barrojo01
Josh Bell,31,us US,B,R,6' 4",261,Aug 14 1992,9,41,34,41,31,0,0,31,0,0,0,0,0,0,0,8,6,0,0.3,,,belljo02
Matt Bowman,33,us US,R,R,6' 0",185,May 31 1991,6,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$925000,,bowmama01
Corbin Carroll,23,us US,L,L,5' 10",165,Aug 21 2000,3,158,146,158,156,0,0,0,0,0,0,0,81,78,156,0,6,3,3.4,$3625000,,carroco02
Humberto Castellanos,26,mx MX,R,R,5' 11",222,Apr 3 1998,4,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,castehu01
Miguel Castro,29,do DO,R,R,6' 7",201,Dec 24 1994,10,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$5000000,,castrmi01
Slade Cecconi,25,us US,R,R,6' 4",219,Jun 24 1999,2,20,13,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,$740000,,ceccosl01
Adrian Del Castillo,24,us US,L,R,5' 10",208,Sep 27 1999,1st,25,19,25,24,0,24,0,0,0,0,0,0,0,0,0,3,0,0.5,,,delcaad01
Yilber Diaz,23,ve VE,R,R,6' 0",190,Aug 19 2000,1st,7,4,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.3,,,diazyi01
Dylan Floro,33,us US,L,R,6' 2",212,Dec 27 1990,9,15,0,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,,,florody01
Luis Frías,26,do DO,R,R,6' 3",245,May 23 1998,4,7,0,1,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$748300,,friaslu01
Zac Gallen,28,us US,R,R,6' 2",189,Aug 3 1995,6,28,28,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,2.7,$10011000,,galleza01
Kevin Ginkel,30,us US,L,R,6' 4",235,Mar 24 1994,6,72,0,2,72,72,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$1225000,,ginkeke01
Randal Grichuk,32,us US,R,R,6' 2",216,Aug 13 1991,11,106,61,106,57,0,0,0,0,0,0,14,0,43,57,41,39,1,2.2,$1500000,,grichra01
Luis Guillorme,29,ve VE,L,R,5' 10",190,Sep 27 1994,7,18,10,18,16,0,0,0,16,1,0,0,0,0,0,1,3,1,0.3,,,guilllu01
Lourdes Gurriel Jr.,30,cu CU,R,R,6' 4",215,Oct 10 1993,7,133,123,133,127,0,0,1,0,0,0,127,0,0,127,4,10,0,2.0,$10000000,,gurrilo01
Tommy Henry,26,us US,L,L,6' 3",205,Jul 29 1997,3,9,7,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,$760500,,henryto01
José Herrera,27,ve VE,B,R,5' 9",217,Feb 24 1997,3,42,31,42,41,0,40,0,0,1,0,0,0,0,0,1,1,1,-0.2,$740000,,herrejo04
Brandon Hughes,28,us US,B,L,6' 2",215,Dec 1 1995,3,15,2,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$740000,,hughebr01
Joe Jacques,29,us US,L,L,6' 4",210,Mar 11 1995,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$740000,,jacqujo01
Bryce Jarvis,26,us US,L,R,6' 2",195,Dec 26 1997,2,44,0,2,44,44,0,0,0,0,0,0,0,0,0,0,0,0,0.8,$743600,,jarvibr01
Merrill Kelly,35,us US,R,R,6' 2",202,Oct 14 1988,6,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,1.0,$8500000,,kellyme01
Joe Mantiply,33,us US,R,L,6' 4",219,Mar 1 1991,7,75,2,1,75,75,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$925000,,mantijo01
Ketel Marte,30,do DO,B,R,6' 1",210,Oct 12 1993,10,136,127,136,114,0,0,0,113,0,1,0,0,0,0,22,9,0,6.8,$13600000,All-Star,marteke01
Justin Martinez,22,do DO,R,R,6' 3",180,Jul 30 2001,2,64,0,2,64,64,0,0,0,0,0,0,0,0,0,0,0,0,2.0,$740000,,martiju01
Jake McCarthy,26,us US,L,L,6' 2",215,Jul 30 1997,4,142,116,142,137,0,0,0,0,0,0,33,63,65,137,1,7,8,1.7,$766000,,mccarja02
Scott McGough,34,us US,R,R,5' 11",190,Oct 31 1989,3,26,2,2,26,26,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,$3000000,,mcgousc01
Cristian Mena,21,do DO,R,R,6' 2",170,Dec 21 2002,1st,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,menacr01
Jordan Montgomery,31,us US,L,L,6' 6",228,Dec 27 1992,8,25,21,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,-1.4,$25000000,,montgjo01
Gabriel Moreno,24,ve VE,R,R,5' 11",195,Feb 14 2000,3,97,83,97,93,0,93,0,0,1,0,0,0,0,0,0,11,0,2.6,$760100,,morenga01
Kyle Nelson,27,us US,L,L,6' 1",175,Jul 8 1996,5,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$757300,,nelsoky01
Ryne Nelson,26,us US,R,R,6' 3",184,Feb 1 1998,3,28,25,0,28,28,0,0,0,0,0,0,0,0,0,0,0,0,1.7,$764300,,nelsory01
Kevin Newman,30,us US,R,R,6' 1",195,Aug 4 1993,7,111,79,111,109,0,0,10,44,6,55,1,0,0,1,1,4,3,2.2,$946237,,newmake01
Joc Pederson,32,us US,L,L,6' 1",220,Apr 21 1992,11,132,105,132,0,0,0,0,0,0,0,0,0,0,0,120,27,0,2.9,$9500000,,pederjo01
Geraldo Perdomo,24,do DO,B,R,6' 2",203,Oct 22 1999,4,98,95,98,97,0,0,0,0,0,97,0,0,0,0,0,2,0,3.5,$786000,,perdoge01
Jace Peterson,34,us US,L,R,6' 0",215,May 9 1990,11,14,5,14,10,0,0,0,4,1,5,0,0,0,0,2,7,1,-0.6,$5000000,,peterja01
