Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Will Smith,29,128,544,476,77,118,24,2,20,75,1,1,51,105,.248,.327,.433,.760,116,206,8,9,0,8,6,smithwi05
2,1B,Freddie Freeman*,34,147,638,542,81,153,35,2,22,89,9,2,78,100,.282,.378,.476,.854,143,258,13,10,0,8,9,freemfr01
3,2B,Gavin Lux*,26,139,487,439,59,110,24,2,10,50,5,2,44,110,.251,.320,.383,.703,101,168,8,2,0,2,0,luxga01
4,SS,Miguel Rojas,35,103,337,307,41,87,21,0,6,36,8,2,23,34,.283,.337,.410,.748,113,126,8,3,2,2,0,rojasmi02
5,3B,Max Muncy*,33,73,293,237,47,55,17,0,15,48,1,0,45,77,.232,.358,.494,.852,141,117,1,5,0,6,3,muncyma01
6,LF,Teoscar Hernández,31,154,652,589,84,160,32,2,33,99,12,3,53,188,.272,.339,.501,.840,137,295,7,8,0,1,3,hernate01
7,CF,Andy Pages,23,116,443,403,65,100,23,1,13,46,1,2,29,108,.248,.305,.407,.712,102,164,8,6,0,4,0,pagesan01
8,RF,Jason Heyward*,34,63,197,173,25,36,10,2,6,28,4,0,17,36,.208,.289,.393,.682,93,68,3,4,0,3,0,heywaja01
9,DH,Shohei Ohtani*,29,159,731,636,134,197,38,7,54,130,59,4,81,162,.310,.390,.646,1.036,190,411,7,6,0,5,10,ohtansh01
10,UT,Mookie Betts,31,116,516,450,75,130,24,5,19,75,16,2,61,57,.289,.372,.491,.863,145,221,10,1,0,4,2,bettsmo01
11,3B,Enrique Hernández,32,126,393,362,44,83,16,0,12,42,0,0,27,77,.229,.281,.373,.654,85,135,13,0,1,3,0,hernaen02
12,UT,Chris Taylor,33,87,246,213,28,43,7,1,4,23,5,1,28,76,.202,.298,.300,.598,73,64,5,2,1,2,0,tayloch03
13,C,Austin Barnes,34,54,156,140,12,37,3,0,1,11,3,0,14,36,.264,.331,.307,.638,85,43,3,0,2,0,0,barneau01
14,CF,James Outman*,27,53,156,136,12,20,4,0,4,11,2,1,16,55,.147,.256,.265,.521,50,36,0,4,0,0,0,outmaja01
15,UT,Tommy Edman#,29,37,153,139,20,33,5,1,6,20,6,0,11,30,.237,.294,.417,.711,101,58,2,1,0,2,0,edmanto01
16,CI,Cavan Biggio*,29,30,88,73,11,14,1,0,3,10,0,0,10,28,.192,.306,.329,.635,82,24,0,2,2,0,0,biggica01
17,LF,Miguel Vargas,24,30,80,71,11,17,4,0,3,9,1,0,8,16,.239,.313,.423,.735,108,30,1,0,0,1,0,vargami01
18,CF,Kevin Kiermaier*,34,34,64,59,7,12,2,1,1,8,1,2,2,20,.203,.242,.322,.564,60,19,1,1,2,0,0,kiermke01
19,SS,Nick Ahmed,34,17,49,48,6,11,0,0,1,2,1,0,1,14,.229,.245,.292,.537,53,14,0,0,0,0,0,ahmedni01
20,C,Hunter Feduccia*,27,5,14,12,2,4,0,0,0,1,0,0,2,2,.333,.429,.333,.762,123,4,1,0,0,0,0,feduchu01
21,IF,Amed Rosario,28,5,12,11,1,3,1,0,0,2,1,1,1,2,.273,.333,.364,.697,100,4,0,0,0,0,0,rosaram01
22,OF,Taylor Trammell*,26,5,6,6,0,0,0,0,0,0,0,0,0,3,.000,.000,.000,.000,-100,0,0,0,0,0,0,trammta01
23,P,Michael Grove,27,0,0,,,,,,,,,,,,,,,,,,,,,,,grovemi01
24,P,Brent Honeywell Jr.,29,0,0,,,,,,,,,,,,,,,,,,,,,,,honeybr01
25,P,Elieser Hernández,29,0,0,,,,,,,,,,,,,,,,,,,,,,,hernael01
26,P,Eduardo Salazar,26,0,0,,,,,,,,,,,,,,,,,,,,,,,salazed01
27,P,Nick Ramirez*,34,0,0,,,,,,,,,,,,,,,,,,,,,,,ramirni01
28,P,Landon Knack*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,knackla01
29,P,Jack Flaherty,28,0,0,,,,,,,,,,,,,,,,,,,,,,,flaheja01
30,P,Yoshinobu Yamamoto,25,0,0,,,,,,,,,,,,,,,,,,,,,,,yamamyo01
31,P,Nabil Crismatt,29,0,0,,,,,,,,,,,,,,,,,,,,,,,crismna01
32,P,Edgardo Henriquez,22,0,0,,,,,,,,,,,,,,,,,,,,,,,henried01
33,P,Gavin Stone,25,0,0,,,,,,,,,,,,,,,,,,,,,,,stonega01
