Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Nick Ahmed,34,16,14,12,120.1,46,13,33,0,7,1,-3,-31,0,0,0,3.44,2.88,,,,,,,,SS,ahmedni01
Anthony Banda,30,48,2,0,49.2,8,1,7,0,0,1,,,0,0,0,1.45,0.17,,,5,2,0.29,0.20,0,P,bandaan01
Austin Barnes,34,47,42,38,368.2,383,368,10,5,2,0.987,-4,-12,2,7,3,9.23,7.56,1,9,48,5,0.09,0.20,0,C-2B-DH,barneau01
Mookie Betts,31,115,115,89,974.1,359,176,171,12,33,0.967,-1,-1,2,2,-1,3.21,2.75,,,,,,,,SS-RF-2B,bettsmo01
Cavan Biggio,29,27,21,15,191.1,99,72,22,5,9,0.949,-6,-40,-4,-25,1,4.42,3.03,,,,,,,,3B-1B-RF-2B,biggica01
Ryan Brasier,36,29,4,0,28,8,4,4,0,0,1,,,0,0,0,2.57,0.28,,,2,0,0.00,0.21,0,P,brasiry01
Connor Brogdon,29,1,0,0,1,1,0,1,0,0,1,,,0,0,0,9,1,,,0,0,,,0,P,brogdco01
Walker Buehler,29,16,16,0,75.1,18,9,8,1,2,0.944,,,-1,-3,0,2.03,1.06,,,12,2,0.14,0.20,0,P,buehlwa01
Ben Casparius,25,3,0,0,8.1,1,1,0,0,0,1,,,-1,-24,0,1.08,0.33,,,2,0,0.00,0.21,0,P,caspabe01
Nabil Crismatt,29,5,0,0,7,1,0,1,0,0,1,,,0,0,0,1.29,0.2,,,1,0,0.00,0.20,0,P,crismna01
Tommy Edman,29,37,35,29,317,122,82,36,4,6,0.967,0,-1,1,4,0,3.35,2.74,,,,,,,,CF-SS-2B,edmanto01
Hunter Feduccia,27,4,3,3,28,34,32,2,0,0,1,0,-8,0,0,0,10.93,8.5,0,2,3,1,0.25,0.20,0,C,feduchu01
J.P. Feyereisen,31,10,0,0,11,3,2,1,0,0,1,,,0,0,0,2.45,0.3,,,0,0,,,0,P,feyerjo01
Jack Flaherty,28,10,10,0,55.1,7,4,3,0,0,1,,,-1,-4,0,1.14,0.7,,,5,2,0.29,0.20,0,P,flaheja01
Freddie Freeman,34,147,147,132,1270.1,1141,1022,115,4,93,0.996,0,0,1,1,1,8.06,7.73,,,,,,,,1B,freemfr01
Tyler Glasnow,30,22,22,0,134,23,15,8,0,0,1,,,-3,-4,0,1.54,1.05,,,14,4,0.22,0.20,0,P,glasnty01
Brusdar Graterol,25,7,0,0,7.1,2,2,0,0,0,1,,,0,0,0,2.45,0.29,,,0,0,,,0,P,gratebr01
Michael Grove,27,39,2,0,51,7,3,4,0,0,1,,,1,4,0,1.24,0.18,,,4,1,0.20,0.20,2,P,grovemi01
Edgardo Henriquez,22,3,0,0,3.1,1,1,0,0,0,1,,,0,0,0,2.7,0.33,,,1,0,0.00,0.20,0,P,henried01
Elieser Hernández,29,5,1,0,9.2,1,0,1,0,0,1,,,0,0,0,0.93,0.2,,,0,0,,,0,P,hernael01
Enrique Hernández,32,123,93,67,881,302,154,138,10,25,0.967,3,4,5,7,2,2.98,2.1,,,0,0,,,0,3B-1B-LF-SS-CF-2B-P-DH,hernaen02
Teoscar Hernández,31,154,154,104,1308,263,253,7,3,3,0.989,-1,-1,-3,-3,0,1.79,1.44,,,,,,,,LF-RF,hernate01
Jason Heyward,34,61,49,38,435,115,113,1,1,0,0.991,11,29,3,8,0,2.36,1.87,,,,,,,,RF-CF,heywaja01
Brent Honeywell Jr.,29,18,1,0,34.1,9,5,4,0,1,1,,,1,6,0,2.36,0.5,,,2,0,0.00,0.21,0,P,honeybr01
Daniel Hudson,37,65,0,0,63,7,4,3,0,0,1,,,0,0,0,1,0.11,,,2,2,0.50,0.20,0,P,hudsoda01
