Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 20,@,SDP,W5-2,45,33,5,7,0,0,0,4,9,0,7,1,0,2,1,0,1,0,.212,.378,.212,.590,13,10,R,Y.Darvish(55)
2,2,Mar 21,,SDP,L11-15,50,42,11,16,3,0,1,11,6,0,9,1,0,1,0,0,0,0,.307,.421,.387,.808,12,9,R,J.Musgrove(24)
3,3,Mar 28,,STL,W7-1,36,31,7,10,2,0,2,7,4,0,10,0,0,1,0,1,0,0,.311,.412,.443,.856,5,12,R,M.Mikolas(32)
4,4,Mar 29,,STL,W6-3,32,30,6,7,1,0,4,6,2,0,9,0,0,0,0,1,0,0,.294,.387,.493,.879,2,9,L,Z.Thompson(38)
5,5,Mar 30,,STL,L5-6,47,43,5,14,1,0,1,5,4,0,14,0,0,0,0,0,0,0,.302,.386,.475,.861,13,10,R,L.Lynn(58)
6,6,Mar 31,,STL,W5-4,35,30,5,8,2,0,2,5,4,0,6,1,0,0,0,2,1,0,.297,.384,.483,.867,6,11,L,S.Matz(51)
7,7,Apr 1,,SFG,W8-3,35,32,8,9,3,1,1,8,2,0,10,0,0,1,0,0,0,0,.295,.375,.490,.865,3,9,R,K.Winn(52)
8,8,Apr 2,,SFG,W5-4,37,32,5,9,3,0,1,5,5,0,11,0,0,0,0,1,2,0,.293,.375,.487,.863,8,10,R,L.Webb(30)
9,9,Apr 3,,SFG,W5-4,34,30,5,9,1,0,2,5,3,0,6,1,0,0,0,2,0,1,.294,.376,.492,.868,5,9,L,K.Harrison(40)
10,10,Apr 5,@,CHC,L7-9,43,39,7,12,3,0,1,7,4,0,12,0,0,0,0,0,1,0,.295,.376,.488,.864,9,10,R,K.Hendricks(28)
11,11,Apr 6,@,CHC,W4-1,40,36,4,9,1,0,0,3,4,0,14,0,0,0,1,1,0,0,.291,.371,.468,.839,9,10,L,J.Wicks(50)
12,12,Apr 7,@,CHC,L1-8,33,31,1,4,1,1,0,1,2,0,8,0,0,0,0,0,0,0,.279,.358,.450,.807,5,11,L,S.Imanaga(61)
13,13,Apr 8,@,MIN,W4-2,39,35,4,10,2,0,2,4,3,0,12,0,0,1,0,0,1,0,.279,.356,.455,.811,8,11,R,B.Ober(62)
14,14,Apr 9,@,MIN,W6-3,41,35,6,9,1,0,2,6,6,0,14,0,0,0,0,1,0,0,.278,.356,.455,.812,8,9,R,L.Varland(32)
15,15,Apr 10,@,MIN,L2-3,37,34,2,9,2,0,1,2,3,0,11,0,0,0,0,0,0,1,.277,.354,.452,.807,8,13,R,C.Paddack(47)
16,16,Apr 12,,SDP,L7-8,46,42,7,7,2,0,4,7,4,2,9,0,0,0,2,0,0,0,.268,.346,.456,.802,8,11,R,M.King(35)
17,17,Apr 13,,SDP,W5-2,38,31,5,8,0,0,0,5,4,0,7,1,0,2,1,0,2,0,.268,.346,.445,.791,9,9,R,M.Waldron(57)
18,18,Apr 14,,SDP,L3-6,35,32,3,6,1,0,1,3,3,0,3,0,0,0,0,1,1,0,.264,.341,.439,.780,5,9,R,Y.Darvish(47)
19,19,Apr 15,,WSN,L4-6,37,34,4,9,2,0,0,4,0,0,9,0,0,2,0,0,1,0,.264,.337,.433,.769,6,12,L,M.Parker(55)
20,20,Apr 16,,WSN,W6-2,39,34,6,13,3,0,1,5,5,1,8,0,0,0,0,1,0,1,.270,.343,.439,.782,9,11,L,P.Corbin(36)
21,21,Apr 17,,WSN,L0-2,33,31,0,5,2,0,0,0,2,0,9,0,0,0,0,1,1,0,.265,.338,.430,.767,6,10,R,J.Irvin(69)
22,22,Apr 19,,NYM,L4-9,41,34,4,6,2,0,0,4,5,0,9,1,0,0,1,1,1,0,.261,.336,.421,.757,10,11,L,S.Manaea(51)
23,23,Apr 20,,NYM,L4-6,44,31,4,6,2,0,0,4,10,0,14,2,0,1,0,0,2,0,.258,.340,.414,.754,13,10,R,J.Buttó(50)
24,24,Apr 21,,NYM,W10-0,40,32,10,9,4,0,2,10,7,0,5,1,0,0,0,0,0,1,.259,.343,.421,.765,6,13,R,A.Houser(15)
25,25,Apr 23,@,WSN,W4-1,41,35,4,9,2,0,1,4,6,0,4,0,0,0,0,1,2,0,.259,.344,.420,.765,10,10,L,P.Corbin(62)
26,26,Apr 24,@,WSN,W11-2,49,46,11,20,8,0,1,11,3,0,6,0,0,0,0,1,0,0,.268,.350,.434,.784,11,9,R,J.Irvin(18)
27,27,Apr 25,@,WSN,W2-1,35,32,2,9,2,0,1,2,3,0,7,0,0,0,0,3,1,0,.269,.350,.434,.784,6,9,L,M.Gore(56)
28,28,Apr 26,@,TOR,W12-2,50,43,12,19,2,0,3,11,5,0,7,0,0,2,0,0,3,1,.276,.356,.445,.801,11,13,R,C.Bassitt(13)
29,29,Apr 27,@,TOR,W4-2,40,37,4,11,2,1,0,4,1,0,3,0,1,1,1,0,1,0,.277,.354,.444,.798,9,9,L,Y.Kikuchi(41)
30,30,Apr 28,@,TOR,L1-3,35,33,1,6,4,0,1,1,2,1,8,0,0,0,0,0,0,1,.274,.351,.442,.793,7,9,R,K.Gausman(68)
31,31,Apr 29,@,ARI,W8-4,44,34,8,10,4,0,1,8,8,0,0,1,0,1,0,2,0,0,.275,.353,.444,.798,9,9,L,T.Henry(42)
32,32,Apr 30,@,ARI,L3-4,41,33,3,5,2,0,0,1,6,0,9,1,0,1,0,1,0,0,.271,.351,.437,.789,9,11,L,B.Hughes(53)
33,33,May 1,@,ARI,W8-0,43,35,8,10,2,0,2,8,8,0,9,0,0,0,0,1,1,0,.271,.354,.440,.793,8,9,L,J.Montgomery(21)
34,34,May 3,,ATL,W4-3,43,37,4,9,1,0,1,4,5,2,8,1,0,0,0,2,2,0,.271,.354,.437,.790,10,12,R,C.Morton(57)
35,35,May 4,,ATL,W11-2,44,39,11,16,0,1,5,11,5,0,7,0,0,0,0,0,0,0,.275,.357,.450,.807,9,9,R,B.Elder(18)
36,36,May 5,,ATL,W5-1,33,29,5,5,0,0,3,5,3,0,8,1,0,0,1,1,0,0,.273,.355,.451,.806,4,9,L,M.Fried(57)
37,37,May 6,,MIA,W6-3,37,32,6,9,0,0,4,6,5,0,6,0,0,0,0,1,2,0,.273,.356,.456,.812,7,9,R,R.Muñoz(27)
38,38,May 7,,MIA,W8-2,35,27,8,5,1,0,2,7,5,0,9,2,0,1,0,1,0,0,.271,.356,.456,.811,3,12,R,E.Cabrera(35)
39,39,May 8,,MIA,W3-1,29,28,3,6,1,0,1,3,1,0,3,0,0,0,0,1,0,1,.270,.354,.454,.807,2,9,L,R.Weathers(52)
40,40,May 10,@,SDP,L1-2,35,30,1,4,1,0,0,1,4,1,11,0,0,1,1,1,0,0,.267,.351,.447,.798,7,9,R,M.King(81)
41,41,May 11,@,SDP,W5-0,38,32,5,5,1,0,2,5,6,1,10,0,0,0,0,0,1,0,.264,.349,.446,.795,6,10,R,M.Waldron(60)
42,42,May 12,@,SDP,L0-4,33,32,0,4,1,0,0,0,1,0,9,0,0,0,1,0,0,0,.261,.345,.439,.784,6,9,R,Y.Darvish(79)
