Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 20,@,SDP,W5-2,9.0,4,2,2,0,4,6,0,0,2.00,34,127,82,0,0,0,0,30,0,0,0,0,0,0,1,5,Lance Barksdale,T.Glasnow (99-54) R.Brasier (99) D.Hudson (99-W) J.Kelly (99-H) E.Phillips (99-Sv)
2,2,Mar 21,,SDP,L11-15,9.0,18,15,14,1,6,8,1,2,8.00,53,194,119,1,0,1,0,43,3,1,0,0,2,1,1,7,Andy Fletcher,Y.Yamamoto (99-26-L) M.Grove (99) K.Hurt (99) A.Vesia (99) R.Yarbrough (99) J.Feyereisen (99) G.Varland (99)
3,3,Mar 28,,STL,W7-1,9.0,3,1,1,0,1,6,1,0,5.67,32,125,77,0,0,1,0,31,0,0,0,0,0,1,0,2,Alan Porter,T.Glasnow (7-68-W) R.Yarbrough (6-Sv)
4,4,Mar 29,,STL,W6-3,9.0,6,3,3,0,2,14,0,1,5.00,36,146,98,3,3,0,0,32,1,0,0,0,1,0,0,4,Ryan Blakney,B.Miller (99-78-W) M.Grove (7) R.Brasier (8) E.Phillips (8-Sv)
5,5,Mar 30,,STL,L5-6,10.0,7,6,4,2,2,10,0,1,4.70,41,146,99,3,0,0,0,36,2,0,1,0,1,0,0,6,Nate Tomlinson,Y.Yamamoto (8-68) D.Hudson (9-H) J.Kelly (9-BSv) A.Vesia (8) K.Hurt (8-L) E.Phillips (0)
6,6,Mar 31,,STL,W5-4,9.0,8,4,3,1,3,13,0,1,4.42,40,161,103,1,1,0,0,34,1,0,0,1,0,0,0,4,Sean Barber,G.Stone (99-46) A.Vesia (0) N.Crismatt (99-W) D.Hudson (0-Sv)
7,7,Apr 1,,SFG,W8-3,9.0,8,3,2,1,6,8,1,0,4.08,40,167,104,0,0,0,0,33,0,0,0,0,1,0,1,4,Dan Bellino,J.Paxton (99-59-W) R.Brasier (2-H) J.Kelly (1) D.Lamet (99)
8,8,Apr 2,,SFG,W5-4,9.0,9,4,4,0,3,7,1,0,4.07,38,143,97,3,0,0,1,35,2,0,0,0,0,0,0,5,Phil Cuzzi,R.Brasier (0-53) R.Yarbrough (4-W) A.Vesia (1-H) M.Grove (3-H) E.Phillips (2-Sv)
9,9,Apr 3,,SFG,W5-4,9.0,5,4,4,0,2,12,2,0,4.06,34,139,93,0,0,0,0,32,1,0,0,0,0,0,0,4,Tony Randazzo,T.Glasnow (5-57-W) J.Kelly (1-H) D.Hudson (2-H) D.Lamet (1-Sv)
10,10,Apr 5,@,CHC,L7-9,8.0,9,9,9,0,6,4,2,0,4.60,37,162,94,1,0,0,1,30,1,1,1,0,1,0,1,4,Laz Diaz,B.Miller (6-28-L) D.Lamet (1) A.Vesia (2) M.Grove (2)
