Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Gavin Stone,25,11,5,.688,3.53,25,25,0,1,1,0,140.1,133,55,55,18,37,0,116,2,0,9,580,109,4.01,1.211,8.5,1.2,2.4,7.4,3.14,stonega01
2,SP,Tyler Glasnow,30,9,6,.600,3.49,22,22,0,0,0,0,134.0,92,53,52,15,35,0,168,0,1,12,522,111,2.90,0.948,6.2,1.0,2.4,11.3,4.80,glasnty01
3,SP,Yoshinobu Yamamoto,25,7,2,.778,3.00,18,18,0,0,0,0,90.0,78,32,30,7,22,0,105,1,0,2,368,129,2.61,1.111,7.8,0.7,2.2,10.5,4.77,yamamyo01
4,SP,James Paxton*,35,8,2,.800,4.43,18,18,0,0,0,0,89.1,82,45,44,11,48,0,64,1,0,4,390,87,4.98,1.455,8.3,1.1,4.8,6.4,1.33,paxtoja01
5,SP,Walker Buehler,29,1,6,.143,5.38,16,16,0,0,0,0,75.1,89,52,45,16,28,0,64,5,0,3,344,72,5.54,1.553,10.6,1.9,3.3,7.6,2.29,buehlwa01
6,SP,Bobby Miller,25,2,4,.333,8.52,13,13,0,0,0,0,56.0,69,53,53,17,30,0,52,2,0,7,258,46,6.97,1.768,11.1,2.7,4.8,8.4,1.73,millebo06
7,CL,Evan Phillips,29,5,1,.833,3.62,61,0,28,0,0,18,54.2,48,30,22,6,17,1,63,1,0,1,228,107,3.28,1.189,7.9,1.0,2.8,10.4,3.71,phillev01
8,RP,Alex Vesia*,28,5,4,.556,1.76,67,0,10,0,0,5,66.1,33,19,13,7,33,3,87,1,0,2,263,219,3.45,0.995,4.5,0.9,4.5,11.8,2.64,vesiaal01
9,RP,Daniel Hudson,37,6,2,.750,3.00,65,0,19,0,0,10,63.0,46,25,21,10,19,1,63,1,0,2,253,129,4.18,1.032,6.6,1.4,2.7,9.0,3.32,hudsoda01
10,RP,Anthony Banda*,30,3,2,.600,3.08,48,2,9,0,0,2,49.2,44,19,17,5,18,6,50,2,0,1,209,126,3.67,1.248,8.0,0.9,3.3,9.1,2.78,bandaan01
11,RP,Blake Treinen,36,7,3,.700,1.93,50,0,6,0,0,1,46.2,33,11,10,5,11,0,56,2,0,1,184,201,3.00,0.943,6.4,1.0,2.1,10.8,5.09,treinbl01
12,,Landon Knack,26,3,5,.375,3.65,15,12,1,0,0,1,69.0,58,28,28,14,18,0,69,3,1,1,286,106,4.72,1.101,7.6,1.8,2.3,9.0,3.83,knackla01
13,,Ryan Yarbrough*,32,4,2,.667,3.74,32,0,10,0,0,1,67.1,52,29,28,9,25,3,39,7,0,0,281,103,5.17,1.144,7.0,1.2,3.3,5.2,1.56,yarbrry01
14,,Jack Flaherty,28,6,2,.750,3.58,10,10,0,0,0,0,55.1,52,23,22,9,19,0,61,1,0,2,234,108,4.16,1.283,8.5,1.5,3.1,9.9,3.21,flaheja01
15,,Michael Grove,27,4,4,.500,5.12,39,2,7,0,0,0,51.0,46,31,29,6,16,0,54,6,0,2,216,76,3.87,1.216,8.1,1.1,2.8,9.5,3.38,grovemi01
16,,Justin Wrobleski*,23,1,2,.333,5.70,8,6,1,0,0,1,36.1,34,24,23,9,16,0,26,1,0,1,154,68,6.36,1.376,8.4,2.2,4.0,6.4,1.63,wroblju01
17,,Brent Honeywell Jr.,29,1,1,.500,2.62,18,1,12,0,0,1,34.1,29,11,10,3,9,0,17,2,1,2,134,149,4.27,1.107,7.6,0.8,2.4,4.5,1.89,honeybr01
18,,Joe Kelly,36,1,1,.500,4.78,35,0,2,0,0,0,32.0,31,19,17,4,16,1,35,5,2,3,143,81,4.57,1.469,8.7,1.1,4.5,9.8,2.19,kellyjo05
19,,Clayton Kershaw*,36,2,2,.500,4.50,7,7,0,0,0,0,30.0,36,19,15,2,9,1,24,2,1,2,133,87,3.53,1.500,10.8,0.6,2.7,7.2,2.67,kershcl01
20,,Yohan Ramírez,29,0,4,.000,5.52,27,0,8,0,0,1,29.1,32,21,18,3,11,1,27,7,0,1,134,71,4.50,1.466,9.8,0.9,3.4,8.3,2.45,ramiryo01
21,,Ryan Brasier,36,1,0,1.000,3.54,29,4,3,0,0,0,28.0,22,12,11,3,5,0,25,0,0,1,110,110,3.31,0.964,7.1,1.0,1.6,8.0,5.00,brasiry01
22,,Michael Kopech,28,4,0,1.000,1.13,24,0,9,0,0,6,24.0,9,3,3,1,10,0,29,0,0,1,88,348,2.54,0.792,3.4,0.4,3.8,10.9,2.90,kopecmi01
23,,River Ryan,25,1,0,1.000,1.33,4,4,0,0,0,0,20.1,15,4,3,1,9,0,18,0,0,0,81,296,3.36,1.180,6.6,0.4,4.0,8.0,2.00,ryanri01
24,,Michael Petersen,30,3,0,1.000,6.43,11,0,3,0,0,0,14.0,14,10,10,3,8,0,11,1,1,0,64,62,6.31,1.571,9.0,1.9,5.1,7.1,1.38,petermi01
25,,Nick Ramirez*,34,0,0,,6.08,8,0,7,0,0,0,13.1,18,11,9,0,7,1,5,0,0,2,63,65,3.99,1.875,12.2,0.0,4.7,3.4,0.71,ramirni01
26,,J.P. Feyereisen,31,0,1,.000,8.18,10,0,6,0,0,1,11.0,11,10,10,3,5,0,9,1,0,0,48,49,6.71,1.455,9.0,2.5,4.1,7.4,1.80,feyerjo01
27,,Elieser Hernández,29,0,1,.000,8.38,5,1,1,0,0,0,9.2,9,9,9,5,3,0,6,0,0,0,42,48,9.58,1.241,8.4,4.7,2.8,5.6,2.00,hernael01
28,,Ben Casparius,25,2,0,1.000,2.16,3,0,0,0,0,0,8.1,9,3,2,0,4,0,12,0,0,0,37,187,1.73,1.560,9.7,0.0,4.3,13.0,3.00,caspabe01
29,,Brusdar Graterol,25,0,0,,2.45,7,0,2,0,0,0,7.1,3,2,2,0,2,0,7,0,0,0,27,165,2.08,0.682,3.7,0.0,2.5,8.6,3.50,gratebr01
