Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Nick Ahmed,34,17,49,-3,0,0,0,1,-2,-0.2,2,0,-0.1,.487,.499,-0.1,0.1,0,,Free Agency,6/H,ahmedni01
Austin Barnes,34,54,156,-3,0,0,1,3,2,0.2,5,7,0.7,.504,.501,0.6,0.4,6,$3500000,Traded,2/HD4,barneau01
Mookie Betts,31,116,516,26,1,-1,2,3,31,3.2,17,48,4.8,.528,.520,4.6,0.6,46,$30416667,Traded,694/H,bettsmo01
Cavan Biggio*,29,30,88,-2,1,1,-4,0,-5,-0.5,3,-2,-0.2,.483,.497,0.2,-0.5,2,,Traded,53/H94,biggica01
Tommy Edman#,29,37,153,0,1,0,1,2,4,0.5,5,10,0.9,.512,.503,0.8,0.3,9,,Traded,86/H4,edmanto01
Hunter Feduccia*,27,5,14,1,0,0,0,0,0,0.0,0,1,0.1,.505,.500,0.1,0.0,1,,Amateur Draft,/2H,feduchu01
Freddie Freeman*,34,147,638,30,2,-1,1,-7,26,2.7,21,47,4.7,.518,.517,4.6,-0.6,46,$27000000,Free Agency,*3,freemfr01
Enrique Hernández,32,126,393,-5,1,-1,5,1,1,0.1,13,14,1.3,.501,.501,0.8,0.6,9,$4000000,Free Agency,5H3784/61D,hernaen02
Teoscar Hernández,31,154,652,30,-1,1,-3,-6,21,2.2,22,44,4.3,.514,.514,4.6,-1.0,47,$23500000,Free Agency,*79,hernate01
Jason Heyward*,34,63,197,-2,2,1,3,-2,2,0.2,7,8,0.8,.503,.501,0.5,0.2,5,$9000000,Free Agency,9/H8,heywaja01
Kevin Kiermaier*,34,34,64,-2,-1,0,1,1,-1,-0.1,2,2,0.1,.498,.500,0.0,0.2,0,,Traded,8/H,kiermke01
Gavin Lux*,26,139,487,2,1,1,-2,4,5,0.6,17,22,2.1,.504,.503,2.3,0.2,24,$1225000,Amateur Draft,*4H/6,luxga01
Max Muncy*,33,73,293,12,1,1,5,2,20,2.1,10,30,3.0,.529,.513,2.5,0.7,25,$9500000,Free Agency,5/H,muncyma01
Shohei Ohtani*,29,159,731,74,10,3,0,-16,70,7.1,23,93,9.2,.545,.544,9.2,-1.7,93,$28216944,Free Agency,*D,ohtansh01
James Outman*,27,53,156,-9,0,0,-1,1,-9,-0.9,5,-4,-0.4,.482,.494,-0.3,0.0,-3,$770000,Amateur Draft,8H/79,outmaja01
Andy Pages,23,116,443,0,-2,0,-1,1,-1,-0.1,15,14,1.3,.499,.499,1.4,0.0,15,$740000,Free Agency,*89/H7D,pagesan01
Miguel Rojas,35,103,337,5,2,0,11,5,23,2.3,12,34,3.4,.523,.514,2.3,1.7,23,$5750000,Traded,64H5/31,rojasmi02
Amed Rosario,28,5,12,0,0,0,0,0,0,0.0,0,1,0.1,.502,.500,0.1,0.0,1,,Traded,/4H65,rosaram01
Will Smith,29,128,544,8,0,0,1,9,18,1.8,18,36,3.5,.514,.511,3.5,1.0,35,$16550000,Amateur Draft,*2/HD,smithwi05
Chris Taylor,33,87,246,-5,-1,-1,-2,-1,-9,-0.9,8,0,-0.1,.490,.494,0.1,-0.3,2,$13000000,Free Agency,754H/8,tayloch03
Taylor Trammell*,26,5,6,-2,0,0,0,0,-2,-0.2,0,-2,-0.2,.465,.499,-0.2,0.0,-2,,Waivers,/H79,trammta01
Miguel Vargas,24,30,80,0,0,0,0,-1,0,0.0,3,3,0.3,.500,.500,0.3,-0.1,3,$740000,Free Agency,7/H3,vargami01
Team Total,30.3,1681,6255,156,18,3,18,1,195,19.9,210,405,39.6,.512,.510,37.9,1.9,387,$173908611,,,-9999
