Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Anthony Banda*,30,49.2,48,2,19,3.44,4.52,0.40,-0.30,0.22,92.7,3.74,1,0.2,1.22,-0.1,0.5,6,.503,.501,,Purchased,bandaan01
Ryan Brasier,36,28.0,29,4,12,3.86,4.52,0.41,-0.26,0.20,93.5,3.79,0,0.0,1.07,-0.1,0.2,2,.499,.500,$4500000,Free Agency,brasiry01
Connor Brogdon,29,1.0,1,0,2,18.00,4.30,0.70,-0.29,0.00,106.0,3.51,-2,-0.1,.07,0.1,-0.1,-2,.354,.499,$761000,Traded,brogdco01
Walker Buehler,29,75.1,16,16,52,6.21,4.23,0.47,0.19,0.00,94.5,3.75,-21,-1.9,,-0.1,-1.3,-14,.378,.488,$8025000,Amateur Draft,buehlwa01
Ben Casparius,25,8.1,3,0,3,3.24,3.92,0.36,-0.03,0.00,107.7,3.80,0,0.1,.99,0.0,0.1,1,.517,.500,,Amateur Draft,caspabe01
Nabil Crismatt,29,7.0,5,0,3,3.86,4.68,0.41,-0.31,0.80,93.3,4.44,0,0.0,.64,0.0,0.1,1,.509,.500,,Free Agency,crismna01
J.P. Feyereisen,31,11.0,10,0,10,8.18,4.51,0.43,-0.30,0.50,96.5,4.13,-5,-0.5,.61,0.1,-0.3,-4,.450,.497,$770000,Traded,feyerjo01
Jack Flaherty,28,55.1,10,10,23,3.74,4.55,0.40,0.21,0.00,94.5,4.13,2,0.2,,0.0,0.7,8,.523,.501,,Traded,flaheja01
Tyler Glasnow,30,134.0,22,22,53,3.56,4.61,0.34,0.21,0.00,91.0,4.08,7,0.8,,-0.1,1.9,20,.535,.505,$17500000,Traded,glasnty01
Brusdar Graterol,25,7.1,7,0,2,2.45,4.21,0.35,-0.28,0.00,93.2,3.33,1,0.1,.46,0.0,0.1,1,.510,.500,$2700000,Traded,gratebr01
