Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Nick Ahmed,34,us US,R,R,6' 2",201,Mar 15 1990,11,17,14,17,16,0,0,0,0,0,16,0,0,0,0,0,1,0,-0.1,,,ahmedni01
Anthony Banda,30,us US,L,L,6' 2",221,Aug 10 1993,8,48,2,0,48,48,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,bandaan01
Austin Barnes,34,us US,R,R,5' 10",187,Dec 28 1989,10,54,42,54,47,0,45,0,2,0,0,0,0,0,0,3,8,0,0.7,$3500000,,barneau01
Mookie Betts,31,us US,R,R,5' 9",180,Oct 7 1992,11,116,115,116,115,0,0,0,18,0,65,0,0,43,43,0,1,0,4.8,$30416667,All-Star,bettsmo01
Cavan Biggio,29,us US,L,R,6' 2",200,Apr 11 1995,6,30,21,30,27,0,0,12,1,14,0,0,0,4,4,0,2,2,-0.2,,,biggica01
Ryan Brasier,36,us US,R,R,6' 0",223,Aug 26 1987,8,29,4,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$4500000,,brasiry01
Connor Brogdon,29,us US,R,R,6' 6",205,Jan 29 1995,5,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$761000,,brogdco01
Walker Buehler,29,us US,R,R,6' 2",185,Jul 28 1994,7,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,-1.3,$8025000,,buehlwa01
Ben Casparius,25,us US,R,R,6' 2",215,Feb 11 1999,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,caspabe01
Nabil Crismatt,29,co CO,R,R,6' 1",220,Dec 25 1994,5,5,0,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,crismna01
Tommy Edman,29,us US,B,R,5' 10",193,May 9 1995,6,37,35,37,37,0,0,0,1,0,18,0,24,0,24,0,2,0,0.9,,,edmanto01
Hunter Feduccia,27,us US,L,R,6' 1",215,Jun 5 1997,1st,5,3,5,4,0,4,0,0,0,0,0,0,0,0,0,2,0,0.1,,,feduchu01
J.P. Feyereisen,31,us US,R,R,6' 2",215,Feb 7 1993,4,10,0,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$770000,,feyerjo01
Jack Flaherty,28,us US,R,R,6' 4",225,Oct 15 1995,8,10,10,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0.7,,,flaheja01
Freddie Freeman,34,us US,L,R,6' 5",220,Sep 12 1989,15,147,147,147,147,0,0,147,0,0,0,0,0,0,0,0,0,0,4.7,$27000000,All-Star,freemfr01
Tyler Glasnow,30,us US,L,R,6' 8",225,Aug 23 1993,9,22,22,0,22,22,0,0,0,0,0,0,0,0,0,0,0,0,1.9,$17500000,All-Star,glasnty01
Brusdar Graterol,25,ve VE,R,R,6' 1",265,Aug 26 1998,6,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$2700000,,gratebr01
Michael Grove,27,us US,R,R,6' 3",200,Dec 18 1996,3,39,2,0,39,39,0,0,0,0,0,0,0,0,0,0,0,0,-0.7,$760000,,grovemi01
Edgardo Henriquez,22,ve VE,R,R,6' 4",200,Jun 24 2002,1st,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,,,henried01
Elieser Hernández,29,ve VE,R,R,6' 1",214,May 3 1995,6,5,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,hernael01
Enrique Hernández,32,pr PR,R,R,5' 11",195,Aug 24 1991,11,126,93,126,123,4,0,18,10,71,9,15,11,0,25,1,21,0,1.3,$4000000,,hernaen02
Teoscar Hernández,31,do DO,R,R,6' 2",215,Oct 15 1992,9,154,154,154,154,0,0,0,0,0,0,120,0,60,154,0,0,0,4.3,$23500000,All-Star,hernate01
Jason Heyward,34,us US,L,L,6' 5",240,Aug 9 1989,15,63,49,63,61,0,0,0,0,0,0,0,1,60,61,0,8,0,0.8,$9000000,,heywaja01
Brent Honeywell Jr.,29,us US,R,R,6' 2",195,Mar 31 1995,3,18,1,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.5,,,honeybr01
Daniel Hudson,37,us US,R,R,6' 3",215,Mar 9 1987,15,65,0,0,65,65,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$2000000,,hudsoda01
Kyle Hurt,26,us US,R,R,6' 3",240,May 30 1998,2,3,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,$742500,,hurtky01
Joe Kelly,36,us US,R,R,6' 1",174,Jun 9 1988,13,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$8000000,,kellyjo05
Clayton Kershaw,36,us US,L,L,6' 4",225,Mar 19 1988,17,7,7,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$5000000,,kershcl01
Kevin Kiermaier,34,us US,L,R,6' 1",210,Apr 22 1990,12,34,19,34,32,0,0,0,0,0,0,0,32,0,32,0,2,3,0.1,,,kiermke01
Landon Knack,26,us US,L,R,6' 2",220,Jul 15 1997,1st,15,12,0,15,15,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$740000,,knackla01
Michael Kopech,28,us US,R,R,6' 3",220,Apr 30 1996,5,24,0,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,1.0,,,kopecmi01
Dinelson Lamet,31,do DO,R,R,6' 3",228,Jul 18 1992,7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,lametdi01
Zach Logue,28,us US,L,L,6' 0",165,Apr 23 1996,3,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,logueza01
Gavin Lux,26,us US,L,R,6' 2",190,Nov 23 1997,5,139,117,139,138,0,0,0,138,0,1,0,0,0,0,0,18,0,2.1,$1225000,,luxga01
Bobby Miller,25,us US,L,R,6' 5",220,Apr 5 1999,2,13,13,0,13,13,0,0,0,0,0,0,0,0,0,0,0,0,-1.9,$750000,,millebo06
Max Muncy,33,us US,L,R,6' 0",215,Aug 25 1990,9,73,66,73,72,0,0,0,0,72,0,0,0,0,0,0,7,0,3.0,$9500000,,muncyma01
Shohei Ohtani,29,jp JP,L,R,6' 4",210,Jul 5 1994,7,159,159,159,0,0,0,0,0,0,0,0,0,0,0,159,0,0,9.2,$28216944,All-Star,ohtansh01
James Outman,27,us US,L,R,6' 2",215,May 14 1997,3,53,37,53,50,0,0,0,0,0,0,1,49,1,50,0,10,0,-0.4,$770000,,outmaja01
Andy Pages,23,cu CU,R,R,6' 0",212,Dec 8 2000,1st,116,101,116,114,0,0,0,0,0,0,6,87,40,114,1,7,0,1.3,$740000,,pagesan01
James Paxton,35,ca CA,L,L,6' 4",212,Nov 6 1988,11,18,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$7000000,,paxtoja01
Michael Petersen,30,gb GB,R,R,6' 7",195,May 16 1994,1st,11,0,0,11,11,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,petermi01
Evan Phillips,29,us US,R,R,6' 2",215,Sep 11 1994,7,61,0,0,61,61,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$4000000,,phillev01
Nick Ramirez,34,us US,L,L,6' 4",232,Aug 1 1989,5,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$740000,,ramirni01
Yohan Ramírez,29,do DO,R,R,6' 4",212,May 6 1995,5,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,ramiryo01
Miguel Rojas,35,ve VE,R,R,6' 0",188,Feb 24 1989,11,103,86,103,102,1,0,1,13,11,82,0,0,0,0,0,11,1,3.5,$5750000,,rojasmi02
Amed Rosario,28,do DO,R,R,6' 2",190,Nov 20 1995,8,5,3,5,5,0,0,0,2,1,2,0,0,0,0,0,2,0,0.1,,,rosaram01
River Ryan,25,us US,R,R,6' 2",195,Aug 17 1998,1st,4,4,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.8,,,ryanri01
Eduardo Salazar,26,ve VE,R,R,6' 2",177,May 5 1998,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,,salazed01
Will Smith,29,us US,R,R,5' 10",195,Mar 28 1995,6,128,120,128,121,0,121,0,0,0,0,0,0,0,0,3,7,0,3.5,$16550000,All-Star,smithwi05
Gavin Stone,25,us US,R,R,6' 1",175,Oct 15 1998,2,25,25,0,25,25,0,0,0,0,0,0,0,0,0,0,0,0,1.8,$742500,,stonega01
Chris Taylor,33,us US,R,R,6' 1",196,Aug 29 1990,11,87,56,87,85,0,0,0,21,24,0,48,8,0,54,0,6,5,-0.1,$13000000,,tayloch03
Taylor Trammell,26,us US,L,L,6' 2",220,Sep 13 1997,4,5,1,5,3,0,0,0,0,0,0,2,0,1,3,0,1,2,-0.2,,,trammta01
Blake Treinen,36,us US,R,R,6' 5",225,Jun 30 1988,10,50,0,0,50,50,0,0,0,0,0,0,0,0,0,0,0,0,1.4,$1000000,,treinbl01
Ricky Vanasco,25,us US,R,R,6' 3",180,Oct 13 1998,1st,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,$900000,,vanasri01
Miguel Vargas,24,cu CU,R,R,6' 2",205,Nov 17 1999,3,30,20,30,28,0,0,1,0,0,0,27,0,0,27,0,7,0,0.3,$740000,,vargami01
Gus Varland,27,us US,L,R,6' 1",213,Nov 6 1996,2,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.0,$740000,,varlagu01
Alex Vesia,28,us US,L,L,6' 1",209,Apr 11 1996,5,67,0,0,67,67,0,0,0,0,0,0,0,0,0,0,0,0,1.6,$1000000,,vesiaal01
Justin Wrobleski,23,us US,L,L,6' 1",194,Jul 14 2000,1st,8,6,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,,,wroblju01
Yoshinobu Yamamoto,25,jp JP,R,R,5' 10",176,Aug 17 1998,1st,18,18,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,1.7,$9166667,,yamamyo01
Ryan Yarbrough,32,us US,R,L,6' 5",215,Dec 31 1991,7,32,0,0,32,32,0,0,0,0,0,0,0,0,0,0,0,0,0.4,$3900000,,yarbrry01
