Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Patrick Bailey#,25,121,448,401,46,94,16,1,8,46,4,0,39,100,.234,.298,.339,.637,84,136,10,0,1,7,0,bailepa01
2,1B,LaMonte Wade Jr.*,30,117,401,331,45,86,16,0,8,34,2,1,62,90,.260,.380,.381,.761,121,126,2,4,1,3,5,wadela01
3,2B,Thairo Estrada,28,96,381,364,43,79,15,2,9,47,2,2,10,76,.217,.247,.343,.590,68,125,8,5,0,2,0,estrath01
4,SS,Tyler Fitzgerald,26,96,341,314,53,88,19,2,15,34,17,4,22,108,.280,.334,.497,.831,136,156,2,4,0,1,0,fitzgty01
5,3B,Matt Chapman,31,154,647,575,98,142,39,2,27,78,15,2,64,158,.247,.328,.463,.790,125,266,13,6,0,2,3,chapmma01
6,LF,Michael Conforto*,31,130,488,438,56,104,27,3,20,66,0,1,42,118,.237,.309,.450,.759,116,197,16,5,0,3,1,confomi01
7,CF,Heliot Ramos,24,121,518,475,54,128,23,3,22,72,6,1,37,135,.269,.322,.469,.792,125,223,12,2,0,4,2,ramoshe02
8,RF,Mike Yastrzemski*,33,140,474,428,60,99,16,9,18,57,3,2,38,124,.231,.302,.437,.739,110,187,5,6,1,1,1,yastrmi01
9,DH,Jorge Soler,32,93,392,341,57,82,23,1,12,40,1,0,44,97,.240,.330,.419,.749,115,143,9,3,0,3,0,solerjo01
10,MI,Brett Wisely*,25,91,272,252,25,60,13,1,4,31,2,3,13,65,.238,.278,.345,.623,79,87,3,2,2,3,0,wiselbr01
11,1B,Wilmer Flores,32,71,242,214,19,44,12,0,4,26,0,0,20,33,.206,.277,.318,.595,72,68,5,3,0,5,1,florewi01
12,SS,Nick Ahmed,34,52,172,155,13,36,6,1,1,15,1,1,10,35,.232,.278,.303,.581,68,47,6,1,3,3,0,ahmedni01
13,CF,Jung Hoo Lee*,25,37,158,145,15,38,4,0,2,8,2,3,10,13,.262,.310,.331,.641,86,48,2,1,0,2,0,leeju01
14,OF,Luis Matos,22,45,156,150,14,32,5,0,5,25,0,0,5,24,.213,.237,.347,.584,66,52,5,0,0,1,1,matoslu02
15,CF,Grant McCray*,23,37,130,124,13,25,3,2,5,10,5,0,6,56,.202,.238,.379,.617,75,47,3,0,0,0,0,mccragr01
16,C,Curt Casali,35,41,125,108,12,21,3,0,1,8,0,0,13,22,.194,.293,.250,.543,60,27,3,2,2,0,0,casalcu01
17,DH,Jerar Encarnacion,26,35,119,113,13,28,5,0,5,19,1,0,5,34,.248,.277,.425,.702,99,48,0,0,0,1,0,encarje01
18,IF,Casey Schmitt,25,40,113,107,11,27,4,1,6,16,0,0,4,25,.252,.283,.477,.760,114,51,2,1,0,1,0,schmica01
19,RF,Austin Slater,31,43,112,90,12,18,1,0,1,9,2,1,16,31,.200,.330,.244,.575,70,22,3,3,0,3,0,slateau01
20,1B,Mark Canha,35,32,85,73,4,21,3,0,0,4,3,0,9,17,.288,.376,.329,.705,107,24,1,2,0,1,0,canhama01
21,MI,Marco Luciano,22,27,81,76,10,16,5,1,0,3,0,1,5,28,.211,.259,.303,.562,62,23,1,0,0,0,0,luciama01
22,C,Blake Sabol*,26,11,38,32,3,10,2,0,0,1,0,0,5,9,.313,.421,.375,.796,133,12,0,1,0,0,1,sabolbl01
23,C,Tom Murphy,33,13,38,34,3,4,1,0,1,2,0,0,4,14,.118,.211,.235,.446,29,8,0,0,0,0,0,murphto04
24,1B,David Villar,27,11,37,35,3,9,4,0,1,4,0,0,1,13,.257,.270,.457,.727,105,16,0,0,0,1,0,villada01
25,1B,Trenton Brooks*,28,12,29,25,3,3,0,0,0,1,1,0,4,6,.120,.241,.120,.361,10,3,1,0,0,0,0,brooktr01
26,2B,Donovan Walton*,30,9,25,22,3,3,0,0,1,2,0,0,2,7,.136,.240,.273,.513,48,6,2,1,0,0,0,waltodo01
27,C,Jakson Reetz,28,6,15,14,1,2,1,0,1,1,0,0,1,5,.143,.200,.429,.629,75,6,1,0,0,0,0,reetzja01
28,OF,Derek Hill,28,5,13,12,3,3,0,1,0,2,0,0,1,3,.250,.308,.417,.724,107,5,0,0,0,0,0,hillde01
29,C,Andrew Knapp#,32,3,6,6,0,1,0,0,0,0,0,0,0,2,.167,.167,.167,.333,-3,1,0,0,0,0,0,knappan01
30,OF,Ryan McKenna,27,4,6,6,1,0,0,0,0,0,1,0,0,4,.000,.000,.000,.000,-100,0,0,0,0,0,0,mckenry01
31,P,Camilo Doval,26,0,0,,,,,,,,,,,,,,,,,,,,,,,dovalca01
32,P,Jordan Hicks,27,0,0,,,,,,,,,,,,,,,,,,,,,,,hicksjo03
33,P,Daulton Jefferies*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,jeffeda01
34,P,Spencer Howard,27,0,0,,,,,,,,,,,,,,,,,,,,,,,howarsp01
35,P,Luke Jackson,32,0,0,,,,,,,,,,,,,,,,,,,,,,,jackslu01
36,P,Ryan Walker,28,0,0,,,,,,,,,,,,,,,,,,,,,,,walkery01
37,P,Trevor McDonald,23,0,0,,,,,,,,,,,,,,,,,,,,,,,mcdontr01
38,P,Erik Miller*,26,0,0,,,,,,,,,,,,,,,,,,,,,,,milleer01
39,P,Nick Avila,26,0,0,,,,,,,,,,,,,,,,,,,,,,,avilani01
40,P,Spencer Bivens,30,0,0,,,,,,,,,,,,,,,,,,,,,,,bivensp01
41,P,Keaton Winn,26,0,0,,,,,,,,,,,,,,,,,,,,,,,winnke01
42,P,Tristan Beck,28,0,0,,,,,,,,,,,,,,,,,,,,,,,becktr01
43,P,Landen Roupp,25,0,0,,,,,,,,,,,,,,,,,,,,,,,rouppla01
44,P,Raymond Burgos*,25,0,0,,,,,,,,,,,,,,,,,,,,,,,burgora01
45,P,Kai-Wei Teng,25,0,0,,,,,,,,,,,,,,,,,,,,,,,tengka01
46,P,Kyle Harrison,22,0,0,,,,,,,,,,,,,,,,,,,,,,,harriky01
47,P,Blake Snell*,31,0,0,,,,,,,,,,,,,,,,,,,,,,,snellbl01
48,P,Robbie Ray*,32,0,0,,,,,,,,,,,,,,,,,,,,,,,rayro02
49,P,Austin Warren,28,0,0,,,,,,,,,,,,,,,,,,,,,,,warreau01
50,P,Hayden Birdsong,22,0,0,,,,,,,,,,,,,,,,,,,,,,,birdsha01
51,P,Tyler Rogers,33,0,0,,,,,,,,,,,,,,,,,,,,,,,rogerty01
52,P,Mike Baumann,28,0,0,,,,,,,,,,,,,,,,,,,,,,,baumami01
53,P,Mitch White,29,0,0,,,,,,,,,,,,,,,,,,,,,,,whitemi03
54,P,Logan Webb,27,0,0,,,,,,,,,,,,,,,,,,,,,,,webblo01
