Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Nick Ahmed,34,51,50,44,426,198,61,134,3,33,0.985,0,1,0,0,-2,4.12,3.82,,,,,,,,SS,ahmedni01
Nick Avila,26,8,0,0,11.2,1,1,0,0,0,1,,,0,0,0,0.77,0.13,,,1,1,0.50,0.21,0,P,avilani01
Patrick Bailey,25,115,101,98,908,962,904,55,3,7,0.997,6,7,20,26,0,9.51,8.13,9,25,70,26,0.27,0.20,2,C-DH,bailepa01
Mike Baumann,28,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,baumami01
Tristan Beck,28,7,1,0,16,2,1,1,0,0,1,,,0,0,0,1.13,0.29,,,0,0,,,0,P,becktr01
Hayden Birdsong,22,16,16,0,72,12,7,4,1,0,0.917,,,0,0,0,1.38,0.69,,,4,1,0.20,0.20,2,P,birdsha01
Spencer Bivens,30,27,2,0,48.2,13,6,7,0,1,1,,,1,4,0,2.4,0.48,,,4,0,0.00,0.20,0,P,bivensp01
Mason Black,24,9,8,0,36.1,4,2,2,0,0,1,,,0,0,0,0.99,0.44,,,2,2,0.50,0.20,0,P,blackma01
Trenton Brooks,28,9,8,4,67.1,63,61,2,0,8,1,0,-4,0,0,0,8.42,6.3,,,,,,,,1B-DH,brooktr01
Raymond Burgos,25,1,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,burgora01
Mark Canha,35,28,15,10,149.2,126,118,7,1,10,0.992,2,13,-2,-16,0,7.52,3.91,,,,,,,,1B-RF-LF-3B-DH,canhama01
Curt Casali,35,41,38,25,321,372,345,20,7,0,0.981,-7,-25,-1,-4,-1,10.23,8.9,1,17,46,9,0.16,0.20,0,C,casalcu01
Matt Chapman,31,154,153,147,1338,405,100,290,15,34,0.963,15,13,17,15,2,2.62,2.53,,,,,,,,3B,chapmma01
Michael Conforto,31,106,95,84,835,159,152,5,2,1,0.987,-6,-8,0,0,2,1.69,1.24,,,,,,,,LF-DH,confomi01
Camilo Doval,26,62,0,0,59,15,7,6,2,2,0.867,,,-2,-7,0,1.98,0.21,,,12,0,0.00,0.20,0,P,dovalca01
