Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,SDP,L4-6,35,32,4,9,2,0,1,4,1,0,10,0,1,1,0,0,0,1,.281,.294,.438,.732,4,10,R,Y.Darvish(59)
2,2,Mar 29,@,SDP,W8-3,42,38,8,13,2,0,2,8,2,0,7,2,0,0,0,2,0,0,.314,.355,.500,.855,7,10,R,J.Musgrove(39)
3,3,Mar 30,@,SDP,W9-6,40,35,9,9,2,0,2,9,3,0,10,0,0,2,1,0,0,0,.295,.336,.495,.831,4,10,R,D.Cease(54)
4,4,Mar 31,@,SDP,L4-13,40,31,4,5,1,0,1,4,8,0,9,1,0,0,0,1,0,0,.265,.340,.449,.788,9,12,R,M.King(49)
5,5,Apr 1,@,LAD,L3-8,40,33,3,8,0,0,1,3,6,0,8,0,0,1,0,1,0,0,.260,.342,.426,.768,10,11,L,J.Paxton(59)
6,6,Apr 2,@,LAD,L4-5,38,35,4,9,2,0,1,4,3,0,7,0,0,0,0,0,0,1,.260,.338,.422,.759,7,12,R,R.Brasier(53)
7,7,Apr 3,@,LAD,L4-5,34,32,4,5,1,0,2,4,2,0,12,0,0,0,0,0,0,0,.246,.321,.415,.736,3,9,R,T.Glasnow(57)
8,8,Apr 5,,SDP,W3-2,33,30,3,5,3,0,0,3,2,0,8,1,0,0,0,0,0,0,.237,.312,.398,.711,5,11,R,D.Cease(61)
9,9,Apr 6,,SDP,L0-4,34,31,0,4,0,0,0,0,3,0,5,0,0,0,0,0,0,0,.226,.301,.370,.672,7,10,R,M.King(72)
10,10,Apr 7,,SDP,W3-2,33,31,3,6,1,0,0,2,2,0,6,0,0,0,1,0,0,0,.223,.296,.357,.653,6,12,R,M.Waldron(64)
11,11,Apr 8,,WSN,L1-8,35,32,1,6,3,0,0,0,3,0,7,0,0,0,0,1,0,0,.219,.293,.350,.643,7,9,R,T.Williams(56)
12,12,Apr 9,,WSN,L3-5,41,34,3,10,0,0,0,2,5,0,6,0,1,1,0,1,0,0,.226,.300,.345,.645,11,13,R,J.Adon(51)
13,13,Apr 10,,WSN,W7-1,34,33,7,12,1,1,0,7,0,0,3,0,0,1,0,0,3,1,.237,.304,.354,.658,3,10,L,P.Corbin(21)
14,14,Apr 12,@,TBR,L1-2,37,31,1,6,1,0,0,0,6,0,10,0,0,0,0,2,3,0,.234,.305,.345,.650,9,12,R,J.Waguespack(54)
15,15,Apr 13,@,TBR,W11-2,45,39,11,13,4,0,5,11,6,0,9,0,0,0,0,0,0,0,.241,.315,.382,.697,7,12,R,R.Pepiot(46)
16,16,Apr 14,@,TBR,L4-9,37,36,4,10,2,1,1,4,1,0,9,0,0,0,0,1,1,0,.244,.314,.388,.702,6,10,R,S.Armstrong(53)
17,17,Apr 15,@,MIA,W4-3,38,32,4,8,1,0,0,4,4,0,12,1,0,1,0,0,0,2,.244,.315,.382,.698,7,10,R,E.Cabrera(67)
18,18,Apr 16,@,MIA,L3-6,38,35,3,9,3,0,1,3,3,1,13,0,0,0,0,1,1,0,.245,.315,.385,.700,8,12,L,R.Weathers(63)
19,19,Apr 17,@,MIA,W3-1,37,35,3,9,2,0,0,2,2,0,10,0,0,0,0,1,1,0,.246,.315,.381,.696,7,11,L,T.Rogers(63)
20,20,Apr 18,,ARI,W5-0,35,31,5,8,3,0,0,5,3,1,4,0,0,1,1,1,0,0,.246,.315,.380,.694,6,11,R,R.Nelson(52)
21,21,Apr 19,,ARI,L1-17,34,31,1,4,1,0,1,1,3,0,5,0,0,0,0,0,0,0,.241,.310,.374,.684,6,10,L,J.Montgomery(63)
22,22,Apr 20,,ARI,W7-3,41,38,7,16,3,0,2,7,1,0,8,0,1,1,0,0,1,0,.250,.315,.389,.705,10,10,R,Z.Gallen(34)
23,23,Apr 21,,ARI,L3-5,35,31,3,5,2,0,1,3,3,1,4,1,0,0,0,0,0,1,.247,.313,.386,.699,5,11,R,S.Cecconi(63)
24,24,Apr 22,,NYM,W5-2,36,31,5,8,1,0,1,5,5,0,7,0,0,0,0,1,1,0,.247,.315,.386,.701,7,10,L,J.Quintana(34)
25,25,Apr 23,,NYM,W5-1,33,32,5,8,1,1,0,5,0,0,7,1,0,0,0,0,0,0,.247,.313,.385,.698,4,9,R,L.Severino(55)
26,26,Apr 24,,NYM,L2-8,40,34,2,8,1,0,1,1,6,0,13,0,0,0,1,0,1,0,.247,.315,.384,.699,11,11,L,S.Manaea(58)
27,27,Apr 26,,PIT,W3-0,33,29,3,6,0,0,1,3,4,0,7,0,0,0,0,0,0,1,.246,.315,.381,.696,6,10,R,Q.Priester(71)
28,28,Apr 27,,PIT,L3-4,37,35,3,7,1,0,1,3,2,0,8,0,0,0,1,2,0,0,.244,.312,.379,.691,5,11,L,M.Pérez(64)
29,29,Apr 28,,PIT,W3-2,31,29,3,8,1,0,2,3,1,0,8,0,0,1,0,1,0,1,.245,.311,.383,.694,4,9,R,J.Jones(45)
30,30,Apr 30,@,BOS,L0-4,32,30,0,4,0,0,0,0,1,0,10,1,0,0,1,2,1,0,.241,.308,.375,.683,5,10,R,C.Criswell(66)
31,31,May 1,@,BOS,L2-6,33,31,2,5,1,0,1,2,2,0,8,0,0,0,0,1,0,0,.239,.305,.373,.678,4,9,R,K.Crawford(65)
32,32,May 2,@,BOS,W3-1,34,31,3,6,0,0,1,3,2,0,2,0,0,1,0,1,0,0,.238,.303,.370,.673,4,10,R,J.Winckowski(53)
33,33,May 3,@,PHI,L3-4,38,34,3,8,1,0,0,2,4,0,11,0,0,0,1,2,0,0,.238,.303,.367,.670,8,11,R,A.Nola(46)
34,34,May 4,@,PHI,L3-14,40,35,3,10,1,0,1,3,3,0,8,2,0,0,1,3,0,0,.239,.306,.368,.674,10,12,L,R.Suárez(51)
35,35,May 5,@,PHI,L4-5,37,33,4,7,1,1,2,4,2,0,11,2,0,0,0,1,0,0,.238,.305,.371,.677,6,11,R,T.Walker(57)
36,36,May 6,@,PHI,L1-6,33,31,1,5,1,0,0,1,1,0,13,0,0,1,1,1,0,0,.236,.302,.367,.669,5,10,R,Z.Wheeler(77)
37,37,May 7,@,COL,W5-0,41,35,5,10,1,0,0,5,6,0,8,0,0,0,0,2,0,0,.238,.305,.365,.670,9,9,R,D.Hudson(32)
38,38,May 8,@,COL,W8-6,41,38,8,13,2,1,1,7,2,0,6,0,1,0,0,1,0,0,.241,.307,.370,.677,6,9,R,P.Lambert(15)
39,39,May 9,@,COL,L1-9,35,31,1,7,0,0,1,1,4,0,7,0,0,0,0,2,0,1,.240,.307,.369,.676,7,11,R,C.Quantrill(60)
40,40,May 10,,CIN,L2-4,36,34,2,7,3,0,1,2,2,0,6,0,0,0,0,0,0,0,.240,.306,.369,.675,7,12,L,A.Abbott(48)
41,41,May 11,,CIN,W5-1,34,31,5,7,0,0,1,5,1,0,9,1,0,1,1,0,0,0,.239,.305,.368,.673,5,10,L,N.Lodolo(51)
42,42,May 12,,CIN,W6-5,44,39,6,9,2,0,1,5,3,1,8,2,0,0,1,0,0,0,.239,.305,.368,.673,10,12,R,F.Montas(34)
43,43,May 13,,LAD,L4-6,38,34,4,6,1,0,1,4,4,0,13,0,0,0,0,1,1,0,.238,.304,.366,.670,5,12,R,Y.Yamamoto(47)
44,44,May 14,,LAD,L2-10,38,34,2,9,3,0,0,2,4,0,3,0,0,0,0,2,0,0,.238,.305,.366,.671,9,11,R,G.Stone(57)
45,45,May 15,,LAD,W4-1,34,31,4,7,1,0,1,4,3,0,6,0,0,0,1,1,0,0,.238,.305,.366,.670,6,9,R,E.Hernández(54)
46,46,May 17,,COL,W10-5,44,37,10,14,5,0,1,10,6,1,5,1,0,0,0,1,1,0,.241,.309,.371,.680,10,9,R,R.Feltner(28)
47,47,May 18,,COL,W14-4,45,38,14,18,9,0,1,14,5,0,7,0,1,1,0,1,1,0,.247,.315,.381,.696,7,10,L,T.Blach(23)
48,48,May 19,,COL,W4-1,37,34,4,9,0,0,1,3,2,0,5,1,0,0,1,0,0,0,.247,.315,.381,.696,9,9,R,D.Hudson(45)
49,49,May 21,@,PIT,L6-7,45,40,6,9,1,0,2,4,5,0,7,0,0,0,1,0,0,0,.247,.315,.381,.696,10,13,L,M.Pérez(42)
50,50,May 22,@,PIT,W9-5,48,39,9,12,1,0,1,9,8,0,12,0,0,1,1,3,0,0,.248,.317,.382,.699,10,11,R,J.Jones(50)
51,51,May 23,@,PIT,W7-6,40,38,7,13,1,0,2,7,2,0,6,0,0,0,0,2,1,0,.250,.319,.385,.704,6,13,R,P.Skenes(58)
52,52,May 24,@,NYM,W8-7,37,35,8,9,1,1,3,8,2,0,6,0,0,0,0,1,1,0,.250,.318,.389,.708,2,9,R,C.Scott(63)
53,53,May 25,@,NYM,W7-2,43,38,7,8,0,1,0,7,4,0,9,1,0,0,0,0,1,0,.250,.318,.387,.705,7,12,R,L.Severino(72)
54,54,May 26,@,NYM,L3-4,35,33,3,7,4,0,1,2,2,0,8,0,0,0,0,1,0,0,.249,.317,.387,.704,5,10,L,S.Manaea(54)
55,55,May 27,,PHI,W8-4,40,37,8,12,4,0,0,8,2,0,7,0,0,1,3,1,0,0,.250,.317,.388,.706,8,10,R,T.Walker(34)
56,56,May 28,,PHI,W1-0,37,31,1,4,0,0,0,1,5,2,13,0,0,1,0,1,0,0,.248,.316,.384,.700,8,11,R,Z.Wheeler(75)
57,57,May 29,,PHI,L1-6,35,33,1,6,1,0,0,1,2,0,8,0,0,0,1,1,0,0,.247,.315,.381,.696,7,11,L,C.Sánchez(70)
58,58,May 31,,NYY,L2-6,32,29,2,6,1,0,0,2,2,0,3,0,0,1,0,2,0,1,.247,.314,.379,.693,3,9,R,M.Stroman(62)
59,59,Jun 1,,NYY,L3-7,35,32,3,5,1,0,1,3,3,0,12,0,0,0,0,0,0,0,.245,.312,.377,.690,5,10,R,C.Poteet(56)
60,60,Jun 2,,NYY,L5-7,40,38,5,11,2,0,2,5,1,0,10,1,0,0,0,0,0,0,.246,.313,.380,.692,8,10,L,N.Cortés(44)
61,61,Jun 3,@,ARI,L2-4,33,33,2,8,2,0,1,2,0,0,2,0,0,0,0,2,0,0,.246,.312,.380,.692,4,9,R,R.Nelson(60)
62,62,Jun 4,@,ARI,L5-8,41,31,5,6,1,0,1,5,7,0,9,3,0,0,0,2,0,0,.245,.313,.379,.692,9,11,L,B.Walston(49)
63,63,Jun 5,@,ARI,W9-3,52,41,9,14,1,0,3,9,10,0,7,0,0,1,0,0,2,0,.247,.316,.383,.699,16,10,L,J.Montgomery(16)
64,64,Jun 7,@,TEX,W5-2,43,38,5,11,0,0,3,5,5,0,9,0,0,0,0,0,0,0,.248,.317,.386,.703,11,9,R,M.Lorenzen(40)
65,65,Jun 8,@,TEX,W3-1,37,33,3,6,1,0,1,3,4,0,11,0,0,0,0,0,0,0,.247,.317,.384,.701,7,11,L,A.Heaney(51)
66,66,Jun 9,@,TEX,L2-7,33,32,2,5,0,0,1,2,1,0,9,0,0,0,0,0,0,0,.246,.315,.382,.697,4,9,R,N.Eovaldi(63)
67,67,Jun 10,,HOU,W4-3,42,38,4,9,0,1,0,4,4,0,7,0,0,0,0,0,0,0,.245,.315,.381,.696,11,11,R,S.Arrighetti(60)
68,68,Jun 11,,HOU,L1-3,32,30,1,3,1,0,1,1,2,0,12,0,0,0,0,0,0,0,.243,.313,.379,.692,4,9,R,R.Blanco(69)
69,69,Jun 12,,HOU,W5-3,38,32,5,10,2,0,0,5,3,0,7,1,0,2,1,1,1,0,.244,.314,.379,.692,9,9,L,F.Valdez(26)
70,70,Jun 14,,LAA,L6-8,43,35,6,10,1,0,1,5,7,0,7,1,0,0,0,2,0,0,.245,.315,.379,.694,10,10,L,T.Anderson(54)
