Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 28,@,SDP,L4-6,8.0,9,6,6,0,3,7,0,0,6.75,35,140,88,2,2,2,0,32,1,0,1,0,0,0,1,4,Mark Ripperger,L.Webb (99-57) L.Jackson (99-BL) R.Walker (99) E.Miller (99)
2,2,Mar 29,@,SDP,W8-3,9.0,9,3,3,0,0,5,3,1,4.76,34,123,82,0,0,0,0,33,2,0,0,0,0,0,2,4,Adam Hamari,K.Harrison (99-57-W) L.Roupp (99) T.Rogers (99) R.Walker (0)
3,3,Mar 30,@,SDP,W9-6,9.0,7,6,6,0,5,10,2,1,5.19,40,163,100,1,1,0,0,34,1,0,0,0,0,0,0,5,Vic Carapazza,J.Hicks (99-66-W) T.Rogers (99-H) T.Rogers (0-H) E.Miller (1) C.Doval (99)
4,4,Mar 31,@,SDP,L4-13,8.0,16,13,9,4,4,7,2,0,6.35,44,162,101,0,0,0,0,40,6,0,0,0,0,1,1,5,Edwin Moscoso,D.Jefferies (99-11-L) K.Teng (99) R.Walker (1) L.Roupp (1) T.Fitzgerald (99)
5,5,Apr 1,@,LAD,L3-8,8.0,9,8,8,0,2,10,1,0,6.86,35,150,97,2,2,0,0,32,3,1,0,0,1,0,0,4,Dan Bellino,K.Winn (99-52-L) E.Miller (1) T.Rogers (1) N.Avila (99)
6,6,Apr 2,@,LAD,L4-5,8.0,9,5,5,0,5,11,1,0,6.66,37,177,104,6,0,2,0,32,3,0,0,0,0,0,1,4,Phil Cuzzi,L.Webb (4-30-L) L.Roupp (1) T.Rogers (2) R.Walker (1)
7,7,Apr 3,@,LAD,L4-5,8.0,9,5,5,0,3,6,2,1,6.52,34,135,84,0,0,0,1,30,1,0,0,0,0,0,2,4,Tony Randazzo,K.Harrison (4-40-L) E.Miller (1) T.Rogers (0) T.Rogers (1)
8,8,Apr 5,,SDP,W3-2,9.0,6,2,1,1,1,8,0,0,5.78,33,130,86,0,0,0,0,32,2,0,0,0,0,0,1,3,Sean Barber,J.Hicks (5-66) T.Rogers (1) C.Doval (5-W)
9,9,Apr 6,,SDP,L0-4,9.0,5,4,4,0,3,2,1,0,5.57,33,124,83,0,0,0,1,30,0,0,0,0,0,0,1,3,Alan Porter,K.Winn (4-48-L) L.Roupp (3) N.Avila (4)
10,10,Apr 7,,SDP,W3-2,9.0,11,2,2,0,0,8,0,0,5.19,36,113,82,0,0,1,0,36,1,0,0,0,0,0,2,3,Ryan Blakney,L.Webb (4-52) R.Walker (4-W) C.Doval (1-Sv)
