Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Logan Webb,27,13,10,.565,3.47,33,33,0,1,1,0,204.2,202,83,79,11,50,3,172,2,1,4,841,111,2.95,1.231,8.9,0.5,2.2,7.6,3.44,webblo01
2,SP,Kyle Harrison*,22,7,7,.500,4.56,24,24,0,0,0,0,124.1,125,65,63,18,42,0,118,7,1,2,532,85,4.33,1.343,9.0,1.3,3.0,8.5,2.81,harriky01
3,SP,Jordan Hicks,27,4,7,.364,4.10,29,20,2,0,0,1,109.2,112,54,50,12,47,0,96,9,2,7,481,94,4.37,1.450,9.2,1.0,3.9,7.9,2.04,hicksjo03
4,SP,Blake Snell*,31,5,3,.625,3.12,20,20,0,1,1,0,104.0,65,38,36,6,44,0,145,1,0,8,418,124,2.43,1.048,5.6,0.5,3.8,12.5,3.30,snellbl01
5,SP,Hayden Birdsong,22,5,6,.455,4.75,16,16,0,0,0,0,72.0,57,39,38,11,43,0,88,4,0,4,315,81,4.67,1.389,7.1,1.4,5.4,11.0,2.05,birdsha01
6,SP,Keaton Winn,26,3,8,.273,7.16,12,12,0,0,0,0,55.1,56,44,44,9,20,0,48,4,0,1,238,54,4.85,1.373,9.1,1.5,3.3,7.8,2.40,winnke01
7,CL,Camilo Doval,26,5,3,.625,4.88,62,0,40,0,0,23,59.0,54,35,32,5,39,2,78,2,0,7,271,79,3.71,1.576,8.2,0.8,5.9,11.9,2.00,dovalca01
8,RP,Ryan Walker,28,10,4,.714,1.91,76,1,22,0,0,10,80.0,50,19,17,5,18,1,99,9,0,2,308,202,2.52,0.850,5.6,0.6,2.0,11.1,5.50,walkery01
9,RP,Tyler Rogers,33,3,4,.429,2.82,77,0,13,0,0,1,70.1,67,23,22,7,6,2,51,7,0,1,290,137,3.57,1.038,8.6,0.9,0.8,6.5,8.50,rogerty01
10,RP,Erik Miller*,26,4,5,.444,3.88,73,10,11,0,0,0,67.1,50,33,29,7,38,0,87,1,0,1,284,100,3.67,1.307,6.7,0.9,5.1,11.6,2.29,milleer01
11,RP,Taylor Rogers*,33,1,4,.200,2.40,64,0,16,0,0,0,60.0,53,22,16,7,22,0,64,2,0,0,249,161,3.75,1.250,8.0,1.1,3.3,9.6,2.91,rogerta01
12,,Sean Hjelle,27,3,4,.429,3.90,58,0,12,0,0,0,80.2,84,37,35,10,14,2,75,5,0,0,337,99,3.63,1.215,9.4,1.1,1.6,8.4,5.36,hjellse01
13,,Randy Rodríguez,24,3,2,.600,4.30,35,1,8,0,0,0,52.1,47,29,25,4,18,0,53,3,0,4,221,90,3.34,1.242,8.1,0.7,3.1,9.1,2.94,rodrira02
14,,Landen Roupp,25,1,2,.333,3.58,23,4,3,0,0,0,50.1,43,21,20,2,26,0,47,1,2,3,217,108,3.43,1.371,7.7,0.4,4.6,8.4,1.81,rouppla01
15,,Spencer Bivens,30,3,1,.750,3.14,27,2,8,0,0,1,48.2,47,20,17,9,11,1,37,1,0,0,202,123,4.79,1.192,8.7,1.7,2.0,6.8,3.36,bivensp01
16,,Mason Black,24,1,5,.167,6.44,9,8,0,0,0,0,36.1,46,26,26,7,15,0,31,3,0,0,169,60,5.45,1.679,11.4,1.7,3.7,7.7,2.07,blackma01
17,,Luke Jackson,32,4,2,.667,5.40,36,0,7,0,0,0,35.0,35,22,21,5,15,0,33,1,0,3,151,72,4.51,1.429,9.0,1.3,3.9,8.5,2.20,jackslu01
18,,Robbie Ray*,32,3,2,.600,4.70,7,7,0,0,0,0,30.2,20,16,16,6,15,0,43,6,0,4,129,83,4.96,1.141,5.9,1.8,4.4,12.6,2.87,rayro02
19,,Spencer Howard,27,1,1,.500,5.63,7,2,1,0,0,0,24.0,33,16,15,2,11,0,21,0,0,0,114,70,3.88,1.833,12.4,0.8,4.1,7.9,1.91,howarsp01
20,,Tristan Beck,28,0,0,,1.69,7,1,2,0,0,0,16.0,14,3,3,2,4,0,14,1,0,0,67,234,3.98,1.125,7.9,1.1,2.3,7.9,3.50,becktr01
21,,Nick Avila,26,1,0,1.000,8.49,8,0,4,0,0,0,11.2,17,12,11,2,3,0,14,0,0,0,55,47,3.77,1.714,13.1,1.5,2.3,10.8,4.67,avilani01
22,,Kai-Wei Teng,25,0,0,,9.82,4,0,0,0,0,0,11.0,15,12,12,2,8,0,7,1,0,1,55,41,6.71,2.091,12.3,1.6,6.5,5.7,0.88,tengka01
23,,Austin Warren,28,0,0,,1.69,6,0,3,0,0,0,10.2,9,2,2,1,5,0,7,0,0,0,42,237,4.48,1.313,7.6,0.8,4.2,5.9,1.40,warreau01
24,,Mitch White,29,0,0,,11.81,3,0,2,0,0,0,5.1,8,7,7,1,5,0,1,0,0,1,29,35,8.04,2.438,13.5,1.7,8.4,1.7,0.20,whitemi03
25,,Daulton Jefferies,28,0,2,.000,17.36,2,1,0,0,0,0,4.2,14,13,9,2,2,0,4,0,0,0,31,24,8.31,3.429,27.0,3.9,3.9,7.7,2.00,jeffeda01
26,,Trevor McDonald,23,0,0,,0.00,1,0,1,0,0,0,3.0,0,0,0,0,1,0,1,0,0,0,10,,3.50,0.333,0.0,0.0,3.0,3.0,1.00,mcdontr01
27,,Tyler Fitzgerald,26,0,0,,9.00,3,0,3,0,0,0,3.0,6,3,3,0,0,0,0,0,0,0,14,48,3.17,2.000,18.0,0.0,0.0,0.0,,fitzgty01
28,,Mike Yastrzemski*,33,0,0,,18.00,1,0,1,0,0,0,1.0,2,2,2,0,3,0,0,0,0,0,8,30,12.17,5.000,18.0,0.0,27.0,0.0,0.00,yastrmi01
29,,Donovan Walton,30,0,0,,0.00,1,0,1,0,0,0,1.0,2,0,0,0,0,0,0,0,0,0,5,,3.17,2.000,18.0,0.0,0.0,0.0,,waltodo01
30,,Raymond Burgos*,25,0,0,,9.00,1,0,0,0,0,0,1.0,3,1,1,0,1,0,1,0,0,0,7,60,4.17,4.000,27.0,0.0,9.0,9.0,1.00,burgora01
31,,Mike Baumann,28,0,0,,27.00,1,0,0,0,0,0,0.2,3,2,2,0,0,0,1,0,0,0,5,23,0.17,4.500,40.5,0.0,0.0,13.5,,baumami01
,,Team Totals,27.2,80,82,.494,4.10,162,162,160,2,2,36,1433.2,1339,699,653,153,526,11,1436,70,6,53,6095,95,3.80,1.301,8.4,1.0,3.3,9.0,2.73,-9999
