Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Nick Ahmed,34,52,172,-6,-3,-1,0,3,-7,-0.7,6,-1,-0.1,.487,.496,-0.1,0.3,-1,$850000,,6/H,ahmedni01
Patrick Bailey#,25,121,448,-8,0,-1,5,8,3,0.3,15,18,1.8,.503,.502,1.2,1.3,13,$747500,Amateur Draft,*2H/D,bailepa01
Trenton Brooks*,28,12,29,-3,1,0,0,-1,-3,-0.3,1,-2,-0.2,.472,.498,-0.2,-0.1,-2,$740000,Traded,/3HD,brooktr01
Mark Canha,35,32,85,1,0,0,-2,-2,-3,-0.3,3,0,0.0,.491,.498,0.2,-0.4,2,,Traded,3H/97D5,canhama01
Curt Casali,35,41,125,-4,-1,0,1,3,-1,-0.1,4,3,0.3,.497,.499,0.2,0.4,2,,Free Agency,2,casalcu01
Matt Chapman,31,154,647,22,6,0,17,4,49,5.0,22,71,7.1,.533,.531,5.4,2.2,54,$18000000,Free Agency,*5/H,chapmma01
Michael Conforto*,31,130,488,8,-4,-2,0,-5,-2,-0.2,17,14,1.3,.498,.499,1.4,-0.6,14,$18000000,Free Agency,7DH,confomi01
Jerar Encarnacion,26,35,119,-1,0,0,0,-2,-3,-0.3,4,1,0.1,.492,.498,0.1,-0.2,1,,Free Agency,D9/7H3,encarje01
Thairo Estrada,28,96,381,-13,-1,2,-7,3,-17,-1.7,13,-4,-0.5,.482,.489,0.2,-0.4,4,$4700000,Purchased,4/DH,estrath01
Tyler Fitzgerald,26,96,341,15,2,0,-5,4,17,1.7,12,28,2.8,.518,.511,3.3,-0.1,33,$741875,Amateur Draft,6H/847D13,fitzgty01
Wilmer Flores,32,71,242,-7,0,0,-2,-3,-13,-1.3,8,-4,-0.6,.481,.492,-0.3,-0.6,-2,$6500000,Free Agency,3H/D5,florewi01
Derek Hill,28,5,13,0,0,0,-1,0,-1,-0.1,0,-1,-0.1,.479,.499,0.1,-0.1,0,,Waivers,/78DH,hillde01
Andrew Knapp#,32,3,6,-1,0,0,0,0,-1,-0.1,0,-1,-0.1,.473,.500,-0.1,0.0,-1,,Free Agency,/2,knappan01
Jung Hoo Lee*,25,37,158,-2,-1,1,-2,1,-3,-0.4,5,2,0.1,.490,.498,0.4,-0.1,4,$7833333,Free Agency,8,leeju01
Marco Luciano,22,27,81,-2,0,0,-5,0,-6,-0.6,3,-3,-0.4,.477,.496,0.1,-0.5,2,$741875,Free Agency,/46DH,luciama01
Luis Matos,22,45,156,-5,0,0,0,-1,-6,-0.7,5,-1,-0.2,.486,.496,-0.2,-0.1,-1,$743750,Free Agency,98/H7D,matoslu02
Grant McCray*,23,37,130,-3,2,0,-3,1,-4,-0.4,4,0,0.0,.488,.497,0.3,-0.2,3,,Amateur Draft,8,mccragr01
Ryan McKenna,27,4,6,-2,0,0,1,0,0,0.0,0,0,0.0,.490,.500,-0.1,0.1,-1,$800000,Waivers,/9H7,mckenry01
Tom Murphy,33,13,38,-3,0,0,-3,1,-5,-0.6,1,-4,-0.4,.457,.497,-0.1,-0.2,-1,$4000000,Free Agency,2/DH,murphto04
Heliot Ramos,24,121,518,17,-1,0,-9,-1,7,0.7,17,24,2.3,.506,.504,3.3,-1.0,33,$740000,Amateur Draft,*87/D9H,ramoshe02
Jakson Reetz,28,6,15,-1,-1,0,-1,0,-2,-0.2,1,-2,-0.2,.465,.499,-0.1,-0.1,0,,Free Agency,/2H,reetzja01
Blake Sabol*,26,11,38,1,0,0,-1,0,1,0.1,1,3,0.3,.511,.501,0.4,-0.1,4,$740000,Traded,/2DH,sabolbl01
Casey Schmitt,25,40,113,1,-1,0,-3,1,-2,-0.2,4,2,0.2,.496,.499,0.5,-0.2,5,$740000,Amateur Draft,46/5HD,schmica01
Austin Slater,31,43,112,-2,-1,0,-1,-1,-6,-0.7,4,-3,-0.3,.484,.496,-0.2,-0.2,-2,$4000000,Amateur Draft,9H/78D,slateau01
Jorge Soler,32,93,392,8,-3,0,0,-8,-2,-0.2,13,11,1.1,.498,.499,1.1,-0.8,11,$10000000,Free Agency,D/H,solerjo01
David Villar,27,11,37,0,0,0,0,-1,-1,-0.1,1,0,0.0,.492,.499,0.0,-0.1,0,$740000,Amateur Draft,3/DH,villada01
LaMonte Wade Jr.*,30,117,401,10,2,0,1,-5,8,0.8,14,21,2.1,.507,.505,2.0,-0.5,20,$3500000,Traded,3H9/D7,wadela01
Donovan Walton*,30,9,25,-1,0,0,1,0,-1,-0.1,1,0,0.0,.490,.499,-0.1,0.1,-1,,Free Agency,/41H,waltodo01
Brett Wisely*,25,91,272,-7,-4,0,4,4,-4,-0.4,9,5,0.5,.496,.497,0.0,0.8,1,$740000,Traded,46H/538,wiselbr01
Mike Yastrzemski*,33,140,474,4,1,1,4,-4,6,0.6,16,22,2.1,.504,.504,1.7,0.0,18,$7900000,Traded,*9H/81,yastrmi01
Team Total,28.7,1693,6062,18,-9,-1,-11,0,-3,-0.5,207,203,19.0,.500,.503,20.2,-1.1,214,$93498333,,,-9999
