Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Nick Avila,26,11.2,8,0,12,9.26,5.21,0.01,-0.35,0.00,91.3,4.43,-6,-0.6,.21,0.2,-0.3,-5,.423,.496,,Amateur Draft,avilani01
Mike Baumann,28,0.2,1,0,2,27.00,3.70,0.03,-0.24,0.00,86.0,2.94,-2,-0.2,.06,0.1,-0.1,-2,.341,.499,,Purchased,baumami01
Tristan Beck,28,16.0,7,1,3,1.69,4.82,0.01,-0.19,0.00,89.1,4.11,4,0.5,.48,-0.1,0.5,6,.567,.503,$747500,Traded,becktr01
Hayden Birdsong,22,72.0,16,16,39,4.88,4.56,0.01,0.21,0.00,93.2,4.44,-4,-0.4,,-0.1,0.2,3,.476,.498,,Amateur Draft,birdsha01
Spencer Bivens,30,48.2,27,2,20,3.70,4.72,0.01,-0.21,0.00,91.3,4.10,2,0.2,1.00,-0.1,0.6,7,.508,.501,$740000,Free Agency,bivensp01
Mason Black,24,36.1,9,8,26,6.44,4.35,0.01,0.16,0.00,95.0,4.27,-9,-0.9,1.22,0.0,-0.6,-5,.405,.495,$740000,Amateur Draft,blackma01
Raymond Burgos*,25,1.0,1,0,1,9.00,4.99,0.02,-0.33,0.00,86.0,3.99,-1,-0.1,1.08,0.0,-0.1,0,.444,.500,,Free Agency,burgora01
Camilo Doval,26,59.0,62,0,35,5.34,4.57,0.01,-0.30,0.28,92.9,4.21,-8,-0.8,1.41,-0.3,-0.5,-2,.487,.495,$770000,Amateur Free Agent,dovalca01
Tyler Fitzgerald,26,3.0,3,0,3,9.00,5.12,0.02,-0.34,0.00,91.6,4.36,-2,-0.2,.00,0.1,-0.1,-1,.448,.499,$741875,Amateur Draft,fitzgty01
Kyle Harrison*,22,124.1,24,24,65,4.71,4.39,0.01,0.20,0.00,95.5,4.37,-5,-0.5,,-0.1,0.6,7,.478,.497,$743750,Amateur Draft,harriky01
Jordan Hicks,27,109.2,29,20,54,4.43,4.64,0.01,0.16,0.00,93.1,4.45,0,0.0,.99,-0.1,0.9,11,.500,.500,$6500000,Free Agency,hicksjo03
