Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Nick Ahmed,34,us US,R,R,6' 2",201,Mar 15 1990,11,52,50,52,51,0,0,0,0,0,51,0,0,0,0,0,0,1,-0.1,$850000,,ahmedni01
Nick Avila,26,us US,R,R,6' 4",195,Jul 25 1997,1st,8,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,avilani01
Patrick Bailey,25,us US,B,R,6' 0",210,May 29 1999,2,121,104,121,115,0,115,0,0,0,0,0,0,0,0,3,13,0,1.8,$747500,,bailepa01
Mike Baumann,28,us US,R,R,6' 4",240,Sep 10 1995,4,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,baumami01
Tristan Beck,28,us US,R,R,6' 4",165,Jun 24 1996,2,7,1,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0.5,$747500,,becktr01
Hayden Birdsong,22,us US,R,R,6' 4",215,Aug 30 2001,1st,16,16,0,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0.2,,,birdsha01
Spencer Bivens,30,us US,R,R,6' 5",205,Jun 28 1994,1st,27,2,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$740000,,bivensp01
Mason Black,24,us US,R,R,6' 3",230,Dec 10 1999,1st,9,8,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,$740000,,blackma01
Trenton Brooks,28,us US,L,L,5' 10",195,Jul 3 1995,1st,12,9,12,9,0,0,9,0,0,0,0,0,0,0,1,3,0,-0.2,$740000,,brooktr01
Raymond Burgos,25,pr PR,L,L,6' 5",170,Nov 29 1998,1st,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,burgora01
Mark Canha,35,us US,R,R,6' 2",209,Feb 15 1989,10,32,17,32,28,0,0,19,0,1,0,4,0,5,9,3,14,1,0.0,,,canhama01
Curt Casali,35,us US,R,R,6' 2",220,Nov 9 1988,11,41,38,41,41,0,41,0,0,0,0,0,0,0,0,0,0,0,0.3,,,casalcu01
Matt Chapman,31,us US,R,R,6' 0",215,Apr 28 1993,8,154,153,154,154,0,0,0,0,154,0,0,0,0,0,0,1,0,7.1,$18000000,,chapmma01
Michael Conforto,31,us US,L,R,6' 1",215,Mar 1 1993,9,130,115,130,106,0,0,0,0,0,0,106,0,0,106,21,14,0,1.3,$18000000,,confomi01
Camilo Doval,26,do DO,R,R,6' 2",185,Jul 4 1997,4,62,0,0,62,62,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,$770000,,dovalca01
Jerar Encarnacion,26,do DO,R,R,6' 4",250,Oct 22 1997,2,35,29,35,18,0,0,2,0,0,0,6,0,12,17,16,3,0,0.1,,,encarje01
Thairo Estrada,28,ve VE,R,R,5' 10",185,Feb 22 1996,6,96,94,96,94,0,0,0,94,0,0,0,0,0,0,1,1,0,-0.5,$4700000,,estrath01
Tyler Fitzgerald,26,us US,R,R,6' 1",205,Sep 15 1997,2,96,81,96,88,3,0,2,6,0,72,4,8,0,11,3,4,9,2.7,$741875,,fitzgty01
Wilmer Flores,32,ve VE,R,R,6' 2",213,Aug 6 1991,12,71,52,71,57,0,0,56,0,2,0,0,0,0,0,8,18,1,-0.6,$6500000,,florewi01
Kyle Harrison,22,us US,R,L,6' 2",200,Aug 12 2001,2,24,24,0,24,24,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$743750,,harriky01
Jordan Hicks,27,us US,R,R,6' 2",220,Sep 6 1996,6,29,20,0,29,29,0,0,0,0,0,0,0,0,0,0,0,0,0.9,$6500000,,hicksjo03
Derek Hill,28,us US,R,R,6' 1",206,Dec 30 1995,5,5,4,5,4,0,0,0,0,0,0,3,2,0,4,1,0,1,-0.1,,,hillde01
Sean Hjelle,27,us US,R,R,6' 11",228,May 7 1997,3,58,0,0,58,58,0,0,0,0,0,0,0,0,0,0,0,0,0.6,$743750,,hjellse01
Spencer Howard,27,us US,R,R,6' 3",210,Jul 28 1996,5,7,2,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,howarsp01
Luke Jackson,32,us US,R,R,6' 2",210,Aug 24 1991,9,36,0,0,36,36,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,$6500000,,jackslu01
Daulton Jefferies,28,us US,L,R,6' 0",182,Aug 2 1995,4,2,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.6,,,jeffeda01
Andrew Knapp,32,us US,B,R,6' 0",189,Nov 9 1991,7,3,2,3,3,0,3,0,0,0,0,0,0,0,0,0,0,0,-0.1,,,knappan01
Jung Hoo Lee,25,jp JP,L,R,6' 1",192,Aug 20 1998,1st,37,36,37,37,0,0,0,0,0,0,0,37,0,37,0,0,0,0.1,$7833333,,leeju01
Marco Luciano,22,do DO,R,R,6' 1",178,Sep 10 2001,2,27,21,27,18,0,0,0,9,0,9,0,0,0,0,7,2,2,-0.4,$741875,,luciama01
