Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Luis Campusano,25,91,299,277,37,63,13,0,8,40,0,0,20,41,.227,.281,.361,.642,78,100,11,1,0,1,0,campulu01
2,1B,Jake Cronenworth*,30,155,656,577,72,139,29,3,17,83,5,2,61,118,.241,.324,.390,.714,99,225,19,11,1,3,0,croneja01
3,2B,Xander Bogaerts,31,111,463,428,50,113,15,1,11,44,13,3,28,79,.264,.307,.381,.688,92,163,13,1,0,6,0,bogaexa01
4,SS,Ha-Seong Kim,28,121,470,403,60,94,16,3,11,47,22,5,58,77,.233,.330,.370,.700,96,149,8,2,4,3,4,kimha01
5,3B,Manny Machado,31,152,643,593,77,163,30,0,29,105,11,2,45,124,.275,.325,.472,.797,120,280,25,1,0,4,6,machama01
6,LF,Jurickson Profar#,31,158,668,564,94,158,29,0,24,85,10,3,76,101,.280,.380,.459,.839,134,259,14,18,5,5,4,profaju01
7,CF,Jackson Merrill*,21,156,593,554,77,162,31,6,24,90,16,3,29,101,.292,.326,.500,.826,127,277,2,1,4,5,1,merrija01
8,RF,Fernando Tatis Jr.,25,102,438,398,64,110,21,1,21,49,11,3,32,96,.276,.340,.492,.833,130,196,8,7,0,1,0,tatisfe02
9,DH,Luis Arráez*,27,117,524,500,61,159,24,2,4,41,9,3,16,18,.318,.346,.398,.744,108,199,13,6,1,1,3,arraelu01
10,CI,Donovan Solano,36,96,309,283,31,81,13,0,8,35,2,1,22,65,.286,.343,.417,.760,112,118,6,3,0,1,0,solando01
11,C,Kyle Higashioka,34,84,263,246,29,54,10,1,17,45,2,0,15,74,.220,.263,.476,.739,101,117,3,0,1,1,0,higasky01
12,RF,David Peralta*,36,91,260,236,35,63,11,0,8,28,2,0,22,54,.267,.335,.415,.750,109,98,3,2,0,0,0,peralda01
13,IF,Tyler Wade*,29,90,156,138,28,30,3,0,0,8,8,1,11,29,.217,.285,.239,.524,50,33,0,2,4,0,0,wadety01
14,OF,José Azocar,28,61,79,73,13,16,2,0,0,2,5,1,5,19,.219,.269,.247,.516,46,18,1,0,1,0,0,azocajo01
15,RF,Bryce Johnson#,28,47,73,63,9,13,2,0,0,4,1,1,7,12,.206,.286,.238,.524,50,15,1,0,3,0,0,johnsbr03
16,SS,Mason McCoy,29,19,57,49,7,10,2,0,0,3,1,0,5,19,.204,.278,.245,.523,49,12,2,0,3,0,0,mccoyma01
