Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,Name-additional
Manny Machado,31,13,Free Agency,11.056,MVP Sports Group,11 yrs/$350M (23-33),$17.09M,$17.09M,$25.09M,$39.1M,$39.1M,$39.1M,$39.1M,$39.1M,$39.1M,$39.1M,FA,machama01
Fernando Tatis Jr.,25,5,Traded,4.120,MVP Sports Group,14 yrs/$340M (21-34),$11.71M,$20.71M,$20.71M,$25.71M,$25.71M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M,$36.7M,tatisfe02
Xander Bogaerts,31,12,Free Agency,10.042,Boras Corporation,11 yrs/$280M (23-33),$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,$25.45M,FA,bogaexa01
Yu Darvish,37,12,Traded,12.000,Wasserman,6 yrs/$108M (23-28),$16M,$21M,$16M,$15M,$15M,FA,,,,,,darviyu01
Joe Musgrove,31,9,Traded,7.063,Full Circle Sport...,5 yrs/$100M (23-27),$20M,$20M,$20M,$20M,FA,,,,,,,musgrjo01
Jake Cronenworth,30,5,Traded,4.000,CAA Sports,7 yrs/$80M (24-30),$7.29M,$11.29M,$12.29M,$12.29M,$12.29M,$12.29M,$12.29M,FA,,,,croneja01
Robert Suarez,33,3,Free Agency,2.000,,3 yrs/$30M (23-25) & 26-27 player option,$10M,$10M,$0 [Arb-*],$0 [Arb-*],FA,,,,,,,suarero01
Ha-Seong Kim,28,4,Free Agency,3.000,ISE Baseball,4 yrs/$28M (21-24) & 25 mutual option,$8M,$2M [Arb-*],Arb,FA,,,,,,,,kimha01
Yuki Matsui,28,1st,Free Agency,0.000,,5 yrs/$28M (24-28),$3.25M,$5.5M,$5.75M,$6.5M,$7M,Arb,FA,,,,,matsuyu01
Elias Díaz,33,10,,7.088,The MAS+ Agency,3 yrs/$14.5M (22-24),$6M,FA,,,,,,,,,,diazel01
