Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Jason Adam,32,27,0,0,26.2,2,2,0,0,0,1,,,-1,-8,0,0.68,0.07,,,5,0,0.00,0.20,0,P,adamja01
Nick Ahmed,34,2,2,2,17,11,3,8,0,0,1,1,49,-1,-71,0,5.82,5.5,,,,,,,,2B-SS,ahmedni01
Luis Arráez,27,67,67,60,582,502,447,50,5,37,0.99,1,3,-3,-6,-2,7.69,4.25,,,,,,,,1B-2B-DH,arraelu01
Pedro Avila,27,4,0,0,8,2,2,0,0,0,1,,,0,0,0,2.25,0.5,,,0,0,,,0,P,avilape01
José Azocar,28,56,17,9,225.2,58,58,0,0,0,1,3,17,-1,-5,0,2.31,0.92,,,,,,,,LF-CF-RF-DH,azocajo01
Matthew Batten,29,1,1,1,8,7,5,2,0,1,1,1,116,0,0,0,7.88,7,,,,,,,,1B,battema01
Xander Bogaerts,31,101,101,90,887.2,383,147,227,9,48,0.977,-4,-5,-1,-1,0,3.79,3.28,,,,,,,,2B-SS-DH,bogaexa01
Jhony Brito,26,26,0,0,43.2,8,2,5,1,0,0.875,,,-1,-5,0,1.44,0.27,,,6,0,0.00,0.20,0,P,britojh01
Luis Campusano,25,88,74,70,673.2,728,701,24,3,0,0.996,-5,-9,-17,-30,-5,9.69,8.24,6,36,41,8,0.16,0.20,0,C-1B,campulu01
Dylan Cease,28,33,33,1,189.1,27,10,17,0,0,1,,,2,2,0,1.28,0.82,,,6,3,0.33,0.20,0,P,ceasedy01
Tom Cosgrove,28,18,0,0,14.2,2,0,2,0,0,1,,,1,14,0,1.23,0.11,,,0,0,,,0,P,cosgrto01
Jake Cronenworth,30,149,146,132,1293.1,923,709,208,6,99,0.993,-1,-1,-1,-1,2,6.38,5.73,,,,,,,,1B-2B-DH,croneja01
Yu Darvish,37,16,16,0,81.2,13,4,9,0,0,1,,,0,0,0,1.43,0.81,,,13,2,0.13,0.20,2,P,darviyu01
