Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 20,,LAD,L2-5,34,30,2,4,0,0,0,1,4,0,6,0,0,0,0,1,0,0,.133,.235,.133,.369,5,11,R,T.Glasnow(54)
2,2,Mar 21,@,LAD,W15-11,53,43,15,18,3,1,1,14,6,0,8,2,0,2,1,1,1,0,.301,.391,.411,.802,11,11,R,Y.Yamamoto(26)
3,3,Mar 28,,SFG,W6-4,35,32,6,9,1,0,0,5,3,1,7,0,0,0,0,1,2,0,.295,.377,.381,.758,5,11,R,L.Webb(57)
4,4,Mar 29,,SFG,L3-8,34,33,3,9,2,0,3,3,0,0,5,1,0,0,0,2,0,0,.290,.359,.435,.794,4,11,L,K.Harrison(57)
5,5,Mar 30,,SFG,L6-9,40,34,6,7,1,0,2,6,5,0,10,1,0,0,0,0,0,0,.273,.352,.430,.782,7,12,R,J.Hicks(66)
6,6,Mar 31,,SFG,W13-4,44,40,13,16,6,0,2,12,4,0,7,0,0,0,1,1,0,0,.297,.371,.481,.852,7,12,R,D.Jefferies(11)
7,7,Apr 1,,STL,L2-6,32,30,2,5,1,0,2,2,2,0,5,0,0,0,0,2,0,0,.281,.353,.471,.824,3,10,R,K.Gibson(63)
8,8,Apr 2,,STL,L2-5,37,35,2,9,3,0,0,2,2,0,7,0,0,0,0,1,1,0,.278,.346,.455,.801,8,9,R,M.Mikolas(53)
9,9,Apr 3,,STL,W3-2,36,30,3,7,2,0,1,3,5,1,10,0,1,0,0,0,3,0,.274,.346,.450,.795,9,11,L,Z.Thompson(46)
10,10,Apr 5,@,SFG,L2-3,33,32,2,6,2,0,0,2,1,0,8,0,0,0,0,1,0,0,.265,.334,.431,.765,4,10,R,J.Hicks(66)
11,11,Apr 6,@,SFG,W4-0,33,30,4,5,0,0,1,4,3,0,2,0,0,0,0,1,0,1,.257,.327,.417,.744,2,10,R,K.Winn(48)
12,12,Apr 7,@,SFG,L2-3,36,36,2,11,1,0,0,2,0,0,8,0,0,0,0,2,1,0,.262,.325,.410,.735,7,12,R,L.Webb(52)
13,13,Apr 8,,CHC,W9-8,39,32,9,9,0,1,3,9,6,0,9,0,0,0,0,0,0,1,.263,.331,.426,.756,6,12,R,J.Assad(57)
14,14,Apr 9,,CHC,L1-5,31,29,1,4,2,0,1,1,2,0,11,0,0,0,0,1,1,0,.255,.322,.418,.741,3,10,R,B.Brown(62)
15,15,Apr 10,,CHC,W10-2,40,35,10,12,1,1,2,10,4,0,7,1,0,0,0,0,2,0,.261,.330,.431,.761,6,12,R,K.Hendricks(23)
16,16,Apr 12,@,LAD,W8-7,45,42,8,10,0,0,4,8,3,1,10,0,0,0,0,1,0,0,.260,.327,.438,.765,6,11,R,Y.Yamamoto(52)
17,17,Apr 13,@,LAD,L2-5,34,33,2,7,2,0,0,2,1,0,8,0,0,0,0,1,1,0,.257,.322,.429,.751,5,10,R,G.Stone(59)
18,18,Apr 14,@,LAD,W6-3,43,28,6,8,2,0,1,5,14,1,3,0,1,0,0,4,0,2,.258,.334,.430,.765,10,11,L,J.Paxton(42)
19,19,Apr 15,@,MIL,W7-3,44,39,7,12,1,0,0,6,4,0,7,0,0,0,0,0,1,0,.261,.337,.425,.761,10,11,R,J.Ross(22)
20,20,Apr 16,@,MIL,W6-3,41,36,6,11,0,0,1,6,4,1,10,0,1,0,1,2,2,0,.264,.339,.423,.761,8,9,L,W.Miley(33)
21,21,Apr 17,@,MIL,L0-1,32,30,0,5,1,2,0,0,2,0,3,0,0,0,0,2,0,0,.260,.334,.419,.753,5,9,R,B.Wilson(58)
22,22,Apr 19,,TOR,L1-5,34,32,1,5,1,0,1,1,2,0,14,0,0,0,0,0,0,0,.255,.328,.413,.741,6,11,R,Y.Rodríguez(58)
23,23,Apr 20,,TOR,L2-5,39,36,2,9,3,0,0,2,3,0,8,0,0,0,0,0,0,0,.255,.328,.409,.737,10,11,R,J.Berríos(66)
24,24,Apr 21,,TOR,W6-3,39,27,6,6,0,0,1,5,9,0,6,1,0,1,0,0,3,0,.254,.331,.407,.738,9,11,R,C.Bassitt(45)
25,25,Apr 22,@,COL,W3-1,39,35,3,9,2,1,0,3,4,0,6,0,0,0,0,1,1,0,.254,.332,.405,.737,9,10,L,A.Gomber(54)
26,26,Apr 23,@,COL,L4-7,40,36,4,12,1,0,0,4,3,0,7,0,0,1,0,1,1,1,.257,.333,.403,.737,9,10,R,R.Feltner(28)
27,27,Apr 24,@,COL,W5-2,35,31,5,8,1,0,0,5,3,0,1,0,0,1,1,2,0,2,.257,.333,.400,.732,3,10,L,T.Blach(39)
28,28,Apr 25,@,COL,L9-10,41,35,9,11,2,0,2,9,4,0,8,0,1,1,0,0,1,0,.259,.334,.405,.739,5,9,R,D.Hudson(24)
29,29,Apr 26,,PHI,L3-9,35,34,3,7,1,0,1,3,1,0,11,0,0,0,0,0,0,0,.257,.331,.402,.733,5,11,R,A.Nola(65)
30,30,Apr 27,,PHI,L1-5,29,29,1,3,0,0,1,1,0,0,11,0,0,0,0,0,0,0,.253,.325,.396,.721,1,10,L,R.Suárez(80)
31,31,Apr 28,,PHI,L6-8,37,35,6,9,3,0,2,6,2,0,6,0,0,0,1,1,0,0,.253,.324,.400,.724,4,11,R,T.Walker(35)
32,32,Apr 29,,CIN,L2-5,33,31,2,4,1,0,1,2,2,0,14,0,0,0,0,0,0,0,.250,.320,.396,.716,4,12,L,N.Lodolo(80)
33,33,Apr 30,,CIN,W6-4,40,36,6,10,3,0,0,5,2,0,6,1,0,0,1,1,1,0,.250,.321,.395,.716,10,10,R,N.Martinez(41)
34,34,May 1,,CIN,W6-2,36,33,6,8,0,0,1,6,3,0,6,0,0,0,1,0,1,0,.250,.320,.393,.713,6,11,R,G.Ashcraft(60)
35,35,May 3,@,ARI,W7-1,41,39,7,12,4,0,3,7,2,0,9,0,0,0,0,0,0,0,.252,.321,.402,.722,7,10,R,S.Cecconi(31)
36,36,May 4,@,ARI,W13-1,48,45,13,18,5,0,2,13,2,0,6,0,1,0,0,1,1,0,.258,.324,.410,.735,8,12,R,B.Pfaadt(40)
37,37,May 5,@,ARI,L4-11,39,38,4,12,2,0,1,3,1,0,6,0,0,0,0,1,0,0,.259,.325,.412,.736,8,9,R,R.Nelson(37)
38,38,May 6,@,CHC,W6-3,38,35,6,11,2,0,0,6,3,0,5,0,0,0,0,1,2,1,.261,.326,.410,.736,5,11,L,J.Steele(59)
39,39,May 7,@,CHC,L2-3,37,35,2,9,0,0,1,2,2,0,8,0,0,0,0,0,1,0,.261,.325,.409,.734,8,12,L,S.Imanaga(62)
40,40,May 8,@,CHC,W3-0,38,35,3,8,1,0,0,3,2,0,8,1,0,0,0,0,1,0,.260,.324,.405,.729,8,10,R,H.Wesneski(48)
41,41,May 10,,LAD,W2-1,28,26,2,3,1,0,1,2,2,0,13,0,0,0,0,2,0,0,.257,.322,.402,.724,1,10,R,T.Glasnow(79)
42,42,May 11,,LAD,L0-5,34,33,0,6,1,0,0,0,0,0,6,1,0,0,0,0,0,0,.255,.319,.398,.717,7,10,L,J.Paxton(68)
43,43,May 12,,LAD,W4-0,36,32,4,9,1,0,3,4,2,0,5,2,0,0,0,0,3,1,.256,.320,.402,.722,8,11,R,W.Buehler(38)
44,44,May 13,,COL,L4-5,40,29,4,4,0,0,3,4,11,0,4,0,0,0,0,2,1,0,.254,.321,.403,.724,9,9,R,D.Hudson(51)
45,45,May 14,,COL,L3-6,38,34,3,11,0,0,0,2,4,0,6,0,0,0,0,3,1,0,.255,.323,.401,.724,8,9,R,C.Quantrill(58)
46,46,May 15,,COL,L0-8,34,30,0,4,0,0,0,0,4,0,9,0,0,0,0,0,1,0,.253,.321,.396,.717,7,11,L,A.Gomber(71)
47,47,May 17,@,ATL,W3-1,41,38,3,13,0,0,0,3,3,0,6,0,0,0,0,1,3,1,.255,.323,.395,.718,11,10,L,M.Fried(32)
48,48,May 19,@,ATL,W9-1,46,41,9,14,2,0,3,9,4,0,9,0,0,1,1,0,2,0,.257,.325,.400,.725,10,12,R,B.Elder(15)
49,49,May 20 (1),@,ATL,W6-5,38,33,6,10,2,0,0,6,4,0,5,0,1,0,0,3,0,0,.258,.326,.400,.725,5,12,R,R.López(58)
50,50,May 20 (2),@,ATL,L0-3,34,34,0,7,1,0,0,0,0,0,10,0,0,0,0,0,2,0,.257,.324,.396,.720,7,9,L,C.Sale(76)
51,51,May 21,@,CIN,L0-2,32,30,0,5,0,0,0,0,2,0,5,0,0,0,0,1,1,1,.256,.322,.392,.714,5,9,L,A.Abbott(70)
52,52,May 22,@,CIN,W7-3,39,37,7,14,3,0,1,7,1,0,3,1,0,0,0,3,1,0,.258,.324,.395,.719,5,11,R,N.Martinez(29)
53,53,May 23,@,CIN,W6-4,41,38,6,12,4,0,0,6,2,1,8,0,0,1,0,1,2,1,.259,.324,.396,.720,6,11,R,F.Montas(40)
54,54,May 24,,NYY,L0-8,31,28,0,3,0,0,0,0,3,0,6,0,0,0,0,2,0,0,.257,.322,.391,.713,4,12,L,C.Rodón(65)
55,55,May 25,,NYY,L1-4,35,31,1,4,0,1,1,1,3,0,7,1,0,0,0,0,0,0,.255,.320,.390,.710,7,9,R,M.Stroman(70)
56,56,May 26,,NYY,W5-2,39,33,5,9,2,0,0,5,5,0,7,1,0,0,1,0,0,0,.255,.322,.389,.710,10,12,R,C.Schmidt(58)
57,57,May 27,,MIA,W2-1,36,32,2,8,1,0,1,2,3,0,4,1,0,0,0,1,0,1,.255,.322,.389,.710,10,11,L,T.Rogers(53)
58,58,May 28,,MIA,W4-0,34,32,4,9,1,0,1,4,2,0,6,0,0,0,1,1,2,0,.255,.322,.389,.711,6,10,L,J.Luzardo(48)
59,59,May 29,,MIA,L1-9,35,33,1,8,0,0,1,1,1,0,2,1,0,0,0,1,0,0,.255,.321,.388,.709,7,10,L,B.Garrett(53)
60,60,May 31,@,KCR,W11-8,44,42,11,18,2,0,0,11,2,0,5,0,0,0,0,1,0,1,.259,.324,.390,.714,6,11,R,M.Wacha(51)
61,61,Jun 1,@,KCR,W7-3,40,33,7,11,2,1,2,7,4,1,5,1,0,2,0,2,0,0,.260,.325,.394,.719,6,10,R,A.Marsh(33)
62,62,Jun 2,@,KCR,L3-4,37,35,3,10,2,0,0,3,2,0,7,0,0,0,0,1,0,0,.260,.325,.393,.718,7,11,L,C.Ragans(62)
63,63,Jun 3,@,LAA,L1-2,35,31,1,6,4,0,1,1,4,2,3,0,0,0,0,0,2,0,.260,.325,.393,.718,7,12,L,T.Anderson(59)
64,64,Jun 4,@,LAA,L2-4,37,34,2,7,0,0,0,2,2,0,9,1,0,0,0,0,1,0,.259,.324,.390,.714,8,10,L,P.Sandoval(66)
65,65,Jun 5,@,LAA,L2-3,35,33,2,8,1,0,0,1,1,0,1,0,1,0,0,1,0,0,.258,.323,.389,.711,6,11,R,J.Soriano(54)
66,66,Jun 6,,ARI,L3-4,40,34,3,10,3,0,1,2,3,0,5,1,2,0,0,0,3,1,.259,.324,.390,.713,10,13,R,S.Cecconi(39)
67,67,Jun 7,,ARI,W10-3,42,38,10,14,2,0,3,10,3,0,6,1,0,0,0,0,1,0,.261,.325,.394,.720,8,10,R,B.Pfaadt(34)
68,68,Jun 8,,ARI,W13-1,46,38,13,14,5,0,3,12,6,0,4,1,0,1,1,1,0,0,.263,.328,.400,.728,9,12,R,R.Nelson(23)
69,69,Jun 9,,ARI,L3-9,38,34,3,7,0,0,2,3,3,0,6,1,0,0,0,1,1,0,.262,.327,.400,.727,8,9,R,S.McGough(47)
70,70,Jun 10,,OAK,W6-1,39,32,6,10,3,0,2,6,5,0,6,1,0,1,0,0,1,0,.262,.328,.402,.731,9,11,R,J.Estes(40)
71,71,Jun 11,,OAK,W4-3,36,31,4,10,2,0,1,4,5,1,3,0,0,0,0,2,1,0,.263,.330,.403,.733,8,11,L,J.Sears(39)
72,72,Jun 12,,OAK,W5-4,34,32,5,6,0,0,4,5,2,0,10,0,0,0,1,0,0,0,.262,.328,.405,.734,4,11,L,H.Harris(55)
73,73,Jun 14,@,NYM,L1-2,33,30,1,5,0,0,1,1,2,0,12,1,0,0,0,1,1,1,.261,.327,.404,.731,5,12,L,S.Manaea(61)
74,74,Jun 15,@,NYM,L1-5,31,29,1,2,1,0,1,1,2,0,9,0,0,0,1,1,0,0,.259,.325,.401,.727,3,11,L,J.Quintana(68)
75,75,Jun 16,@,NYM,L6-11,41,36,6,10,3,0,0,6,4,0,7,0,0,1,1,1,0,0,.259,.325,.401,.726,8,11,R,T.Megill(52)
76,76,Jun 17,@,PHI,L2-9,31,30,2,7,1,0,0,2,1,0,6,0,0,0,0,3,0,1,.259,.325,.399,.724,2,13,L,C.Sánchez(63)
77,77,Jun 18,@,PHI,L3-4,31,30,3,4,0,0,1,3,1,0,9,0,0,0,0,0,0,1,.257,.323,.397,.720,1,11,R,A.Nola(57)
78,78,Jun 19,@,PHI,W5-2,41,39,5,12,1,1,1,5,1,0,6,1,0,0,1,0,1,0,.258,.323,.398,.721,9,10,L,R.Suárez(60)
79,79,Jun 20,,MIL,W7-6,40,36,7,10,1,0,4,7,4,1,9,0,0,0,0,0,1,0,.258,.323,.402,.725,7,10,R,B.Wilson(33)
80,80,Jun 21,,MIL,W9-5,43,38,9,15,3,0,2,8,4,0,2,1,0,0,0,2,0,0,.260,.326,.405,.730,10,12,R,C.Rea(34)
81,81,Jun 22,,MIL,W6-4,33,31,6,10,0,0,3,6,1,0,4,1,0,0,0,2,0,0,.261,.326,.407,.733,3,10,R,C.Rodriguez(36)
82,82,Jun 23,,MIL,L2-6,35,34,2,8,2,0,0,2,0,0,6,0,0,1,1,1,0,0,.261,.325,.406,.731,6,9,R,T.Myers(56)
83,83,Jun 24,,WSN,W7-6,38,35,7,8,2,0,0,7,2,1,6,0,1,0,0,1,0,0,.260,.324,.404,.728,3,11,L,P.Corbin(60)
84,84,Jun 25,,WSN,W9-7,37,33,9,9,0,1,2,9,3,0,4,1,0,0,0,0,0,0,.260,.324,.406,.730,4,10,L,M.Gore(35)
