Rk,Gtm,Date,,Opp,Rslt,IP,H,R,ER,UER,BB,SO,HR,HBP,ERA,BF,Pit,Str,IR,IS,SB,CS,AB,2B,3B,IBB,SH,SF,ROE,GDP,number,Umpire,Pitchers-Used-Rest-GameScore-Dec
1,1,Mar 20,,LAD,L2-5,9.0,7,5,3,2,9,7,0,1,3.00,45,173,100,5,3,1,0,33,0,0,0,0,2,1,0,8,Lance Barksdale,Y.Darvish (99-55) T.Cosgrove (99) E.De Los Santos (99-H) Y.Matsui (99-H) W.Peralta (99-H) J.Brito (99-BL) A.Morejón (99) J.Estrada (99)
2,2,Mar 21,@,LAD,W15-11,9.0,16,11,11,0,6,9,1,1,7.00,50,191,119,4,4,0,0,42,3,0,0,0,1,0,0,6,Andy Fletcher,J.Musgrove (99-24) T.Cosgrove (0) M.King (99-W) Y.Matsui (0) S.Kolek (99-H) R.Suarez (99-Sv)
3,3,Mar 28,,SFG,W6-4,9.0,9,4,4,0,1,10,1,0,6.00,35,131,92,3,1,0,1,32,2,0,0,1,1,0,0,5,Mark Ripperger,Y.Darvish (7-59) T.Cosgrove (6-H) J.Brito (7-BSv) Y.Matsui (6-W) R.Suarez (6-Sv)
4,4,Mar 29,,SFG,L3-8,9.0,13,8,8,0,2,7,2,2,6.50,42,156,106,2,0,0,0,38,2,0,0,0,0,0,2,4,Adam Hamari,J.Musgrove (7-39-L) S.Kolek (7) E.De Los Santos (8) P.Avila (99)
5,5,Mar 30,,SFG,L6-9,9.0,9,9,8,1,3,10,2,0,6.80,40,164,105,1,0,0,0,35,2,0,0,0,2,1,0,5,Vic Carapazza,D.Cease (99-54-L) J.Brito (1) T.Cosgrove (1) E.De Los Santos (0) S.Kolek (0)
6,6,Mar 31,,SFG,W13-4,9.0,5,4,4,0,8,9,1,1,6.33,40,148,83,0,0,0,0,31,1,0,0,0,0,0,1,4,Edwin Moscoso,M.King (9-49) P.Avila (1-W) Y.Matsui (2) W.Peralta (10)
7,7,Apr 1,,STL,L2-6,9.0,14,6,6,0,3,13,2,1,6.29,45,173,115,2,0,1,0,41,2,0,0,0,0,0,0,5,Marvin Hudson,M.Waldron (99-34-L) J.Brito (1) S.Kolek (1) E.De Los Santos (1) T.Cosgrove (1)
8,8,Apr 2,,STL,L2-5,9.0,6,5,4,1,4,7,1,0,6.00,37,124,79,3,2,0,0,29,2,0,0,2,2,0,1,4,Hunter Wendelstedt,Y.Darvish (4-60-L) Y.Matsui (1) W.Peralta (1) P.Avila (1)
9,9,Apr 3,,STL,W3-2,9.0,6,2,1,1,4,11,0,4,5.44,36,155,88,1,0,0,2,28,1,0,0,0,0,0,3,4,John Tumpane,J.Musgrove (4-64-W) T.Cosgrove (1-H) W.Peralta (0-H) R.Suarez (5-Sv)
10,10,Apr 5,@,SFG,L2-3,8.1,5,3,3,0,2,8,0,1,5.24,33,141,89,0,0,0,0,30,3,0,0,0,0,0,0,4,Sean Barber,D.Cease (5-61) Y.Matsui (2) W.Peralta (1) E.De Los Santos (3-L)
11,11,Apr 6,@,SFG,W4-0,9.0,4,0,0,0,3,5,0,0,4.76,34,123,80,1,0,0,0,31,0,0,0,0,0,0,0,4,Alan Porter,M.King (5-72-W) T.Cosgrove (2) S.Kolek (4) R.Suarez (2)
12,12,Apr 7,@,SFG,L2-3,8.0,6,3,0,3,2,6,0,0,4.40,33,117,72,2,1,0,0,31,1,0,0,0,0,1,0,4,Ryan Blakney,M.Waldron (5-64) S.Kolek (0-H) Y.Matsui (1-H) J.Brito (5-BL)
13,13,Apr 8,,CHC,W9-8,9.0,8,8,8,0,6,10,0,1,4.68,40,153,89,0,0,0,1,32,3,1,0,0,1,0,1,5,James Hoye,Y.Darvish (5-36) P.Avila (5) E.De Los Santos (2) W.Peralta (2-W) R.Suarez (1-Sv)
14,14,Apr 9,,CHC,L1-5,9.0,9,5,5,0,3,11,2,1,4.71,39,167,113,3,3,0,0,35,0,0,0,0,0,0,1,4,Rob Drake,J.Musgrove (5-38-L) S.Kolek (1) J.Brito (1) T.Cosgrove (2)
