Name,Age,G,PA,Rbat,Rbaser,Rdp,Rfield,Rpos,RAA,WAA,Rrep,RAR,WAR,waaWLpct,162WLpct,oWAR,dWAR,oRAR,Salary,Acquired,Pos-Summary,Name-additional
Nick Ahmed,34,2,7,-1,0,0,-1,0,-2,-0.2,0,-2,-0.2,.413,.499,-0.1,-0.1,0,,Free Agency,/46,ahmedni01
Luis Arráez*,27,117,524,4,0,-1,-3,-7,-7,-0.7,17,10,0.9,.494,.496,1.2,-1.0,13,,Traded,3D/4H,arraelu01
José Azocar,28,61,79,-4,0,0,-1,-1,-6,-0.6,3,-3,-0.4,.490,.496,-0.2,-0.2,-2,$745700,Free Agency,7H8/9D,azocajo01
Matthew Batten,29,1,3,1,0,0,0,0,0,0.0,0,1,0.1,.544,.500,0.1,0.0,1,$740000,Amateur Draft,/3,battema01
Xander Bogaerts,31,111,463,-5,1,-1,-1,3,-3,-0.3,16,13,1.2,.498,.498,1.3,0.2,14,$25454546,Free Agency,46/DH,bogaexa01
Jhony Brito,26,1,0,0,0,0,0,0,0,0.0,0,0,0.0,.500,.500,0.0,0.0,0,$746000,Traded,1,britojh01
Luis Campusano,25,91,299,-7,0,-2,-12,5,-16,-1.6,10,-6,-0.7,.482,.490,0.6,-0.7,7,$754700,Amateur Draft,2H/3,campulu01
Jake Cronenworth*,30,155,656,1,0,0,-1,-2,-2,-0.2,22,20,1.9,.499,.499,2.0,-0.3,21,$7285714,Traded,34/DH,croneja01
Elias Díaz,33,12,24,1,0,0,0,1,1,0.1,1,1,0.1,.504,.500,0.1,0.1,1,,,2,diazel01
Kyle Higashioka,34,84,263,1,0,0,-1,5,5,0.5,9,14,1.4,.506,.503,1.5,0.5,15,$2180000,Traded,2/H,higasky01
Bryce Johnson#,28,47,73,-5,-1,0,1,-1,-5,-0.6,2,-3,-0.3,.488,.497,-0.4,0.0,-4,,Free Agency,9H/78D,johnsbr03
Ha-Seong Kim,28,121,470,-2,2,1,2,7,10,1.0,16,26,2.6,.509,.506,2.4,0.9,24,$8000000,Free Agency,*6/H,kimha01
Brandon Lockridge,27,12,12,-1,1,0,0,0,-1,-0.1,0,0,0.0,.494,.500,0.0,-0.1,0,,Traded,/7HD98,lockrbr01
Manny Machado,31,152,643,13,0,-4,2,-2,10,1.0,22,32,3.1,.507,.506,2.9,0.0,30,$17090909,Free Agency,5D/H,machama01
Mason McCoy,29,19,57,-4,0,0,0,1,-3,-0.3,2,-1,-0.1,.485,.498,-0.1,0.1,-1,,Free Agency,6,mccoyma01
Jackson Merrill*,21,156,593,18,-1,3,0,5,25,2.5,20,45,4.4,.516,.516,4.5,0.5,45,$740000,Amateur Draft,*8/H,merrija01
Graham Pauley*,23,13,32,-4,0,0,0,0,-4,-0.5,1,-3,-0.4,.466,.497,-0.4,0.0,-3,$740000,Amateur Draft,/5DH3,paulegr01
David Peralta*,36,91,260,3,0,1,-1,-4,0,0.0,9,9,0.8,.500,.500,0.9,-0.5,10,,Free Agency,9HD7,peralda01
Jurickson Profar#,31,158,668,28,-1,0,-8,-5,14,1.4,23,37,3.6,.509,.509,4.4,-1.4,44,$1000000,Free Agency,*7/D3,profaju01
Eguy Rosario,24,30,57,1,-1,0,1,0,1,0.2,2,3,0.3,.505,.501,0.2,0.1,2,$744400,Free Agency,5H/D4,rosareg01
Donovan Solano,36,96,309,6,-3,0,0,-3,0,0.0,11,10,1.0,.500,.500,1.0,-0.3,10,,Free Agency,5DH3/4,solando01
Brett Sullivan*,30,7,17,-1,0,0,0,0,-1,-0.1,1,0,0.0,.489,.500,0.0,0.0,0,$740000,Traded,/23H,sullibr01
Fernando Tatis Jr.,25,102,438,14,1,0,0,-3,12,1.2,15,27,2.6,.512,.508,2.6,-0.4,27,$11714286,Traded,9/DH,tatisfe02
Tyler Wade*,29,90,156,-10,2,1,-5,1,-11,-1.2,5,-6,-0.7,.487,.493,-0.1,-0.5,-1,$850000,Free Agency,H5467/9D8,wadety01
Team Total,29,1729,6103,46,3,-2,-28,-1,18,1.7,207,225,21.3,.501,.502,24.3,-3.0,253,$79526255,,,-9999
