Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Jason Adam,32,26.2,27,0,3,1.01,4.46,-0.07,-0.30,0.00,99.1,4.20,9,1.0,1.41,0.1,1.4,12,.537,.506,,Traded,adamja01
Pedro Avila,27,8.0,4,0,8,9.00,4.95,-0.07,-0.33,0.00,98.0,4.60,-4,-0.4,.17,0.1,-0.2,-3,.406,.498,,Free Agency,avilape01
Jhony Brito,26,43.2,26,0,23,4.74,4.66,-0.10,-0.31,0.00,100.1,4.46,-2,-0.2,.58,-0.1,0.2,3,.494,.499,$746000,Traded,britojh01
Dylan Cease,28,189.1,33,33,80,3.80,4.68,-0.08,0.21,0.00,99.6,4.95,24,2.6,,-0.2,4.2,42,.579,.516,$8000000,Traded,ceasedy01
Tom Cosgrove*,28,14.2,18,0,19,11.66,4.72,-0.11,-0.31,0.00,97.2,4.38,-12,-1.2,.66,0.2,-0.9,-10,.435,.493,$750500,Amateur Draft,cosgrto01
Yu Darvish,37,81.2,16,16,32,3.53,4.74,-0.09,0.22,0.00,96.3,4.86,12,1.3,,-0.1,2.0,20,.581,.508,$16000000,Traded,darviyu01
Austin Davis*,31,7.0,7,0,8,10.29,4.72,-0.09,-0.31,0.00,99.8,4.49,-5,-0.4,.31,0.1,-0.2,-4,.436,.497,,Free Agency,davisau01
Enyel De Los Santos,28,40.1,44,0,21,4.69,4.73,-0.08,-0.32,0.28,98.9,4.72,0,0.0,1.09,-0.1,0.3,4,.500,.500,$1600000,Traded,delosen01
Carl Edwards Jr.,32,0.0,1,0,0,,,,,,102.0,,0,0.0,2.00,0.0,0.0,0,.500,.500,,Free Agency,edwarca01
Jeremiah Estrada,25,61.0,62,0,22,3.25,4.53,-0.07,-0.30,0.09,98.5,4.33,7,0.8,1.17,-0.1,1.2,13,.512,.505,$740000,Waivers,estraje01
Logan Gillaspie,27,11.1,9,0,9,7.15,5.11,-0.11,-0.34,0.00,95.6,4.67,-3,-0.3,.37,0.1,-0.1,-2,.465,.498,$740000,Waivers,gillalo01
Bryan Hoeing,27,23.2,18,0,5,1.90,4.65,-0.08,-0.31,0.00,99.7,4.41,7,0.7,1.01,-0.1,0.9,9,.539,.504,,Traded,hoeinbr01
Alek Jacob,26,14.2,7,0,4,2.45,4.63,-0.07,-0.31,0.00,95.0,4.17,3,0.3,.40,-0.1,0.3,4,.542,.502,$740000,Amateur Draft,jacobal01
Michael King,29,173.2,31,30,71,3.68,4.76,-0.08,0.21,0.00,98.3,4.97,24,2.7,.97,-0.1,4.2,41,.587,.517,$3150000,Traded,kingmi01
Stephen Kolek,27,46.2,42,0,30,5.79,4.89,-0.10,-0.33,0.00,99.0,4.62,-6,-0.6,.62,0.0,-0.2,-2,.485,.496,$740000,Rule 5 Draft,kolekst01
Yuki Matsui*,28,62.2,64,0,27,3.88,4.64,-0.08,-0.31,0.00,100.2,4.42,4,0.4,.92,-0.2,0.8,10,.506,.502,$3250000,Free Agency,matsuyu01
Adam Mazur,23,33.2,8,8,28,7.49,4.75,-0.10,0.22,0.00,97.2,4.94,-10,-0.9,,0.0,-0.6,-6,.387,.494,$740000,Amateur Draft,mazurad01
Adrián Morejón*,25,63.2,60,0,24,3.39,4.51,-0.09,-0.30,0.26,99.1,4.52,8,0.8,1.08,-0.1,1.3,14,.514,.505,$850000,Amateur Free Agent,morejad01
Joe Musgrove,31,99.2,19,19,44,3.97,4.54,-0.09,0.21,0.00,98.1,4.75,8,0.9,,-0.1,1.7,18,.547,.505,$20000000,Traded,musgrjo01
Wandy Peralta*,32,38.1,46,0,19,4.46,4.83,-0.10,-0.32,0.15,99.6,4.73,1,0.1,1.05,-0.1,0.4,5,.502,.501,$3350000,Free Agency,peralwa01
Martín Pérez*,33,52.0,10,10,20,3.46,4.10,-0.09,0.19,0.00,99.8,4.37,5,0.5,,0.0,1.0,10,.555,.503,,Traded,perezma02
Sean Reynolds,26,11.0,9,0,1,0.82,4.13,-0.06,-0.27,0.00,102.7,4.02,4,0.4,.23,-0.2,0.3,5,.546,.503,,Traded,reynose01
Tanner Scott*,29,26.1,28,0,10,3.42,4.21,-0.08,-0.28,0.64,98.4,4.59,3,0.4,1.66,0.0,0.7,6,.513,.502,,Traded,scottta01
Robert Suarez,33,65.0,65,0,21,2.91,4.56,-0.09,-0.30,0.26,98.0,4.51,11,1.2,1.68,0.2,2.1,18,.519,.507,$10000000,Free Agency,suarero01
Randy Vásquez,25,98.0,20,20,56,5.14,4.52,-0.11,0.21,0.00,99.8,4.83,-4,-0.4,,-0.1,0.5,6,.481,.498,$740000,Traded,vasqura02
Matt Waldron,27,146.2,27,26,84,5.15,4.58,-0.09,0.20,0.00,101.1,4.92,-4,-0.5,.14,-0.1,0.8,10,.483,.497,$741800,Traded,waldrma01
Team Total,28.6,1439.1,701,162,669,4.18,4.62,-0.09,0.01,0.05,99.0,4.72,81,9.2,1.06,-0.9,21.9,220,.513,.503,$72878300,,-9999
