Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Jason Adam,32,us US,R,R,6' 3",229,Aug 4 1991,7,27,0,0,27,27,0,0,0,0,0,0,0,0,0,0,0,0,1.4,,,adamja01
Nick Ahmed,34,us US,R,R,6' 2",201,Mar 15 1990,11,2,2,2,2,0,0,0,1,0,1,0,0,0,0,0,0,0,-0.2,,,ahmedni01
Luis Arráez,27,ve VE,L,R,5' 10",175,Apr 9 1997,6,117,113,117,67,0,0,61,9,0,0,0,0,0,0,47,4,0,0.9,,All-Star,arraelu01
Pedro Avila,27,ve VE,R,R,5' 11",210,Jan 14 1997,5,4,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,avilape01
José Azocar,28,ve VE,R,R,5' 11",181,May 11 1996,3,61,17,61,56,0,0,0,0,0,0,45,11,5,56,2,4,12,-0.4,$745700,,azocajo01
Matthew Batten,29,us US,R,R,5' 10",180,Jun 22 1995,3,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0.1,$740000,,battema01
Xander Bogaerts,31,aw AW,R,R,6' 2",218,Oct 1 1992,12,111,110,111,101,0,0,0,85,0,20,0,0,0,0,9,1,0,1.2,$25454546,,bogaexa01
Jhony Brito,26,do DO,R,R,6' 2",210,Feb 17 1998,2,26,0,1,26,26,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$746000,,britojh01
Luis Campusano,25,us US,R,R,5' 11",232,Sep 29 1998,5,91,74,91,88,0,86,2,0,0,0,0,0,0,0,0,10,0,-0.7,$754700,,campulu01
Dylan Cease,28,us US,R,R,6' 2",200,Dec 28 1995,6,33,33,0,33,33,0,0,0,0,0,0,0,0,0,0,0,0,4.2,$8000000,,ceasedy01
Tom Cosgrove,28,us US,L,L,6' 2",190,Jun 14 1996,2,18,0,0,18,18,0,0,0,0,0,0,0,0,0,0,0,0,-0.9,$750500,,cosgrto01
Jake Cronenworth,30,us US,L,R,6' 0",187,Jan 21 1994,5,155,151,155,149,0,0,85,70,0,0,0,0,0,0,5,2,0,1.9,$7285714,,croneja01
