Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPSplus,TB,GDP,HBP,SH,SF,IBB,Name-additional
1,C,Jacob Stallings,34,82,281,243,31,64,17,1,9,36,0,0,27,65,.263,.357,.453,.810,118,110,10,9,1,1,1,stallja01
2,1B,Michael Toglia#,25,116,458,399,62,87,14,3,25,55,10,1,54,147,.218,.311,.456,.767,105,182,7,1,0,3,2,toglimi01
3,2B,Brendan Rodgers,27,135,539,501,67,134,29,1,13,54,1,0,31,132,.267,.314,.407,.721,94,204,12,4,1,2,1,rodgebr02
4,SS,Ezequiel Tovar,22,157,695,655,83,176,45,4,26,78,6,5,23,200,.269,.295,.469,.763,103,307,16,4,5,7,1,tovarez01
5,3B,Ryan McMahon*,29,153,645,567,68,137,28,0,20,65,4,6,69,185,.242,.325,.397,.722,95,225,9,3,0,4,4,mcmahry01
6,LF,Nolan Jones*,26,79,297,256,28,58,13,1,3,28,5,4,36,91,.227,.321,.320,.641,75,82,7,1,1,3,2,jonesno01
7,CF,Brenton Doyle,26,149,603,542,82,141,24,4,23,72,30,5,46,153,.260,.317,.446,.764,104,242,13,3,4,8,1,doylebr02
8,RF,Jake Cave*,31,123,346,323,42,81,16,5,7,37,5,2,18,98,.251,.290,.396,.686,84,128,6,1,1,3,1,caveja01
9,DH,Charlie Blackmon*,37,124,499,449,59,115,24,5,12,52,6,2,43,86,.256,.329,.412,.741,100,185,4,6,0,1,2,blackch02
10,C,Elias Díaz,33,84,327,304,26,82,18,0,5,36,0,0,17,64,.270,.315,.378,.693,87,115,13,4,0,2,2,diazel01
11,1B,Elehuris Montero,25,67,247,224,23,46,10,0,4,28,0,0,20,56,.205,.267,.304,.571,55,68,7,0,0,3,0,monteel01
12,UT,Hunter Goodman,24,70,224,211,24,40,9,0,13,36,1,1,8,64,.190,.228,.417,.645,70,88,5,3,0,2,0,goodmhu01
13,LF,Jordan Beck,23,55,184,170,14,32,6,0,3,13,7,1,12,65,.188,.245,.276,.521,41,47,3,1,0,1,1,beckjo01
14,OF,Sam Hilliard*,30,58,158,138,26,33,5,1,10,27,5,2,14,56,.239,.305,.507,.812,115,70,3,0,4,2,1,hillisa01
15,UT,Kris Bryant,32,37,155,133,9,29,5,0,2,15,0,0,13,48,.218,.323,.301,.623,71,40,6,8,0,1,0,bryankr01
16,OF,Sean Bouchard,28,31,108,91,14,17,7,0,1,8,4,0,12,33,.187,.290,.297,.586,60,27,0,2,1,2,0,bouchse01
17,IF,Aaron Schunk,26,39,98,94,14,22,3,0,2,7,0,1,4,31,.234,.265,.330,.595,60,31,0,0,0,0,1,schunaa01
18,2B,Alan Trejo,28,28,67,63,4,9,0,0,0,1,0,0,2,15,.143,.182,.143,.325,-10,9,2,1,1,0,0,trejoal01
19,C,Drew Romo#,22,16,53,51,4,9,3,0,0,6,0,1,2,18,.176,.208,.235,.443,20,12,2,0,0,0,0,romodr01
20,2B,Adael Amador#,21,10,36,35,1,6,1,0,0,0,1,0,1,6,.171,.194,.200,.394,8,7,1,0,0,0,0,amadoad01
21,RF,Greg Jones#,26,6,6,5,1,1,0,0,1,1,0,0,1,4,.200,.333,.800,1.133,194,4,0,0,0,0,0,jonesgr02
22,P,Antonio Senzatela,29,0,0,,,,,,,,,,,,,,,,,,,,,,,senzaan01
23,P,Lucas Gilbreath*,28,0,0,,,,,,,,,,,,,,,,,,,,,,,gilbrlu01
24,P,Tyler Kinley,33,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,kinlety01
25,P,Riley Pint,26,0,0,,,,,,,,,,,,,,,,,,,,,,,pintri01
26,P,Jalen Beeks*,30,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,beeksja02
27,P,Jeff Criswell,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,criswje01
28,P,Luis Peralta*,23,0,0,,,,,,,,,,,,,,,,,,,,,,,perallu01
29,P,Matt Carasiti,32,0,0,,,,,,,,,,,,,,,,,,,,,,,carasma01
30,P,Anthony Molina,22,0,0,,,,,,,,,,,,,,,,,,,,,,,molinan01
31,P,Noah Davis,27,0,0,,,,,,,,,,,,,,,,,,,,,,,davisno01
32,P,Geoff Hartlieb,30,0,0,,,,,,,,,,,,,,,,,,,,,,,hartlge01
33,P,Austin Gomber*,30,0,0,,,,,,,,,,,,,,,,,,,,,,,gombeau01
34,P,John Curtiss,31,0,0,,,,,,,,,,,,,,,,,,,,,,,curtijo02
35,P,Kyle Freeland*,31,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,freelky01
36,P,Victor Vodnik,24,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,vodnivi01
37,P,Ryan Feltner,27,0,0,,,,,,,,,,,,,,,,,,,,,,,feltnry01
38,P,Bradley Blalock,23,0,0,,,,,,,,,,,,,,,,,,,,,,,blalobr01
39,P,Angel Chivilli,21,0,0,,,,,,,,,,,,,,,,,,,,,,,chivian01
