Name,Age,Yrs,Acquired,SrvTm,Agent,Contract-Status,2024,2025,2026,2027,2028,2029,2030,2031,Name-additional
Kris Bryant,32,10,Free Agency,8.171,Boras Corporation,7 yrs/$182M (22-28),$28M,$27M,$27M,$27M,$27M,FA,,,bryankr01
Ryan McMahon,29,8,Amateur Draft,6.006,Wasserman,6 yrs/$70M (22-27),$12M,$12M,$16M,$16M,FA,,,,mcmahry01
Kyle Freeland,31,8,Amateur Draft,6.144,MSM Sports,5 yrs/$64.5M (22-26) & 27 vesting option,$15M,$16M,$16M,$0 [FA-*],FA,,,,freelky01
Ezequiel Tovar,22,3,Free Agency,1.014,,7 yrs/$63.5M (24-30) & 31 team option,$1.71M,$4.21M,$5.21M,$8.21M,$11.21M,$14.21M,$16.21M,$2.5M [FA-*],tovarez01
Antonio Senzatela,29,8,Amateur Free Agent,6.106,Republik Sports,5 yrs/$50.5M (22-26) & 27 team option,$12M,$12M,$12M,$0 [FA-*],FA,,,,senzaan01
Germán Márquez,29,9,Traded,7.027,L.A. Sports Manag...,2 yrs/$20M (24-25),$10M,$10M,FA,,,,,,marquge01
Daniel Bard,39,9,Free Agency,7.103,ISE Baseball,2 yrs/$19M (23-24),$9.5M,FA,,,,,,,bardda01
Charlie Blackmon,37,14,Amateur Draft,11.102,ACES,1 yr/$13M (24),$13M,FA,,,,,,,blackch02
Cal Quantrill,29,6,Traded,4.132,Excel Sports Mana...,1 yr/$6.55M (24),$6.55M,Arb,FA,,,,,,quantca01
Tyler Kinley,33,7,Waivers,5.014,Paragon Sports In...,3 yrs/$6.25M (23-25) & 26 team option,$1.3M,$3M,$750k [FA-*],FA,,,,,kinlety01
Brendan Rodgers,27,6,Amateur Draft,4.075,Excel Sports Mana...,1 yr/$3.2M (24),$3.2M,Arb,FA,,,,,,rodgebr02
Austin Gomber,30,6,Traded,4.111,Wasserman,1 yr/$3.15M (24),$3.15M,Arb,FA,,,,,,gombeau01
Peter Lambert,27,4,Amateur Draft,3.128,,1 yr/$1.25M (24),$1.25M,Arb,Arb,FA,,,,,lambepe01
Jacob Stallings,34,9,Free Agency,5.149,Bo McKinnis,1 yr/$2M (24) & 25 mutual option,$1.5M,$500k [FA-*],FA,,,,,,stallja01
Dakota Hudson,29,7,Free Agency,4.156,,1 yr/$1.5M (24),$1.5M,Arb,FA,,,,,,hudsoda02
Sean Bouchard,28,3,Amateur Draft,1.068,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,bouchse01
Evan Justice,25,2,Amateur Draft,0.038,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,justiev01
Jake Cave,31,7,Purchased,4.071,Ballengee Group,1 yr/$1M (24),$1M,Arb,FA,,,,,,caveja01
Lucas Gilbreath,28,3,Amateur Draft,2.148,,1 yr/$760k (24),$760k,Arb,Arb,Arb,FA,,,,gilbrlu01
Justin Lawrence,29,4,Amateur Draft,1.167,,1 yr/$745k (24),$745k,Arb,Arb,Arb,Arb,FA,,,lawreju01
Ryan Feltner,27,4,Amateur Draft,1.143,,1 yr/$745k (24),$745k,Pre-Arb,Arb,Arb,Arb,FA,,,feltnry01
Jake Bird,28,3,Amateur Draft,1.117,,1 yr/$745k (24),$745k,Pre-Arb,Arb,Arb,Arb,FA,,,birdja01
Elehuris Montero,25,3,Traded,1.061,,1 yr/$745k (24),$745k,Pre-Arb,Arb,Arb,Arb,FA,,,monteel01
Brenton Doyle,26,2,Amateur Draft,0.161,,1 yr/$742k (24),$742k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,doylebr02
Michael Toglia,25,3,Amateur Draft,0.103,Wasserman,1 yr/$742k (24),$742k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,toglimi01
Victor Vodnik,24,2,Traded,0.024,,1 yr/$742k (24),$742k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,vodnivi01
Geoff Hartlieb,30,5,Free Agency,1.140,Paragon Sports In...,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,hartlge01
Nolan Jones,26,3,Traded,1.007,,1 yr/$740k (24),$740k,Pre-Arb,Arb,Arb,Arb,FA,,,jonesno01
Noah Davis,27,3,Traded,0.087,Wasserman,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,davisno01
Hunter Goodman,24,2,Amateur Draft,0.036,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,goodmhu01
Riley Pint,26,2,Amateur Draft,0.006,,1 yr/$740k (24),$740k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,pintri01
Sam Hilliard,30,6,Waivers,3.094,Magnus Sports,,Arb (~$1.1M),,Arb,FA,,,,,hillisa01
Peyton Battenfield,26,1st,,0.129,,,,,,Arb,Arb,Arb,FA,,battepe01
Karl Kauffmann,26,1st,Amateur Draft,0.054,,,,,,Arb,Arb,Arb,FA,,kauffka01
Connor Kaiser,27,1st,Free Agency,0.014,,,,,,Arb,Arb,Arb,FA,,kaiseco01
,,,,,,,,,,,,,,,-9999
,Nolan Arenado traded to/from St. Louis Cardinals,Nolan Arenado traded to/from St. Louis Cardinals,Nolan Arenado traded to/from St. Louis Cardinals,Nolan Arenado traded to/from St. Louis Cardinals,Nolan Arenado traded to/from St. Louis Cardinals,Nolan Arenado traded to/from St. Louis Cardinals,$5M,$5M,$5M,,,,,,-9999
,José Ureña buyout,José Ureña buyout,José Ureña buyout,José Ureña buyout,José Ureña buyout,José Ureña buyout,$500k,,,,,,,,-9999
Signed,Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),Players With Guaranteed Contracts (does not include players with options),*31,8,5,3,2,1,1,,-9999
Dollars Committed,Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),Value of Guaranteed Contracts (no options are exercised and includes buyouts),*$137.3M,$89.7M,$82M,$51.2M,$38.2M,$14.21M,$16.21M,$2.5M,-9999
,,,,,,,,,,,,,,,-9999
Contract Options,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,Players with any type of option,,,1,2,,,,1,-9999
Option Values,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,Maximum value of options if all are exercised,,,$5M,$31M,,,,$23M,-9999
,,,,,,,,,,,,,,,-9999
Arb Eligible,Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),Number of arbitration eligible players (1st-2nd-3rd-4th "Arb" players = 3rds),,0-0-8-0,0-0-11-0,0-0-18-0,0-0-17-0,0-0-10-0,0-0-0-0,0-0-0-0,-9999
Arb Costs,Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),Rough estimated value of all arbitration cases (uses 3-year averages for 1st yr 2nd..),†$1.1M,$45.3M,$62.3M,$102M,$96.3M,$56.7M,$0,$0,-9999
,,,,,,,,,,,,,,,-9999
Other Players,Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),Additional Players Needed to Fill 25-man (no options exercised),,9,9,4,6,14,24,25,-9999
Other Costs,Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),Estimate of Remaining Players Costs (based on 1-year avg of all pre-arb players),,$6.77M,$6.77M,$3.01M,$4.51M,$10.52M,$18.04M,$18.79M,-9999
,,,,,,,,,,,,,,,-9999
Payroll (no options),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),Est. Total Payroll w/o Options (Guaranteed + Arb + Other),,$141.8M,$151.1M,$156.2M,$139.1M,$81.4M,$34.3M,$21.29M,-9999
Payroll (options),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),Est. Total Payroll w/ Options (Guaranteed + Options + Arb + Other),,$141.8M,$155.3M,$185.7M,$139.1M,$81.4M,$34.3M,$43.5M,-9999
