Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fldpct,Rtot,Rtot-yr,Rdrs,Rdrs-yr,Rgood,RF-9,RF-G,PB,WP,SB,CS,CSpct,lgCSpct,PO,Pos-Summary,Name-additional
Adael Amador,21,10,10,9,85,39,14,24,1,8,0.974,-2,-35,-1,-14,0,4.02,3.8,,,,,,,,2B,amadoad01
Jordan Beck,23,54,50,45,444.1,100,96,3,1,1,0.99,2,5,1,3,2,2.01,1.83,,,,,,,,LF-RF-CF,beckjo01
Jalen Beeks,30,45,0,0,49.1,7,2,5,0,0,1,,,1,4,0,1.28,0.16,,,3,0,0.00,0.20,0,P,beeksja02
Jake Bird,28,35,0,0,40,5,0,5,0,0,1,,,0,0,0,1.13,0.14,,,4,2,0.33,0.20,0,P,birdja01
Ty Blach,33,20,12,0,71.1,19,5,14,0,2,1,,,4,11,0,2.4,0.95,,,1,0,0.00,0.20,1,P,blachty01
Charlie Blackmon,37,26,24,12,185.2,40,38,2,0,0,1,-2,-10,-2,-13,0,1.94,0.34,,,,,,,,RF-CF-DH,blackch02
Bradley Blalock,23,6,6,0,29.2,4,3,1,0,0,1,,,-1,-7,0,1.21,0.67,,,4,0,0.00,0.20,0,P,blalobr01
Sean Bouchard,28,30,29,19,239,55,50,2,3,0,0.945,-10,-52,-5,-25,-2,1.96,1.63,,,,,,,,RF-LF-DH,bouchse01
Kris Bryant,32,22,21,14,169,105,101,3,1,10,0.99,-6,-40,-3,-21,-1,5.54,2.81,,,,,,,,RF-1B-DH,bryankr01
Matt Carasiti,32,7,0,0,8.2,3,3,0,0,1,1,,,-1,-23,0,3.12,0.43,,,0,0,,,0,P,carasma01
Jake Cave,31,116,83,61,790.2,190,184,5,1,1,0.995,-9,-13,-6,-9,-2,2.15,1.45,,,,,,,,RF-LF-CF-DH,caveja01
Angel Chivilli,21,30,0,0,31.2,9,4,5,0,1,1,,,0,0,0,2.56,0.3,,,1,0,0.00,0.20,0,P,chivian01
Jeff Criswell,25,13,0,0,19.2,3,1,2,0,0,1,,,-2,-20,0,1.37,0.23,,,5,1,0.17,0.20,0,P,criswje01
John Curtiss,31,3,0,0,2.1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,curtijo02
Noah Davis,27,9,0,0,20.1,3,1,2,0,0,1,,,0,0,0,1.33,0.33,,,0,2,1.00,0.21,0,P,davisno01
Elias Díaz,33,68,64,57,538.1,434,403,27,4,1,0.991,-1,-2,5,11,-2,7.19,5.18,0,30,44,17,0.28,0.20,0,C-DH,diazel01
Brenton Doyle,26,146,142,138,1242.2,438,426,8,4,3,0.991,17,16,11,11,1,3.14,2.91,,,,,,,,CF-DH,doylebr02
Ryan Feltner,27,30,30,0,162.1,20,12,8,0,1,1,,,-3,-4,0,1.11,0.67,,,29,7,0.19,0.20,2,P,feltnry01
Kyle Freeland,31,21,21,0,113.1,12,2,9,1,0,0.917,,,-1,-2,-1,0.87,0.52,,,9,5,0.36,0.20,3,P,freelky01
Lucas Gilbreath,28,3,0,0,1,0,0,0,0,0,,,,0,0,,0,0,,,0,0,,,0,P,gilbrlu01
Austin Gomber,30,30,30,0,165,22,6,15,1,0,0.955,,,2,2,0,1.15,0.7,,,13,2,0.13,0.20,1,P,gombeau01
