Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,number,Thr,Opp-Starter-GmeSc
1,1,Mar 28,@,ARI,L1-16,34,30,1,4,2,0,0,1,3,0,6,1,0,0,0,1,0,0,.133,.235,.200,.435,6,12,R,Z.Gallen(58)
2,2,Mar 29,@,ARI,L3-7,33,33,3,7,1,1,1,2,0,0,11,0,0,0,0,0,0,0,.175,.224,.302,.525,3,9,R,M.Kelly(72)
3,3,Mar 30,@,ARI,W9-4,41,34,9,10,1,1,2,9,6,0,9,0,0,1,0,2,1,0,.216,.287,.392,.679,5,10,L,T.Henry(32)
4,4,Mar 31,@,ARI,L1-5,34,32,1,8,0,0,0,1,0,0,9,2,0,0,0,2,0,0,.225,.289,.357,.645,6,9,R,B.Pfaadt(59)
5,5,Apr 1,@,CHC,L0-5,32,31,0,3,0,0,0,0,1,0,9,0,0,0,1,0,0,0,.200,.259,.306,.565,5,9,L,S.Imanaga(77)
6,6,Apr 2,@,CHC,L2-12,36,31,2,7,1,0,1,2,2,0,6,3,0,0,0,2,0,0,.204,.271,.314,.586,7,10,R,J.Assad(68)
7,7,Apr 3,@,CHC,L8-9,43,38,8,11,5,0,0,6,4,0,12,1,0,0,1,1,0,0,.218,.289,.332,.620,8,11,L,L.Little(54)
8,8,Apr 5,,TBR,W10-7,41,36,10,12,3,0,3,10,4,0,9,0,0,1,0,0,1,0,.234,.303,.377,.680,6,10,R,Z.Littell(58)
9,9,Apr 6,,TBR,L6-8,40,37,6,11,2,0,3,6,3,0,8,0,0,0,0,1,1,0,.242,.308,.404,.712,7,10,L,T.Alexander(33)
10,10,Apr 7,,TBR,L2-3,36,32,2,7,1,1,0,2,4,0,15,0,0,0,0,1,0,1,.240,.308,.395,.703,7,12,R,R.Pepiot(77)
11,11,Apr 8,,ARI,W7-5,39,35,7,13,1,1,1,7,3,0,14,0,0,1,0,1,0,0,.252,.318,.409,.727,8,11,R,Z.Gallen(49)
12,12,Apr 9,,ARI,L2-3,35,32,2,8,1,0,0,2,3,0,6,0,0,0,0,1,0,2,.252,.318,.399,.717,6,9,R,M.Kelly(53)
13,13,Apr 10,,ARI,L3-5,41,35,3,6,2,0,1,3,6,0,11,0,0,0,2,0,0,0,.245,.315,.392,.708,11,11,L,T.Henry(52)
14,14,Apr 12,@,TOR,W12-4,48,43,12,20,8,1,2,12,2,0,9,1,0,2,0,2,1,0,.265,.330,.432,.762,9,10,R,K.Gausman(21)
15,15,Apr 13,@,TOR,L3-5,36,32,3,7,2,0,1,3,4,0,15,0,0,0,0,2,0,0,.262,.329,.429,.757,6,10,R,Y.Rodríguez(53)
16,16,Apr 14,@,TOR,L0-5,33,29,0,2,0,0,0,0,2,0,10,2,0,0,0,0,0,0,.252,.321,.409,.730,6,9,R,J.Berríos(78)
17,17,Apr 15,@,PHI,L1-2,35,33,1,5,1,0,1,1,2,1,10,0,0,0,0,1,0,0,.246,.314,.401,.715,5,11,R,A.Nola(74)
18,18,Apr 16,@,PHI,L0-5,32,31,0,7,0,0,0,0,1,0,8,0,0,0,0,1,0,0,.245,.311,.392,.703,5,9,L,R.Suárez(80)
19,19,Apr 17,@,PHI,L6-7,42,37,6,12,0,0,0,6,4,0,12,0,0,1,0,1,2,0,.250,.315,.388,.704,9,13,L,C.Sánchez(65)
