Rk,Pos,Name,Age,W,L,W-Lpct,ERA,G,GS,GF,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERAplus,FIP,WHIP,H9,HR9,BB9,SO9,SO-W,Name-additional
1,SP,Austin Gomber*,30,5,12,.294,4.75,30,30,0,0,0,0,165.0,178,89,87,30,38,0,116,1,0,3,696,97,4.83,1.309,9.7,1.6,2.1,6.3,3.05,gombeau01
2,SP,Ryan Feltner,27,3,10,.231,4.49,30,30,0,0,0,0,162.1,165,94,81,20,52,0,138,7,0,4,692,102,4.16,1.337,9.1,1.1,2.9,7.7,2.65,feltnry01
3,SP,Cal Quantrill,29,8,11,.421,4.98,29,29,0,0,0,0,148.1,156,83,82,23,69,0,110,11,1,6,656,93,5.32,1.517,9.5,1.4,4.2,6.7,1.59,quantca01
4,SP,Kyle Freeland*,31,5,8,.385,5.24,21,21,0,0,0,0,113.1,134,73,66,22,26,0,85,1,0,1,490,88,4.91,1.412,10.6,1.7,2.1,6.8,3.27,freelky01
5,SP,Dakota Hudson,29,2,12,.143,6.17,18,18,0,0,0,0,89.0,99,66,61,11,50,0,49,5,0,3,404,75,5.53,1.674,10.0,1.1,5.1,5.0,0.98,hudsoda02
6,SP,Ty Blach*,33,3,8,.273,6.94,20,12,4,0,0,0,71.1,103,55,55,17,18,0,36,6,0,1,330,67,6.27,1.696,13.0,2.1,2.3,4.5,2.00,blachty01
7,CL,Tyler Kinley,33,6,1,.857,6.19,67,0,25,0,0,12,64.0,61,44,44,11,33,2,72,2,0,6,285,75,4.79,1.469,8.6,1.5,4.6,10.1,2.18,kinlety01
8,RP,Victor Vodnik,24,5,4,.556,4.28,64,0,19,0,0,9,73.2,72,37,35,7,37,1,65,1,0,4,320,108,4.19,1.480,8.8,0.9,4.5,7.9,1.76,vodnivi01
9,RP,Justin Lawrence,29,4,4,.500,6.49,56,0,21,0,0,2,59.2,73,52,43,9,33,1,45,7,0,3,279,71,5.63,1.777,11.0,1.4,5.0,6.8,1.36,lawreju01
10,RP,Jalen Beeks*,30,6,4,.600,4.74,45,0,21,0,0,9,49.1,49,29,26,6,18,1,38,1,0,5,211,97,4.36,1.358,8.9,1.1,3.3,6.9,2.11,beeksja02
11,RP,Nick Mears,27,1,4,.200,5.56,41,0,11,0,0,0,45.1,47,30,28,2,21,1,57,0,0,3,203,83,2.62,1.500,9.3,0.4,4.2,11.3,2.71,mearsni01
12,,Peter Lambert,27,2,5,.286,5.72,28,3,7,0,0,0,61.1,73,42,39,7,29,2,50,2,0,5,280,81,4.54,1.663,10.7,1.0,4.3,7.3,1.72,lambepe01
13,,Anthony Molina,22,1,1,.500,6.79,35,1,17,0,0,0,59.2,72,46,45,5,22,1,41,2,0,5,264,68,4.09,1.575,10.9,0.8,3.3,6.2,1.86,molinan01
14,,Jake Bird,28,2,2,.500,4.50,35,0,5,0,0,1,40.0,43,21,20,5,25,1,31,4,0,1,185,103,5.42,1.700,9.7,1.1,5.6,7.0,1.24,birdja01
15,,Tanner Gordon,26,0,6,.000,8.65,8,8,0,0,0,0,34.1,53,34,33,10,6,0,26,2,0,0,160,54,6.14,1.718,13.9,2.6,1.6,6.8,4.33,gordota01
16,,Angel Chivilli,21,2,3,.400,4.55,30,0,10,0,0,1,31.2,31,17,16,7,10,0,28,1,0,0,133,102,5.31,1.295,8.8,2.0,2.8,8.0,2.80,chivian01
17,,Bradley Blalock,23,1,3,.250,6.07,6,6,0,0,0,0,29.2,35,22,20,4,19,0,20,1,0,0,143,77,5.59,1.820,10.6,1.2,5.8,6.1,1.05,blalobr01
18,,Noah Davis,27,0,0,,5.75,9,0,2,0,0,0,20.1,31,15,13,3,7,0,15,0,0,0,96,81,4.64,1.869,13.7,1.3,3.1,6.6,2.14,davisno01
