Name,Age,IP,G,GS,R,RA9,RA9opp,RA9def,RA9role,RA9extras,PPFp,RA9avg,RAA,WAA,gmLI,WAAadj,WAR,RAR,waaWLpct,162WLpct,Salary,Acquired,Name-additional
Jalen Beeks*,30,49.1,45,0,29,5.29,4.66,0.17,-0.31,0.34,112.4,5.09,-1,-0.1,1.73,-0.2,0.2,3,.497,.499,$1675000,Waivers,beeksja02
Jake Bird,28,40.0,35,0,21,4.73,4.67,0.17,-0.31,0.14,112.2,4.86,0,0.0,1.06,-0.1,0.3,4,.501,.500,$745000,Amateur Draft,birdja01
Ty Blach*,33,71.1,20,12,55,6.94,4.57,0.20,0.10,0.00,115.4,5.16,-14,-1.4,.57,0.0,-0.8,-7,.430,.491,$909677,Free Agency,blachty01
Bradley Blalock,23,29.2,6,6,22,6.67,4.60,0.18,0.21,0.00,109.0,5.04,-5,-0.5,,0.0,-0.3,-3,.412,.497,,Traded,blalobr01
Matt Carasiti,32,8.2,7,0,10,10.38,4.66,0.20,-0.31,0.00,113.1,4.69,-6,-0.5,1.25,-0.1,-0.5,-5,.423,.497,,Free Agency,carasma01
Angel Chivilli,21,31.2,30,0,17,4.83,4.71,0.16,-0.31,0.00,113.7,4.82,0,0.0,1.16,-0.1,0.2,3,.500,.500,$740000,Free Agency,chivian01
Jeff Criswell,25,19.2,13,0,6,2.75,4.87,0.13,-0.32,0.00,112.9,4.98,5,0.5,.73,-0.1,0.6,7,.540,.503,,Traded,criswje01
John Curtiss,31,2.1,3,0,4,15.43,4.52,0.25,-0.30,0.00,104.2,4.13,-3,-0.3,.72,0.0,-0.2,-3,.406,.498,,Free Agency,curtijo02
Noah Davis,27,20.1,9,0,15,6.64,4.65,0.19,-0.21,0.00,111.9,4.76,-4,-0.4,.59,0.0,-0.2,-2,.452,.497,$740000,Traded,davisno01
Ryan Feltner,27,162.1,30,30,94,5.21,4.56,0.16,0.21,0.00,110.7,5.10,-3,-0.3,,-0.1,1.1,13,.491,.498,$745000,Amateur Draft,feltnry01
Kyle Freeland*,31,113.1,21,21,73,5.80,4.54,0.18,0.21,0.00,110.4,5.05,-10,-1.0,,-0.1,0.0,1,.453,.494,$15000000,Amateur Draft,freelky01
Lucas Gilbreath*,28,1.0,3,0,6,54.00,6.12,0.53,-0.41,0.00,104.3,5.41,-5,-0.5,.68,0.1,-0.4,-5,.340,.497,$760000,Amateur Draft,gilbrlu01
Austin Gomber*,30,165.0,30,30,89,4.85,4.74,0.17,0.22,0.00,109.8,5.25,7,0.7,,-0.1,2.1,23,.523,.504,$3150000,Traded,gombeau01
Tanner Gordon,26,34.1,8,8,34,8.91,4.64,0.19,0.21,0.00,102.4,4.77,-16,-1.4,,0.0,-1.1,-13,.326,.491,,Traded,gordota01
