Name,Age,Birth,B,T,Ht,Wt,DoB,Yrs,G,GS,Batting,Defense,P,C,1B,2B,3B,SS,LF,CF,RF,OF,DH,PH,PR,WAR,Salary,,Name-additional
Adael Amador,21,do DO,B,R,6' 0",200,Apr 11 2003,1st,10,10,10,10,0,0,0,10,0,0,0,0,0,0,0,0,0,-0.4,$740000,,amadoad01
Jordan Beck,23,us US,R,R,6' 2",225,Apr 19 2001,1st,55,50,55,54,0,0,0,0,0,0,37,3,14,54,0,2,1,-0.8,$740000,,beckjo01
Jalen Beeks,30,us US,L,L,5' 11",215,Jul 10 1993,6,45,0,2,45,45,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$1675000,,beeksja02
Jake Bird,28,us US,R,R,6' 3",200,Dec 4 1995,3,35,0,0,35,35,0,0,0,0,0,0,0,0,0,0,0,0,0.3,$745000,,birdja01
Ty Blach,33,us US,R,L,6' 1",215,Oct 20 1990,7,20,12,0,20,20,0,0,0,0,0,0,0,0,0,0,0,0,-0.8,$909677,,blachty01
Charlie Blackmon,37,us US,L,L,6' 3",221,Jul 1 1986,14,124,112,124,26,0,0,0,0,0,0,0,1,26,26,89,12,0,0.6,$13000000,,blackch02
Bradley Blalock,23,us US,R,R,6' 2",213,Dec 25 2000,1st,6,6,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,-0.3,,,blalobr01
Sean Bouchard,28,us US,R,R,6' 3",215,May 16 1996,3,31,30,31,30,0,0,0,0,0,0,14,0,17,30,1,1,0,-0.6,$740000,,bouchse01
Kris Bryant,32,us US,R,R,6' 5",230,Jan 4 1992,10,37,36,37,22,0,0,10,0,0,0,0,0,12,12,15,0,0,-0.7,$28000000,,bryankr01
Matt Carasiti,32,us US,R,R,6' 2",205,Jul 23 1991,4,7,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,-0.5,,,carasma01
Jake Cave,31,us US,L,L,6' 0",200,Dec 4 1992,7,123,83,123,116,0,0,0,0,0,0,32,5,92,116,1,13,3,-0.7,$1000000,,caveja01
Angel Chivilli,21,do DO,R,R,6' 2",162,Jul 28 2002,1st,30,0,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,0.2,$740000,,chivian01
Jeff Criswell,25,us US,R,R,6' 4",225,Mar 10 1999,1st,13,0,1,13,13,0,0,0,0,0,0,0,0,0,0,0,0,0.6,,,criswje01
John Curtiss,31,us US,R,R,6' 5",220,Apr 5 1993,7,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,,,curtijo02
Noah Davis,27,us US,R,R,6' 2",195,Apr 22 1997,3,9,0,0,9,9,0,0,0,0,0,0,0,0,0,0,0,0,-0.2,$740000,,davisno01
Elias Díaz,33,ve VE,R,R,6' 1",223,Nov 17 1990,10,84,80,84,68,0,68,0,0,0,0,0,0,0,0,16,3,0,1.2,$6000000,,diazel01
Brenton Doyle,26,us US,R,R,6' 4",220,May 14 1998,2,149,145,149,146,0,0,0,0,0,0,0,146,0,146,3,2,1,4.0,$742000,,doylebr02
Ryan Feltner,27,us US,R,R,6' 4",190,Sep 2 1996,4,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,1.1,$745000,,feltnry01
Kyle Freeland,31,us US,L,L,6' 4",204,May 14 1993,8,22,21,2,21,21,0,0,0,0,0,0,0,0,0,0,0,1,0.0,$15000000,,freelky01
Lucas Gilbreath,28,us US,L,L,6' 1",185,Mar 5 1996,3,3,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,-0.4,$760000,,gilbrlu01
Austin Gomber,30,us US,L,L,6' 5",220,Nov 23 1993,6,30,30,0,30,30,0,0,0,0,0,0,0,0,0,0,0,0,2.1,$3150000,,gombeau01
Hunter Goodman,24,us US,R,R,5' 11",210,Oct 8 1999,2,70,57,70,57,0,23,4,0,0,0,7,0,27,33,11,8,2,-0.8,$740000,,goodmhu01
Tanner Gordon,26,us US,L,R,6' 5",215,Oct 26 1997,1st,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,-1.1,,,gordota01
